日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-07-07,东航物流,13.07,0.23%,0.38%,0.223355,0.173456,0.049899,0.05%,0.39681,-0.08,0.88,0.77,802000000.0,,6.82,10478000000.0
2023-07-06,东航物流,13.04,-0.31%,0.31%,0.1097,0.212787,-0.10308699999999996,-0.10%,0.322487,-0.08,0.69,0.77,802000000.0,104.54,6.8,
2023-07-05,东航物流,13.08,0.00%,0.33%,0.15172,0.191135,-0.039415,-0.04%,0.342855,0.08,0.68,0.54,802000000.0,104.86,6.82,
2023-07-04,东航物流,13.08,-0.30%,0.43%,0.185246,0.262554,-0.077308,-0.07%,0.4478,0.0,0.89,0.99,802000000.0,104.86,6.82,
2023-07-03,东航物流,13.12,0.92%,0.58%,0.302473,0.302805,-0.000332,-0.00%,0.605278,0.0,1.09,1.31,802000000.0,105.19,6.84,
2023-06-30,东航物流,13.0,1.17%,0.51%,0.316439,0.215544,0.100895,0.10%,0.531984,0.08,0.92,1.4,802000000.0,104.22,6.78,
2023-06-29,东航物流,12.85,-0.77%,0.38%,0.148978,0.243691,-0.094713,-0.09%,0.39266799999999996,-0.08,0.66,0.77,802000000.0,103.02,6.7,
2023-06-28,东航物流,12.95,0.70%,0.53%,0.299184,0.246121,0.053063,0.05%,0.5453060000000001,0.0,0.86,1.71,802000000.0,103.82,6.75,
2023-06-27,东航物流,12.86,0.86%,0.41%,0.244869,0.178261,0.066608,0.06%,0.42313,-0.08,0.6,1.18,802000000.0,103.1,6.71,
2023-06-26,东航物流,12.75,-1.92%,0.81%,0.374967,0.462396,-0.08742899999999999,-0.09%,0.8373629999999999,0.0,1.19,2.08,802000000.0,102.22,6.65,
