日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,盛邦安全,63.9,2.88%,28.40%,1.53,1.29,0.24,2.38%,2.81,-0.16,0.68,6.21,15776199.999999998,1008000000.0,亏损
2023-08-31,盛邦安全,78.64,20.01%,35.54%,2.2,1.95,0.2500000000000003,2.01%,4.15,0.0,1.63,16.85,15776199.999999998,1241000000.0,亏损
2023-08-29,盛邦安全,54.61,20.00%,28.47%,1.37,0.937006,0.4329939999999999,5.02%,2.31,0.0,1.6,19.8,15776199.999999998,861999999.9999999,亏损
2023-08-28,盛邦安全,45.51,3.57%,22.43%,0.859593,0.809612,0.049981,0.70%,1.67,-1.41,1.25,7.51,15776199.999999998,718000000.0,亏损
2023-08-25,盛邦安全,43.94,-7.69%,14.07%,0.439551,0.574182,-0.134631,-1.94%,1.01,-0.11,0.63,7.77,15776199.999999998,693000000.0,亏损
2023-08-24,盛邦安全,47.6,-3.84%,16.08%,0.504767,0.69008,-0.185313,-2.47%,1.21,-0.21,0.68,6.55,15776199.999999998,751000000.0,亏损
2023-08-23,盛邦安全,49.5,-3.92%,12.98%,0.434636,0.589985,-0.155349,-1.99%,1.02,-0.96,0.51,4.85,15776199.999999998,781000000.0,亏损
2023-08-21,盛邦安全,53.2,-0.56%,22.75%,0.9351200000000001,0.9830270000000001,-0.047907,-0.57%,1.92,-0.38,0.84,6.54,15776199.999999998,839000000.0,亏损
2023-08-18,盛邦安全,53.5,3.54%,36.14%,1.68,1.52,0.16,1.90%,3.2,-0.21,1.55,16.68,15776199.999999998,844000000.0,亏损
2023-08-16,盛邦安全,49.22,-3.68%,22.25%,0.8453809999999999,0.932227,-0.086846,-1.12%,1.78,-0.26,0.88,5.91,15776199.999999998,777000000.0,亏损
2023-08-14,盛邦安全,54.96,8.92%,28.18%,1.4,0.958565,0.441435,5.09%,2.36,-0.25,1.0,11.14,15776199.999999998,867000000.0,亏损
2023-08-11,盛邦安全,50.46,-1.69%,17.84%,0.70092,0.744722,-0.043802,-0.55%,1.45,-0.18,0.63,4.46,15776199.999999998,796000000.0,亏损
2023-08-10,盛邦安全,51.33,1.72%,20.76%,0.818249,0.861722,-0.043473000000000005,-0.54%,1.68,-0.33,0.74,4.78,15776199.999999998,810000000.0,亏损
2023-08-09,盛邦安全,50.46,-0.08%,34.41%,1.36,1.44,-0.08,-1.01%,2.8,-0.06,1.29,8.08,15776199.999999998,796000000.0,亏损
2023-08-08,盛邦安全,50.5,3.89%,37.00%,1.64,1.33,0.31,3.89%,2.98,0.2,1.42,8.13,15776199.999999998,797000000.0,亏损
2023-08-07,盛邦安全,48.51,4.55%,28.53%,1.18,0.963357,0.21664299999999997,2.82%,2.15,0.02,1.14,6.1,15776199.999999998,767000000.0,亏损
2023-08-04,盛邦安全,46.27,0.00%,17.06%,0.605168,0.640299,-0.035131,-0.48%,1.25,0.17,0.55,2.85,15776199.999999998,732000000.0,亏损
2023-08-03,盛邦安全,46.27,0.09%,17.68%,0.59615,0.686174,-0.090024,-1.23%,1.3,0.0,0.43,3.09,15776199.999999998,730000000.0,亏损
2023-08-02,盛邦安全,46.23,-3.69%,28.61%,0.8970739999999999,1.2,-0.30292600000000003,-4.16%,2.1,0.07,0.53,4.6,15776199.999999998,729000000.0,亏损
2023-08-01,盛邦安全,48.0,-3.61%,34.29%,1.2,1.44,-0.24,-3.17%,2.64,-0.1,0.59,5.3,15776199.999999998,757000000.0,亏损
2023-07-31,盛邦安全,49.8,-6.36%,39.42%,1.42,1.75,-0.33,-4.20%,3.17,-0.12,0.61,7.0,15776199.999999998,786000000.0,亏损
2023-07-28,盛邦安全,53.18,2.27%,47.96%,1.94,2.04,-0.1,-1.19%,3.98,-0.04,0.66,8.0,15776199.999999998,839000000.0,亏损
2023-07-27,盛邦安全,52.0,-5.45%,58.33%,2.17,2.84,-0.67,-8.17%,5.01,-0.73,0.66,9.04,15776199.999999998,819999999.9999999,亏损
2023-07-26,盛邦安全,55.0,37.84%,88.16%,3.96,3.49,0.47,5.41%,7.45,0.24,--,29.57,15776199.999999998,868000000.0,亏损
