日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率
2023-07-06,达实智能,3.51,-0.28%,1.25%,0.336278,0.444833,-0.108555,-0.17%,0.781111,0.0,0.5,1.99,1780000000.0,62.48,100.81
2023-07-05,达实智能,3.52,-0.56%,2.14%,0.539032,0.816267,-0.277235,-0.44%,1.36,0.29,0.86,2.83,1780000000.0,62.66,101.09
2023-07-04,达实智能,3.54,0.85%,2.00%,0.645022,0.608101,0.036921,0.06%,1.25,0.0,0.84,2.28,1780000000.0,63.01,101.67
2023-07-03,达实智能,3.51,-0.28%,2.45%,0.6085689999999999,0.9158280000000001,-0.3072590000000001,-0.49%,1.52,-0.28,1.03,2.56,1780000000.0,62.48,100.81
2023-06-30,达实智能,3.52,-2.49%,3.64%,1.05,1.22,-0.17,-0.27%,2.27,0.0,1.81,3.32,1780000000.0,62.66,101.09
2023-06-29,达实智能,3.62,4.62%,2.02%,0.8401780000000001,0.423237,0.416941,0.65%,1.26,-0.28,1.2,5.78,1780000000.0,64.26,103.68
2023-06-29,达实智能,3.61,4.34%,2.20%,0.904708,0.479103,0.425605,0.66%,1.38,-0.28,1.2,5.78,1780000000.0,64.26,103.68
2023-06-28,达实智能,3.46,-2.26%,2.19%,0.583873,0.7572979999999999,-0.17342500000000008,-0.28%,1.34,0.29,1.26,4.24,1780000000.0,61.59,99.37
2023-06-27,达实智能,3.54,1.14%,1.34%,0.42397,0.41831899999999994,0.005651000000000074,0.01%,0.8422879999999998,-0.28,0.73,2.0,1780000000.0,63.01,101.67
2023-06-26,达实智能,3.5,-5.15%,2.18%,0.556076,0.826924,-0.270848,-0.43%,1.39,-0.29,1.52,5.15,1780000000.0,62.3,100.52
