日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值(亿),市盈率,流通市值
2023-08-04,双一科技,15.15,-0.13%,0.92%,0.062516,0.087831,-0.025315,-0.15%,0.153149,0.0,0.86,1.25,109000000.0,,90.86,1657999999.9999998
2023-08-03,双一科技,15.17,-1.24%,0.97%,0.06578400000000001,0.087148,-0.021363999999999998,-0.13%,0.161943,-0.07,0.92,1.63,109000000.0,,90.98,1661000000.0
2023-08-02,双一科技,15.36,0.33%,0.84%,0.067455,0.072962,-0.005507,-0.03%,0.141492,0.07,0.83,1.7,109000000.0,,92.12,1680999999.9999998
2023-08-01,双一科技,15.31,-1.73%,1.30%,0.085867,0.132829,-0.046962000000000004,-0.28%,0.218696,0.13,1.4,2.31,109000000.0,,91.82,1676000000.0000002
2023-07-31,双一科技,15.58,0.13%,1.17%,0.09255,0.10676400000000004,-0.014214000000000018,-0.08%,0.199314,0.06,1.37,1.22,109000000.0,,93.44,1705999999.9999998
2023-07-28,双一科技,15.56,0.39%,1.08%,0.091331,0.091574,-0.00024300000000000002,-0.00%,0.18290499999999998,0.0,1.25,2.58,109000000.0,,93.32,1703000000.0
2023-07-27,双一科技,15.5,-0.13%,0.87%,0.07108300000000001,0.078111,-0.007028,-0.04%,0.149194,-0.13,0.95,2.06,109000000.0,,92.96,1697000000.0
2023-07-26,双一科技,15.52,-0.70%,0.69%,0.04056,0.076718,-0.03615799999999999,-0.21%,0.11727699999999999,-0.06,0.7,1.47,109000000.0,,93.08,1698999999.9999998
2023-07-24,双一科技,15.33,0.07%,0.80%,0.060046,0.073759,-0.013713,-0.08%,0.133805,0.07,0.77,2.42,109000000.0,,91.94,1678000000.0
2023-07-21,双一科技,15.32,-1.86%,1.15%,0.075362,0.11876400000000002,-0.04340200000000002,-0.26%,0.194126,0.46,1.15,2.82,109000000.0,,91.88,1677000000.0
2023-07-20,双一科技,15.61,-1.33%,0.98%,0.06973200000000003,0.097147,-0.02741499999999999,-0.16%,0.16897,0.0,1.13,2.53,109000000.0,,93.62,1709000000.0
2023-07-19,双一科技,15.84,-1.86%,0.94%,0.054764,0.10927,-0.05450599999999999,-0.31%,0.164359,-0.19,0.94,3.1,109000000.0,,94.88,1732000000.0
2023-07-17,双一科技,16.03,0.25%,1.02%,0.090046,0.086756,0.00329,0.02%,0.178228,-0.06,0.91,1.81,109000000.0,,96.14,1755000000.0
2023-07-14,双一科技,15.97,-1.36%,0.93%,0.06515399999999999,0.096665,-0.031511000000000004,-0.18%,0.163001,0.06,0.89,1.61,109000000.0,,95.9,1750000000.0
2023-07-13,双一科技,16.19,1.25%,1.17%,0.105468,0.101399,0.004069,0.02%,0.206867,0.0,0.98,1.94,109000000.0,,97.1,1772000000.0
2023-07-12,双一科技,15.99,-0.87%,1.24%,0.094684,0.12319100000000001,-0.028506999999999998,-0.16%,0.217875,0.06,0.99,1.86,109000000.0,,95.9,1750000000.0
2023-07-11,双一科技,16.13,1.96%,1.22%,0.126302,0.086686,0.039616000000000005,0.22%,0.21298899999999998,0.0,0.79,2.85,109000000.0,,96.74,1766000000.0
2023-07-10,双一科技,15.82,0.13%,0.95%,0.075163,0.089779,-0.014616,-0.08%,0.164942,0.06,0.44,1.9,109000000.0,,94.88,1732000000.0
2023-07-07,双一科技,15.8,-1.99%,1.12%,0.081902,0.112673,-0.030771,-0.18%,0.194576,0.13,0.48,1.99,109000000.0,,94.76,1730000000.0
2023-07-06,双一科技,16.12,0.25%,1.47%,0.123454,0.13593800000000006,-0.012484000000000021,-0.07%,0.259392,0.12,0.62,1.68,109000000.0,17.649999999999995,96.68,
2023-07-05,双一科技,16.08,-1.05%,1.51%,0.13391099999999995,0.132543,0.0013679999999999814,0.01%,0.26645399999999997,0.0,0.64,2.28,109000000.0,17.600000000000005,96.44,
2023-07-04,双一科技,16.25,-0.31%,2.70%,0.216806,0.265693,-0.048887,-0.27%,0.4825,0.06,1.25,2.58,109000000.0,17.79,97.46,
2023-07-03,双一科技,16.3,2.07%,3.89%,0.390251,0.305456,0.08479500000000001,0.48%,0.695707,0.12,2.35,3.88,109000000.0,17.84,97.76,
2023-06-30,双一科技,15.97,2.57%,2.02%,0.189295,0.162396,0.026899,0.15%,0.351691,0.0,1.35,2.57,109000000.0,17.48,95.78,
2023-06-29,双一科技,15.72,1.22%,1.80%,0.184724,0.12440999999999999,0.060314,0.35%,0.309134,-0.06,1.33,2.64,109000000.0,17.21,94.28,
2023-06-28,双一科技,15.53,0.00%,1.35%,0.11563800000000002,0.111522,0.004116000000000019,0.02%,0.22716,-0.13,1.02,3.54,109000000.0,17.0,93.14,
2023-06-27,双一科技,15.53,2.51%,1.79%,0.16038800000000006,0.142531,0.01785700000000002,0.11%,0.30291799999999997,0.0,1.35,4.69,109000000.0,17.0,93.14,
2023-06-26,双一科技,15.12,-1.88%,1.28%,0.098291,0.113232,-0.014941,-0.09%,0.214938,0.07,0.88,2.98,109000000.0,16.58,90.86,
