日期,股票简称,最新价,涨跌幅,换手率,流入资金(亿元),流出资金(亿元),净额(亿元),净买入率,成交额(亿元),涨速(%),量比,振幅(%),流通股,流通市值,市盈率
2023-09-06,蓝箭电子,65.32,20.01%,71.61%,10.55,9.75,0.8,2.58%,20.3,0.0,2.22,24.27,47421600.0,3098000000.0,161.48
2023-09-04,蓝箭电子,45.15,-1.91%,18.14%,1.72,2.12,-0.4,-1.86%,3.89,0.09,0.67,4.97,47421600.0,2151000000.0,112.14
2023-08-31,蓝箭电子,48.0,8.11%,39.45%,4.55,4.17,0.38,1.67%,8.73,0.04,1.57,12.39,47421600.0,2276000000.0,118.67
2023-08-29,蓝箭电子,44.0,7.55%,26.21%,2.85,2.49,0.3599999999999997,1.72%,5.35,0.0,1.02,10.17,47421600.0,2087000000.0,108.78
2023-08-28,蓝箭电子,40.91,5.17%,24.82%,2.55,2.31,0.24,1.24%,4.86,-0.02,0.9,6.66,47421600.0,1940000000.0,129.77
2023-08-25,蓝箭电子,38.9,-8.06%,23.61%,2.19,2.28,-0.09,-0.49%,4.47,-0.1,0.73,8.51,47421600.0,1845000000.0,123.39
2023-08-24,蓝箭电子,42.31,-1.90%,21.95%,2.25,2.23,0.02,0.10%,4.47,0.0,0.61,6.7,47421600.0,2006000000.0,134.21
2023-08-21,蓝箭电子,52.08,-1.27%,34.24%,3.83,4.59,-0.76,-3.08%,8.42,0.0,0.8,11.45,47421600.0,2470000000.0,165.2
2023-08-18,蓝箭电子,53.0,2.67%,43.30%,5.45,5.64,-0.19,-0.76%,11.17,-0.02,1.04,13.68,47421600.0,2501000000.0,167.32
2023-08-16,蓝箭电子,50.26,-4.65%,39.44%,4.33,4.88,-0.55,-2.31%,9.22,0.02,0.7,9.09,47421600.0,2383000000.0,159.43
2023-08-15,蓝箭电子,52.71,-0.11%,42.59%,5.04,5.9,-0.86,-3.44%,11.07,0.1,0.7,10.95,47421600.0,2500000000.0,167.2
2023-08-11,蓝箭电子,58.38,5.04%,56.06%,7.3,8.03,-0.7299999999999988,-2.64%,15.33,0.02,0.69,21.43,47421600.0,2768000000.0,185.18
2023-08-10,蓝箭电子,55.58,207.41%,80.97%,12.8,12.34,0.46,1.75%,25.14,0.0,--,181.08,47421600.0,2636000000.0,176.3
