股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
利仁科技,3.93%,0.0%,inf
赛维时代,5.93%,0.0%,inf
通达创智,5.08%,0.25%,20.336933333333764
悦安新材,2.67%,-0.15%,18.072085714285638
凯旺科技,2.17%,0.13%,16.64390000000134
广联航空,1.58%,0.11%,14.90993333333277
建科机械,1.16%,-0.1%,11.901600000000252
盾安环境,1.64%,0.14%,11.471800000000243
吉峰科技,2.27%,-0.2%,11.463500000000243
震裕科技,1.86%,-0.19%,9.990857142857104
拓山重工,4.75%,0.49%,9.629833333333425
森林包装,1.29%,0.13%,9.623400000000204
金杯电工,1.05%,0.12%,8.652000000000188
泰福泵业,2.76%,0.35%,7.933028571428539
中信博,2.21%,0.29%,7.639233333333042
北矿科技,1.82%,0.25%,7.184449999999834
华源控股,1.97%,0.28%,7.003350000000149
科安达,1.08%,-0.16%,6.939000000000147
龙头股份,1.21%,0.18%,6.800200000000145
中岩大地,1.64%,0.31%,5.300479999999925
中设股份,1.8%,0.34%,5.269500000000112
共同药业,1.18%,0.27%,4.360100000000093
科汇股份,1.81%,-0.44%,4.137142857142841
王力安防,7.45%,1.87%,3.9877105263157997
晶雪节能,1.94%,0.5%,3.8450799999999457
帅丰电器,1.55%,0.41%,3.779785714285699
晨化股份,1.18%,0.35%,3.3659500000000717
华东重机,1.68%,0.52%,3.250799999999997
开普检测,4.74%,1.46%,3.2401285714285857
喜悦智行,1.25%,-0.4%,3.162499999999974
赛隆药业,1.41%,-0.45%,3.130200000000066
伟时电子,3.77%,1.22%,3.089415789473692
山东华鹏,1.19%,0.39%,3.03449999999993
楚环科技,1.97%,0.69%,2.8720526315789283
长江材料,5.03%,1.81%,2.7760162162162354
英诺激光,1.64%,-0.62%,2.664999999999998
津荣天宇,1.59%,0.65%,2.431564285714276
亚光股份,3.2%,1.33%,2.410666666666651
长盈通,3.0%,-1.3%,2.3068750000000144
望变电气,1.34%,0.58%,2.299927272727284
明新旭腾,1.03%,0.45%,2.2781727272726653
南华仪器,3.17%,1.42%,2.2295666666666882
积成电子,1.47%,0.66%,2.2255800000000083
同益股份,2.15%,-0.97%,2.207781249999998
臻镭科技,1.66%,-0.81%,2.0619803921568707
欣贺股份,2.07%,1.02%,2.038950000000007
创源股份,1.3%,0.64%,2.0345000000000435
炜冈科技,1.63%,0.81%,2.002726666666686
奥特维,1.28%,0.65%,1.9827409836065593
普瑞眼科,1.39%,-0.78%,1.7751531645569476
漱玉平民,1.01%,-0.59%,1.7096545454545546
真爱美家,3.23%,1.91%,1.6892899999999962
山水比德,3.99%,2.37%,1.6859238805970105
富春染织,2.73%,1.63%,1.6768500000000015
联翔股份,1.9%,1.14%,1.6699999999999886
同力日升,2.78%,1.71%,1.623179591836728
美芯晟,1.04%,-0.65%,1.603931034482764
上海凯鑫,2.81%,1.76%,1.593858139534885
瑞联新材,3.84%,2.52%,1.5252645161290328
浙江震元,1.14%,0.75%,1.5180999999999876
建科股份,1.27%,0.84%,1.5066210526315686
五洲医疗,2.61%,1.74%,1.4994705882352999
新莱福,13.56%,9.12%,1.4866173228346475
安奈儿,4.99%,3.38%,1.4777204545454503
嘉曼服饰,2.14%,1.48%,1.4447891891891855
江波龙,7.45%,5.2%,1.432399810964081
格林达,1.17%,-0.82%,1.430812499999988
华自科技,2.79%,1.95%,1.4288181818181735
雅艺科技,4.67%,3.35%,1.3956489583333371
瑞晨环保,2.91%,2.13%,1.3632909090909162
金卡智能,1.1%,0.81%,1.360999999999985
维康药业,2.1%,1.55%,1.3506000000000085
金富科技,3.23%,2.4%,1.345365217391302
金埔园林,1.68%,1.27%,1.3216000000000128
力源科技,2.51%,1.95%,1.2895124999999992
普利特,2.88%,2.24%,1.2876387096774173
电光科技,1.08%,0.85%,1.2771000000000272
霍普股份,3.72%,2.95%,1.2622864864864831
清研环境,1.76%,1.4%,1.261333333333323
豪森股份,2.05%,1.64%,1.2505000000000008
深科达,5.08%,-4.13%,1.2292760330578505
众望布艺,3.3%,2.69%,1.22892
福莱新材,1.55%,-1.27%,1.2244999999999937
航天南湖,2.0%,1.64%,1.2180487804878044
崧盛股份,1.83%,1.51%,1.208390322580636
经纬股份,9.2%,7.66%,1.2014925373134324
聚赛龙,4.75%,4.03%,1.1779999999999968
嘉欣丝绸,1.06%,0.91%,1.1607000000000076
广信材料,4.74%,4.11%,1.1538937500000022
澳弘电子,2.45%,2.13%,1.1499361702127602
胜蓝股份,2.3%,-2.04%,1.1249090909090877
新柴股份,3.03%,2.72%,1.113524999999999
中航西飞,1.08%,0.97%,1.111104
双枪科技,1.57%,1.43%,1.1005193548387142
凯中精密,3.3%,3.02%,1.0920937499999992
野马电池,1.31%,1.2%,1.0905749999999954
倍杰特,5.87%,5.41%,1.085003225806453
天山电子,4.49%,4.14%,1.0835601769911516
贝肯能源,3.43%,3.2%,1.071215384615378
同兴环保,2.99%,2.81%,1.0622368421052628
上海艾录,2.32%,-2.19%,1.0611478260869547
红墙股份,3.9%,3.69%,1.0560000000000036
立讯精密,1.1%,1.05%,1.048558823529401
天元股份,3.08%,3.07%,1.0048499999999991
思进智能,1.26%,-1.29%,0.9765000000000033
山东药玻,1.08%,-1.11%,0.9727199999999977
光大同创,6.34%,6.56%,0.9668500000000005
大洋生物,3.02%,3.15%,0.9600723809523835
逸豪新材,1.17%,1.25%,0.9365571428571391
浙江恒威,4.03%,4.34%,0.9278672000000001
金钟股份,8.6%,9.42%,0.9128968253968256
华铭智能,1.63%,-1.79%,0.9112476190476154
嘉华股份,1.86%,2.07%,0.8976000000000037
精锻科技,1.91%,-2.13%,0.895789999999998
深科技,2.14%,2.41%,0.8894374999999993
国机通用,1.24%,1.41%,0.881705263157897
仟源医药,9.61%,10.91%,0.8809166666666657
晶品特装,1.82%,-2.08%,0.874028235294116
西大门,1.25%,1.47%,0.852380952380956
起帆电缆,1.46%,1.73%,0.8447142857142822
冠中生态,4.26%,5.11%,0.834392
西上海,4.55%,5.45%,0.8343214285714282
宸展光电,1.2%,1.44%,0.8342068965517264
华融化学,4.6%,5.55%,0.8289583333333326
赛腾股份,3.33%,-4.07%,0.818707100591717
国泰环保,3.85%,4.71%,0.8177771084337331
涛涛车业,9.0%,11.01%,0.8175572519083965
福然德,1.1%,1.35%,0.8167500000000083
瑞泰科技,1.11%,-1.36%,0.8165437499999993
大宏立,1.54%,1.91%,0.8071853658536583
通行宝,1.86%,-2.31%,0.8068551724137907
满坤科技,9.5%,11.91%,0.7975981873111776
华瓷股份,1.15%,1.45%,0.7934999999999947
神剑股份,1.77%,2.23%,0.792566666666668
确成股份,1.78%,2.28%,0.7796399999999958
蒙泰高新,2.32%,2.98%,0.77952
葫芦娃,1.2%,1.55%,0.7763478260869612
青岛食品,2.04%,2.64%,0.772225000000005
泰慕士,15.25%,19.95%,0.7645243362831857
德石股份,2.81%,3.72%,0.7560238095238107
凌玮科技,2.59%,3.44%,0.7534545454545446
国星光电,1.02%,1.36%,0.7505500000000048
上海三毛,3.1%,4.14%,0.7480789473684195
万丰股份,1.62%,2.2%,0.7366736842105283
宁波富邦,2.57%,3.49%,0.7355756756756737
成飞集成,1.13%,1.55%,0.7295147058823532
龙利得,1.66%,2.28%,0.7280285714285685
华生科技,3.59%,4.93%,0.7275733333333337
恒大高新,2.56%,3.53%,0.7261090909090917
华锡有色,3.16%,4.39%,0.7194410958904106
正弦电气,1.58%,-2.2%,0.7167206896551743
艾布鲁,1.24%,1.73%,0.7148869565217378
国缆检测,1.54%,2.16%,0.712712
浙江力诺,1.51%,2.12%,0.7112894736842057
国机汽车,1.63%,2.31%,0.7067680000000001
银轮股份,1.65%,2.34%,0.7053750000000024
豪恩汽电,8.57%,12.2%,0.7025370673952649
博硕科技,1.17%,-1.68%,0.6968571428571402
明牌珠宝,1.14%,-1.65%,0.6902181818181798
通源石油,5.07%,7.39%,0.6860343749999994
保立佳,2.28%,3.33%,0.6839999999999977
延江股份,1.49%,2.18%,0.6832714285714301
华测导航,1.68%,2.48%,0.6779544303797445
博菲电气,4.01%,5.94%,0.6753405286343602
华凯易佰,3.18%,4.74%,0.670511627906977
华光新材,1.95%,2.91%,0.6701842105263155
杭州高新,2.21%,3.31%,0.6683575757575757
白云电器,1.55%,2.34%,0.6636818181818163
航天环宇,7.78%,11.8%,0.6595202614379088
长城电工,1.84%,2.8%,0.6566499999999994
风光股份,2.51%,3.82%,0.6564615384615374
豪尔赛,1.04%,1.6%,0.6520347826086943
狮头股份,1.1%,1.69%,0.6519999999999979
恒烁股份,6.55%,10.09%,0.6488933588761164
富煌钢构,1.01%,1.58%,0.64078888888889
博通股份,1.84%,2.88%,0.6399750000000031
兴业科技,1.34%,2.1%,0.638912
镇海股份,1.17%,1.84%,0.6364799999999986
华斯股份,3.11%,4.89%,0.6361363636363643
迈威生物,1.17%,1.85%,0.6335999999999992
万朗磁塑,1.93%,3.05%,0.6334797468354436
华业香料,1.85%,2.93%,0.6309328358208973
可靠股份,1.8%,2.89%,0.6229090909090909
远翔新材,2.07%,3.32%,0.6225923076923082
绿岛风,1.44%,2.32%,0.621800000000001
新疆火炬,1.22%,1.97%,0.6178428571428546
海顺新材,3.53%,5.73%,0.6165733333333331
英力股份,2.74%,4.45%,0.6163014492753611
世华科技,1.64%,2.67%,0.6146846153846117
华大智造,1.64%,2.68%,0.6112286919831211
金三江,2.68%,4.44%,0.6034466666666669
星光农机,4.74%,7.86%,0.6033891891891889
德联集团,2.03%,3.37%,0.603029411764706
寒武纪,1.02%,1.7%,0.5983586626139832
达刚控股,1.17%,1.97%,0.5927999999999995
冠盛股份,4.31%,7.32%,0.589152066115702
天禾股份,2.04%,3.47%,0.5875199999999999
长盛轴承,2.95%,-5.03%,0.5868392857142852
隆扬电子,3.57%,6.14%,0.5816405660377365
泰和科技,1.49%,2.58%,0.5778292682926852
新锐股份,1.71%,2.98%,0.5740405063291144
联合化学,3.85%,6.79%,0.5672658227848107
福莱蒽特,2.14%,3.78%,0.5661046511627912
爱克股份,1.93%,3.44%,0.560858
盛路通信,1.49%,2.66%,0.5599916666666661
毅昌科技,1.29%,2.31%,0.5583857142857119
建艺集团,2.15%,3.88%,0.5547767857142852
西力科技,1.3%,-2.35%,0.553967741935483
晨光新材,2.03%,3.68%,0.5512718749999995
星帅尔,1.57%,2.85%,0.5503263157894751
宏达高科,1.18%,2.14%,0.5501749999999995
天孚通信,1.56%,2.84%,0.5492664259927805
新易盛,1.14%,-2.08%,0.5482857142857153
华是科技,2.26%,4.13%,0.5467741935483873
德邦股份,1.26%,2.31%,0.5461200000000006
航宇科技,1.59%,2.95%,0.5398281553398052
金百泽,2.31%,-4.3%,0.5373260869565206
禾望电气,3.02%,5.63%,0.5367281437125743
通源环境,2.62%,-4.89%,0.5362027397260284
万方发展,1.25%,2.36%,0.5303571428571441
庄园牧场,2.24%,4.22%,0.5302956521739142
超捷股份,3.99%,7.57%,0.5273985781990522
顺博合金,1.39%,2.66%,0.5221187499999995
丽臣实业,2.35%,4.62%,0.5087864077669915
南大环境,3.64%,7.16%,0.5084407643312101
美芝股份,2.04%,4.05%,0.5031999999999992
