股票简称,10日净买入率总和,10日最新价涨跌幅,10日净买入率/涨跌幅
科净源,1.99%,0.0%,inf
君逸数码,19.86%,-1.18%,16.82714237288126
雪迪龙,1.56%,0.12%,13.150800000000281
奥浦迈,1.41%,0.18%,7.880333333333033
中国软件,1.85%,0.27%,6.764833333333397
博迈科,1.37%,-0.23%,5.9366666666667935
英诺激光,1.07%,0.21%,5.195920000000295
拓山重工,7.29%,-1.43%,5.089745454545481
宝新能源,1.27%,-0.3%,4.2672000000000905
天力锂能,19.87%,-4.78%,4.159285654008443
金科股份,3.53%,0.87%,4.077149999999997
财通证券,1.44%,0.36%,4.032000000000086
百诚医药,2.53%,0.63%,4.002589743589738
保立佳,1.67%,-0.47%,3.5366888888888934
小崧股份,2.19%,-0.78%,2.825100000000004
泰慕士,13.36%,5.45%,2.452758974358971
三博脑科,2.11%,1.17%,1.8078863636363731
汇得科技,1.53%,-0.85%,1.7910000000000195
盟升电子,1.12%,-0.63%,1.7835151515151606
源飞宠物,5.69%,-3.42%,1.662744444444447
星源卓镁,3.87%,-2.36%,1.639407975460127
华创云信,1.78%,1.17%,1.5209111111111135
天阳科技,1.66%,1.26%,1.3201368421052544
华鹏飞,2.92%,2.35%,1.2449818181818246
伟测科技,2.24%,-1.91%,1.1748740740740735
税友股份,1.11%,1.08%,1.0237227272727158
锦龙股份,4.4%,4.67%,0.9428571428571416
宁波方正,5.56%,-6.47%,0.8595387559808597
酷特智能,1.98%,2.33%,0.8487599999999981
联合光电,3.99%,4.71%,0.8464860759493681
弘业期货,6.83%,-8.3%,0.8233351562500004
南京证券,1.15%,1.48%,0.7749230769230723
亚太药业,1.31%,1.8%,0.7286874999999994
凯莱英,1.21%,1.69%,0.7143544600938982
华鑫股份,1.68%,2.5%,0.6708800000000025
深桑达A,1.02%,1.53%,0.667656521739129
乐通股份,1.24%,1.86%,0.667600000000003
朗进科技,1.02%,1.54%,0.6627166666666676
亨迪药业,2.61%,4.01%,0.6509181818181828
三维天地,6.55%,10.34%,0.6331666666666664
乐心医疗,1.28%,2.12%,0.6040380952380978
青云科技,1.49%,2.49%,0.5993863636363629
中原证券,1.03%,-1.74%,0.5909624999999994
银之杰,4.57%,7.81%,0.585050495049505
康芝药业,1.76%,3.12%,0.5641263157894724
国金证券,1.36%,2.46%,0.5519333333333328
华泰证券,1.33%,2.42%,0.550619999999997
麒麟信安,6.44%,11.99%,0.5371848275862074
玉马遮阳,2.71%,5.06%,0.5355945454545448
中科金财,3.11%,6.0%,0.5184402061855676
恺英网络,2.56%,5.07%,0.5052631578947371
埃科光电,1.92%,3.95%,0.4858666666666661
金杨股份,4.55%,9.46%,0.48084486873508386
川宁生物,1.56%,3.37%,0.46228000000000163
威迈斯,2.47%,5.38%,0.459169140625001
铭普光磁,1.55%,-3.43%,0.45230120481927794
天风证券,1.74%,-3.91%,0.4454400000000003
宏源药业,6.63%,14.93%,0.44393375000000035
荣旗科技,1.99%,-4.5%,0.4425759999999999
智洋创新,1.17%,2.65%,0.4412199999999971
北新路桥,2.5%,5.85%,0.4274193548387089
豫光金铅,2.32%,5.76%,0.40310000000000046
上海凯宝,1.03%,2.56%,0.40227222222222275
神州数码,6.71%,16.69%,0.40212746478873274
东华测试,1.01%,-2.52%,0.40154854368932
宏景科技,7.89%,19.77%,0.39900142630744856
法本信息,3.22%,8.12%,0.39673944954128443
汇隆新材,1.3%,-3.3%,0.393810344827585
东星医疗,5.59%,14.63%,0.38221919831223594
思特奇,2.47%,6.6%,0.3744206349206356
铜牛信息,3.71%,9.97%,0.3722753124999997
科蓝软件,2.29%,6.16%,0.3717882352941178
古鳌科技,2.41%,-6.48%,0.3717118644067797
华旺科技,1.66%,-4.58%,0.36215102040816316
铜峰电子,3.57%,9.95%,0.3589561643835614
华大九天,1.38%,3.87%,0.3568186397984888
创识科技,4.79%,13.59%,0.3524071428571432
耐普矿机,1.77%,5.09%,0.3479717391304341
太极股份,1.36%,3.92%,0.3468397660818711
奥海科技,1.41%,-4.16%,0.33907602739726006
开勒股份,2.4%,-7.26%,0.33058064516129015
华人健康,3.08%,9.51%,0.3238502923976606
科创信息,4.65%,14.77%,0.31492063492063516
药易购,4.16%,13.56%,0.3067018867924529
达嘉维康,3.11%,10.48%,0.2967640845070423
莱尔科技,3.0%,10.11%,0.29666666666666675
天亿马,2.67%,9.07%,0.2942741935483872
果麦文化,2.98%,10.3%,0.2892432801822323
浩丰科技,2.33%,8.11%,0.2873666666666668
超捷股份,1.03%,-3.6%,0.28590303030302977
*ST京蓝,2.26%,8.2%,0.27572000000000013
美芯晟,1.82%,6.69%,0.27207397260273974
长亮科技,1.98%,7.32%,0.270336
通行宝,1.45%,5.4%,0.2684877049180331
粤万年青,1.23%,4.6%,0.2673560439560439
财富趋势,5.11%,19.28%,0.2650995898277275
美芝股份,1.1%,-4.17%,0.2639999999999994
亚宝药业,1.61%,6.11%,0.26335000000000003
直真科技,2.16%,8.23%,0.2623164179104476
超图软件,1.36%,5.21%,0.26084102564102607
鼎通科技,1.55%,-5.95%,0.2606565995525728
盛美上海,1.29%,5.0%,0.2578766730401527
茂莱光学,2.38%,9.26%,0.25704286574352775
恒锋信息,1.64%,6.47%,0.2533276595744678
森鹰窗业,3.54%,-14.24%,0.2485561165048546
华阳国际,2.23%,-9.01%,0.24757551020408153
智莱科技,3.97%,16.13%,0.24609731182795683
永鼎股份,1.61%,6.62%,0.24303333333333327
北方国际,1.84%,7.62%,0.24157419354838744
威士顿,4.11%,17.04%,0.24119127773527185
中国电信,1.13%,4.71%,0.2398111111111115
恩威医药,2.28%,9.54%,0.2389821989528796
新炬网络,1.52%,6.61%,0.22983132530120473
艾为电子,1.52%,6.67%,0.22786337078651672
唯捷创芯,1.83%,8.08%,0.22660773809523782
中科飞测,1.04%,4.61%,0.22581538461538495
杰创智能,1.58%,7.0%,0.22579432624113477
瑞康医药,1.39%,6.16%,0.2255590909090907
蓝晓科技,1.73%,7.86%,0.22015098039215672
宝莱特,1.63%,7.44%,0.21901954022988482
任子行,1.4%,6.47%,0.21646153846153868
智翔金泰,3.17%,-14.72%,0.21529583333333333
荣联科技,1.33%,6.5%,0.20475813953488387
威力传动,5.23%,-26.33%,0.198646884272997
中国移动,1.31%,6.64%,0.19732403225806444
首都在线,1.34%,7.02%,0.19098526315789452
英飞拓,2.91%,15.34%,0.18964322033898323
众生药业,1.38%,7.46%,0.18508235294117684
容百科技,1.05%,5.72%,0.18362195121951191
联合化学,1.46%,8.04%,0.18148811881188115
南天信息,3.04%,17.46%,0.17409131832797406
海光信息,1.46%,-8.72%,0.16741712062256808
恒润股份,1.23%,7.56%,0.1627941176470589
萤石网络,1.7%,10.49%,0.1620425531914895
指南针,3.91%,25.45%,0.1536464788732394
赢时胜,1.08%,7.18%,0.15047999999999964
睿创微纳,1.05%,7.15%,0.1469036697247705
中光防雷,2.36%,16.2%,0.1456410958904109
珠江股份,1.03%,7.11%,0.1449357142857144
天玑科技,4.01%,27.85%,0.14400992063492066
新华网,1.33%,9.43%,0.14109125475285159
海波重科,1.34%,-9.53%,0.1405574468085108
汇纳科技,1.28%,9.23%,0.1386175115207372
*ST新纺,1.54%,11.11%,0.13860000000000014
西点药业,2.81%,20.32%,0.13828664383561642
尚太科技,1.43%,10.48%,0.1364717391304347
信安世纪,1.63%,12.77%,0.12760856269113152
太平洋,4.02%,31.87%,0.12614482758620696
三五互联,1.85%,14.87%,0.1243895027624309
中孚信息,2.64%,21.78%,0.12123821656050951
凡拓数创,1.17%,9.98%,0.11723696202531639
聚胶股份,1.58%,13.68%,0.11550019880715717
零点有数,1.46%,13.08%,0.11157956777996063
漱玉平民,1.13%,10.26%,0.11014587628865974
东华能源,1.09%,9.95%,0.1095989010989011
中亦科技,2.59%,23.95%,0.10812469879518065
蜂助手,1.74%,16.35%,0.10639672131147535
天孚通信,1.15%,10.87%,0.10575977366255146
天键股份,1.06%,11.44%,0.09265734265734268
南凌科技,1.62%,17.98%,0.0901216216216216
普利制药,1.05%,12.02%,0.08737037037037036
慧博云通,4.5%,60.17%,0.07478293983244476
高伟达,1.12%,15.47%,0.07238095238095231
金凯生科,2.35%,49.36%,0.047610304384250214
碧兴物联,1.39%,-34.44%,0.04035669846536707
*ST西发,1.37%,42.61%,0.032150806451612904
