股票简称,1日净买入率总和,1日最新价涨跌幅,1日净买入率/涨跌幅
威尔高,7.47%,0.0%,inf
力源信息,6.67%,0.0%,inf
富乐德,6.2%,0.0%,inf
双乐股份,5.45%,0.0%,inf
金科股份,4.9%,0.0%,inf
利和兴,4.54%,0.0%,inf
中英科技,3.91%,0.0%,inf
华力创通,3.54%,0.0%,inf
广钢气体,3.43%,0.0%,inf
儒竞科技,3.42%,0.0%,inf
美芯晟,3.38%,0.0%,inf
美埃科技,3.34%,0.0%,inf
创耀科技,3.32%,0.0%,inf
强力新材,3.18%,0.0%,inf
兴民智通,3.17%,0.0%,inf
苏大维格,3.12%,0.0%,inf
磁谷科技,3.11%,0.0%,inf
国科军工,3.02%,0.0%,inf
恒宇信通,2.88%,0.0%,inf
强瑞技术,2.8%,0.0%,inf
岭南股份,2.73%,0.0%,inf
中电港,2.72%,0.0%,inf
大港股份,2.63%,0.0%,inf
国泰环保,2.6%,0.0%,inf
众辰科技,2.58%,0.0%,inf
蓝箭电子,2.58%,0.0%,inf
观想科技,2.52%,0.0%,inf
大龙地产,2.51%,0.0%,inf
康鹏科技,2.5%,0.0%,inf
茂莱光学,2.47%,0.0%,inf
高盟新材,2.42%,0.0%,inf
宝丽迪,2.4%,0.0%,inf
盛邦安全,2.38%,0.0%,inf
光庭信息,2.35%,0.0%,inf
本川智能,2.34%,0.0%,inf
致尚科技,2.3%,0.0%,inf
智迪科技,2.29%,0.0%,inf
联盛化学,2.25%,0.0%,inf
阿莱德,2.23%,0.0%,inf
怡达股份,2.2%,0.0%,inf
腾景科技,2.17%,0.0%,inf
联动科技,2.14%,0.0%,inf
天房发展,2.12%,0.0%,inf
文一科技,2.09%,0.0%,inf
耐科装备,2.06%,0.0%,inf
中润光学,2.05%,0.0%,inf
翔腾新材,2.02%,0.0%,inf
惠伦晶体,1.99%,0.0%,inf
一博科技,1.94%,0.0%,inf
天禄科技,1.93%,0.0%,inf
菲菱科思,1.92%,0.0%,inf
南芯科技,1.9%,0.0%,inf
北方长龙,1.9%,0.0%,inf
华懋科技,1.84%,0.0%,inf
天和防务,1.84%,0.0%,inf
司南导航,1.82%,0.0%,inf
硕贝德,1.82%,0.0%,inf
晶瑞电材,1.8%,0.0%,inf
飞龙股份,1.79%,0.0%,inf
创益通,1.79%,0.0%,inf
泰凌微,1.79%,0.0%,inf
中船特气,1.78%,0.0%,inf
泰慕士,1.77%,0.0%,inf
智动力,1.76%,0.0%,inf
理工导航,1.76%,0.0%,inf
南大光电,1.75%,0.0%,inf
芯动联科,1.75%,0.0%,inf
宁波方正,1.73%,0.0%,inf
中富电路,1.72%,0.0%,inf
路维光电,1.72%,0.0%,inf
华虹公司,1.72%,0.0%,inf
福晶科技,1.71%,0.0%,inf
江化微,1.67%,0.0%,inf
长江材料,1.65%,0.0%,inf
阿石创,1.64%,0.0%,inf
甬矽电子,1.63%,0.0%,inf
汇中股份,1.59%,0.0%,inf
晶方科技,1.58%,0.0%,inf
善水科技,1.54%,0.0%,inf
浩丰科技,1.54%,0.0%,inf
中南建设,1.51%,0.0%,inf
长盈通,1.5%,0.0%,inf
长华化学,1.5%,0.0%,inf
创意信息,1.5%,0.0%,inf
智立方,1.49%,0.0%,inf
荣盛发展,1.49%,0.0%,inf
捷强装备,1.49%,0.0%,inf
江丰电子,1.48%,0.0%,inf
天山电子,1.47%,0.0%,inf
新赛股份,1.46%,0.0%,inf
云鼎科技,1.46%,0.0%,inf
华海诚科,1.44%,0.0%,inf
奥维通信,1.43%,0.0%,inf
西部牧业,1.42%,0.0%,inf
雷尔伟,1.42%,0.0%,inf
捷邦科技,1.41%,0.0%,inf
中晶科技,1.39%,0.0%,inf
华亚智能,1.39%,0.0%,inf
英唐智控,1.39%,0.0%,inf
中科飞测,1.38%,0.0%,inf
康强电子,1.36%,0.0%,inf
长青科技,1.34%,0.0%,inf
美硕科技,1.31%,0.0%,inf
海立股份,1.31%,0.0%,inf
欣天科技,1.31%,0.0%,inf
科瑞思,1.31%,0.0%,inf
金力泰,1.3%,0.0%,inf
至纯科技,1.3%,0.0%,inf
实益达,1.3%,0.0%,inf
盟固利,1.3%,0.0%,inf
立航科技,1.3%,0.0%,inf
同益股份,1.29%,0.0%,inf
康达新材,1.29%,0.0%,inf
安利股份,1.28%,0.0%,inf
盈方微,1.26%,0.0%,inf
柏诚股份,1.26%,0.0%,inf
中超控股,1.26%,0.0%,inf
福莱新材,1.25%,0.0%,inf
华正新材,1.25%,0.0%,inf
