,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),成交额,成交额占比%
1,半导体及元件,7307.96,3.00%,266.1,199.28,66.82,465.38,6.05
21,计算机应用,10555.3,0.55%,203.48,207.53,-4.05,411.01,5.34
29,电力设备,4471.07,0.17%,157.35,188.88,-31.52,346.23,4.5
3,国防军工,1673.78,2.62%,118.23,85.26,32.97,203.49,2.65
71,传媒,2350.17,-1.13%,83.81,112.65,-28.84,196.46,2.55
45,证券,1296.64,-0.26%,79.11,95.28,-16.18,174.39,2.27
7,房地产开发,1700.61,2.21%,90.73,64.32,26.41,155.05,2.02
5,通信设备,4009.84,2.52%,68.38,64.62,3.76,133.0,1.73
6,光学光电子,3267.65,2.41%,65.03,58.86,6.16,123.89,1.61
17,汽车零部件,3914.31,0.68%,57.63,55.82,1.81,113.45,1.48
8,消费电子,6061.83,1.56%,57.1,53.07,4.03,110.17,1.43
0,电子化学品,33569.2,5.50%,56.48,43.47,13.01,99.94999999999999,1.3
40,饮料制造,4649.32,-0.14%,45.5,48.83,-3.33,94.33,1.23
9,计算机设备,2676.63,1.43%,45.39,43.61,1.77,89.0,1.16
18,通用设备,4838.66,0.64%,40.45,45.03,-4.58,85.48,1.11
16,自动化设备,15530.8,0.74%,41.87,42.32,-0.44,84.19,1.09
15,专用设备,4532.95,0.81%,41.47,41.65,-0.17,83.12,1.08
11,化学制品,5341.37,1.23%,43.03,39.03,4.0,82.06,1.07
32,建筑装饰,3255.95,0.07%,35.7,45.2,-9.5,80.9,1.05
19,汽车整车,2362.26,0.63%,41.9,38.36,3.55,80.25999999999999,1.04
28,银行,930.878,0.21%,36.96,36.36,0.59,73.32,0.95
53,环保,3294.27,-0.38%,30.01,37.36,-7.35,67.37,0.88
61,电力,1475.75,-0.69%,26.6,38.33,-11.72,64.93,0.84
25,通信服务,2084.57,0.40%,31.48,32.49,-1.01,63.97,0.83
26,煤炭开采加工,2233.81,0.34%,30.08,28.93,1.15,59.01,0.77
31,小金属,4063.85,0.16%,25.53,28.16,-2.64,53.69,0.7
2,其他电子,8876.96,2.65%,30.29,22.46,7.83,52.75,0.69
59,化学制药,4585.34,-0.65%,20.29,31.55,-11.26,51.84,0.67
27,保险及其他,1733.27,0.32%,25.63,24.41,1.21,50.04,0.65
44,零售,1542.97,-0.22%,19.92,28.53,-8.61,48.45,0.63
37,工业金属,2351.95,-0.09%,20.12,24.65,-4.54,44.769999999999996,0.58
12,化工合成材料,3982.34,1.23%,22.82,20.1,2.71,42.92,0.56
67,医疗服务,15448.6,-0.82%,18.33,24.76,-6.42,43.09,0.56
47,医疗器械,9714.73,-0.33%,18.16,19.91,-1.75,38.07,0.5
63,中药,3460.14,-0.72%,15.17,22.97,-7.81,38.14,0.5
34,白色家电,4690.17,0.06%,16.37,18.56,-2.19,34.93,0.45
56,家用轻工,3236.2,-0.50%,15.13,18.62,-3.49,33.75,0.44
60,食品加工制造,4779.89,-0.67%,13.85,17.39,-3.54,31.240000000000002,0.41
22,包装印刷,3055.89,0.50%,13.56,16.08,-2.53,29.64,0.39
14,油气开采及服务,1169.94,1.10%,14.62,14.32,0.3,28.939999999999998,0.38
42,建筑材料,4357.32,-0.17%,12.3,16.59,-4.3,28.89,0.38
70,钢铁,1414.76,-1.03%,10.85,15.56,-4.7,26.41,0.34
64,生物制品,5461.24,-0.74%,10.1,15.32,-5.21,25.42,0.33
54,物流,4492.45,-0.41%,10.61,14.07,-3.45,24.68,0.32
74,港口航运,895.528,-1.24%,8.44,15.66,-7.22,24.1,0.31
30,化学原料,2573.46,0.17%,10.42,10.93,-0.51,21.35,0.28
72,养殖业,2533.01,-1.16%,7.96,13.8,-5.84,21.76,0.28
73,机场航运,1939.21,-1.23%,6.74,12.99,-6.25,19.73,0.26
23,石油加工贸易,2898.41,0.49%,10.93,9.18,1.75,20.11,0.26
10,仪器仪表,4069.74,1.24%,9.94,8.23,1.7,18.17,0.24
