日期,上证收盘价,上证涨跌幅,深证收盘价,深证涨跌幅,上涨的数,下跌的数,上涨10%以上的数,上涨5%以上的数,上涨0%以上的数,下跌5%之内的数,下跌10%之内的数,下跌超过10%的数,资金净流入,主力净流入净额,主力净流入净占比
2023-08-14,3178.43,-0.34%,10755.14,-0.50%,2927,2069,29,90,2981,2017,48,4,32亿,-222.38亿,-3.00%
2023-08-11,3189.25,-2.01%,10808.86,-2.18%,555,4594,16,41,520,4484,101,9,-988亿,-521.68亿,-6.83%
2023-08-10,3254.56,0.31%,11050.22,0.10%,3007,1940,22,68,3137,1895,40,5,-35亿,-188.38亿,-2.71%
2023-08-09,3244.49,-0.49%,11039.45,-0.53%,1182,3873,26,51,1217,3789,78,6,-376亿,-418.99亿,-5.69%
2023-08-08,3260.62,-0.25%,11098.44,-0.42%,1995,2989,24,71,2082,2923,59,7,-324亿,-320.49亿,-4.01%
2023-08-07,3268.83,-0.59%,11145.03,-0.83%,1476,3565,31,69,1501,3464,89,12,-399亿,-438.24亿,-4.92%
2023-08-04,3288.08,0.23%,11238.06,0.67%,2285,2701,20,110,2327,2672,28,1,-29亿,-107.75亿,-1.03%
2023-08-03,3280.46,0.58%,11163.42,0.53%,2066,2910,22,65,2166,2869,38,3,-105亿,-110.99亿,-1.33%
2023-08-02,3261.69,-0.89%,11104.16,-0.35%,2052,2902,20,70,2170,2861,40,1,-455亿,-318.13亿,-3.81%
2023-08-01,3290.95,0.00%,11143.23,-0.36%,1904,3051,27,88,1977,2954,84,13,-333亿,-341.03亿,-3.56%
2023-07-31,3291.04,0.46%,11183.91,0.75%,3633,1432,34,164,3533,1370,60,2,107亿,-124.48亿,-1.13%
2023-07-28,3275.93,1.84%,11100.4,1.62%,3613,1429,40,163,3531,1378,47,4,688亿,140.72亿,1.48%
2023-07-27,3216.67,-0.20%,10923.77,-0.41%,1301,3679,30,50,1402,3588,80,11,-440亿,-311.36亿,-3.99%
2023-07-26,3223.03,-0.26%,10968.98,-0.47%,2104,2926,31,90,2111,2827,96,3,-366亿,-355.18亿,-4.48%
2023-07-24,3164.16,-0.11%,10747.79,-0.58%,2447,2519,14,73,2549,2452,57,10,-197亿,-236.21亿,-3.58%
2023-07-21,3167.74,-0.06%,10810.18,-0.06%,2147,2791,23,65,2272,2649,113,29,-141亿,-246.88亿,-3.47%
2023-07-20,3169.52,-0.92%,10816.27,-1.06%,1004,4025,30,45,1052,3855,158,12,-451亿,-413.52亿,-5.26%
2023-07-19,3198.84,0.03%,10932.65,-0.37%,2152,2802,19,66,2264,2761,36,5,-280亿,-259.32亿,-3.69%
2023-07-17,3209.63,-0.87%,11010.36,-0.63%,2065,2879,29,103,2138,2781,87,11,-415亿,-330.45亿,-4.12%
2023-07-14,3237.7,0.04%,11080.32,-0.14%,2121,2812,43,129,2164,2741,63,8,-218亿,-178.78亿,-1.94%
2023-07-13,3236.48,1.26%,11095.44,1.61%,3907,1098,43,182,3824,1049,43,6,359亿,24.36亿,0.26%
2023-07-12,3196.13,-0.78%,10919.26,-0.99%,891,4180,22,83,863,4003,168,9,-689亿,-462.36亿,-5.07%
2023-07-11,3221.37,0.55%,11028.68,0.78%,3546,1388,28,146,3578,1354,33,1,123亿,-112.17亿,-1.45%
2023-07-10,3203.7,0.22%,10942.83,0.50%,2494,2400,28,109,2607,2318,74,8,-215亿,-141.40亿,-1.86%
2023-07-07,3196.61,-0.28%,10888.55,-0.73%,1805,3120,26,59,1937,3040,71,9,-398亿,-282.56亿,-3.53%
2023-07-06,3205.57,-0.54%,10968.37,-0.55%,2024,2865,30,81,2167,2835,27,3,-283亿,-187.27亿,-2.28%
2023-07-05,3222.95,-0.69%,11029.3,-0.91%,1393,3550,29,86,1478,3473,68,9,-556亿,-348.14亿,-4.01%
2023-07-04,3245.35,0.04%,11130.3,0.35%,2981,1917,49,164,3011,1896,18,3,-139亿,-169.66亿,-1.83%
2023-07-03,3243.98,1.31%,11091.56,0.59%,3133,1854,29,164,3094,1761,76,17,5亿,-80.35亿,-0.78%
2023-06-30,3202.06,0.62%,11026.59,1.02%,3912,1092,41,186,3822,1062,24,6,322亿,-25.24亿,-0.27%
2023-06-29,3182.38,-0.22%,10915.5,-0.10%,3326,1634,46,218,3241,1609,25,0,-16亿,-177.49亿,-2.05%
2023-06-28,3189.38,0.00%,10926.32,-0.47%,2161,2769,27,90,2252,2638,116,15,-182亿,-297.16亿,-3.35%
2023-06-27,3189.44,1.23%,10978.08,0.97%,4265,800,48,279,4005,766,33,1,215亿,-47.73亿,-0.57%
2023-06-26,3150.62,-1.48%,10872.3,-1.68%,902,4164,29,77,859,3669,450,45,-547亿,-510.46亿,-5.22%
