日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1040,中药,1506.0,-1.56,-745466608,-6.67,-423842384,-3.79,-321624224,-2.88,-83365872,-0.75,828432624,7.41
2023-07-05,BK1040,中药,1529.85,-0.52,-414127792,-3.7,-225874784,-2.02,-188253008,-1.6800000000000002,-164321040,-1.47,578227888,5.17
2023-07-04,BK1040,中药,1537.89,-0.18,-341943024,-3.48,-222901568,-2.27,-119041456,-1.21,-82833520,-0.84,424922720,4.33
2023-07-03,BK1040,中药,1540.69,-0.84,-683599344,-5.08,-307049120,-2.28,-376550224,-2.8,132352768,0.98,551791872,4.1
2023-06-30,BK1040,中药,1553.71,1.15,-15953840,-0.13,230895792,1.92,-246849632,-2.06,-19120288,-0.16,35962496,0.30000000000000004
2023-06-29,BK1040,中药,1535.97,1.58,-49058368,-0.48,23248128,0.23,-72306496,-0.7000000000000001,104214704,1.01,-55150688,-0.53
2023-06-28,BK1040,中药,1512.12,0.04,-265716016,-3.37,-44433520,-0.56,-221282496,-2.81,69260848,0.88,194492640,2.47
2023-06-27,BK1040,中药,1511.56,1.98,99198880,1.0,87003392,0.88,12195488,0.12,-83279280,-0.84,-16442224,-0.17
2023-06-26,BK1040,中药,1482.16,-1.64,-539261488,-4.64,-273640304,-2.36,-265621184,-2.29,-12228688,-0.11,550958448,4.74
2023-06-21,BK1040,中药,1506.81,-1.23,-556298848,-5.8100000000000005,-205702544,-2.15,-350596304,-3.66,-46407888,-0.48,602092784,6.29
2023-06-20,BK1040,中药,1525.56,-0.78,-292474688,-2.52,-213305104,-1.83,-79169584,-0.68,83743328,0.72,208153792,1.79
2023-06-19,BK1040,中药,1537.53,-0.1,-288768256,-2.42,-144814448,-1.21,-143953808,-1.21,292355360,2.45,-4299776,-0.04
2023-06-16,BK1040,中药,1539.12,0.13,-83852288,-0.72,-80565488,-0.6900000000000001,-3286800,-0.03,-50462336,-0.43,134239856,1.15
