日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0447,互联网服务,20338.34,0.23,-1231350064,-3.32,-729380400,-1.97,-501969664,-1.35,80729856,0.22,1147887872,3.1
2023-09-04,BK0447,互联网服务,20532.89,1.32,910657408,2.22,777736832,1.9,132920576,0.32,-119293696,-0.29,-788426240,-1.92
2023-08-31,BK0447,互联网服务,20488.36,-0.97,-2772353216,-6.17,-1339525568,-2.98,-1432827648,-3.19,271611648,0.6000000000000001,2500822272,5.5600000000000005
2023-08-29,BK0447,互联网服务,20102.66,5.27,413047552,0.7000000000000001,784976640,1.33,-371929088,-0.63,-555081728,-0.94,142912000,0.24
2023-08-28,BK0447,互联网服务,19097.09,-0.24,-1432684032,-2.15,-951877376,-1.43,-480806656,-0.72,429347840,0.64,1003169536,1.5
2023-08-25,BK0447,互联网服务,19142.71,-4.76,-3301310688,-7.19,-1265515488,-2.76,-2035795200,-4.44,91403520,0.2,3209368320,6.99
2023-08-24,BK0447,互联网服务,20099.75,-0.05,-405617152,-0.8200000000000001,326543360,0.66,-732160512,-1.47,-754494720,-1.52,1159449600,2.33
2023-08-23,BK0447,互联网服务,20109.53,-1.56,-2336667984,-5.12,-1038170704,-2.28,-1298497280,-2.85,363197696,0.8,1973101056,4.33
2023-08-21,BK0447,互联网服务,19576.63,0.55,-1087156944,-3.45,-530902736,-1.6800000000000002,-556254208,-1.76,186883584,0.59,900369920,2.85
2023-08-18,BK0447,互联网服务,19469.71,-3.07,-2967373056,-8.64,-1411193600,-4.11,-1556179456,-4.53,529667328,1.54,2436550144,7.1
2023-08-16,BK0447,互联网服务,19772.13,-1.88,-1678231424,-4.66,-981130112,-2.72,-697101312,-1.94,241023232,0.67,1437026048,3.99
2023-08-15,BK0447,互联网服务,20150.13,-1.51,-1260273280,-3.47,-352070016,-0.97,-908203264,-2.5,-42547456,-0.12,1302815488,3.59
2023-08-14,BK0447,互联网服务,20459.6,2.74,636561792,1.69,488378752,1.3,148183040,0.39,73197568,0.19,-709881344,-1.89
2023-08-11,BK0447,互联网服务,19914.37,-2.56,-3501018544,-9.56,-1854997424,-5.07,-1646021120,-4.5,446861312,1.22,3053923328,8.34
2023-08-10,BK0447,互联网服务,20437.06,-0.16,-1547271328,-4.52,-223225760,-0.65,-1324045568,-3.86,-117810176,-0.34,1664462848,4.86
2023-08-09,BK0447,互联网服务,20469.12,-0.5,-1959968384,-5.21,-800247936,-2.13,-1159720448,-3.08,-19003904,-0.05,1978289664,5.26
2023-08-08,BK0447,互联网服务,20572.7,-0.76,-1902742656,-5.17,-890527616,-2.42,-1012215040,-2.75,-174347008,-0.47,2076994304,5.64
2023-08-07,BK0447,互联网服务,20729.86,0.87,-1906440704,-4.42,-787395072,-1.83,-1119045632,-2.59,53596160,0.12,1852428288,4.3
2023-08-04,BK0447,互联网服务,20550.36,2.96,1672676608,2.74,1448543744,2.37,224132864,0.37,-330804992,-0.54,-1342100224,-2.2
2023-08-03,BK0447,互联网服务,19960.04,-0.28,740087568,2.25,748309264,2.27,-8221696,-0.02,-346646528,-1.05,-394829568,-1.2
2023-08-02,BK0447,互联网服务,20015.43,0.38,-216703536,-0.72,-104570928,-0.35000000000000003,-112132608,-0.37,19757056,0.07,196052736,0.65
2023-08-01,BK0447,互联网服务,19939.44,-0.47,-1043581520,-3.05,-596536144,-1.74,-447045376,-1.3,48495104,0.14,994708480,2.9
2023-07-31,BK0447,互联网服务,20033.14,0.88,-901750528,-2.09,-685476864,-1.59,-216273664,-0.5,172860672,0.4,728072960,1.69
2023-07-28,BK0447,互联网服务,19858.28,0.8,2730115072,6.21,3112932864,7.08,-382817792,-0.87,-1732058880,-3.94,-998929408,-2.27
2023-07-27,BK0447,互联网服务,19701.12,-1.54,-2039144880,-7.61,-1062423728,-3.96,-976721152,-3.64,176121088,0.66,1862765824,6.95
2023-07-26,BK0447,互联网服务,20008.63,-2.11,-2902202960,-8.79,-1676685136,-5.08,-1225517824,-3.71,476268544,1.44,2425549568,7.34
2023-07-24,BK0447,互联网服务,20108.99,1.0,-71417584,-0.24,-42520816,-0.15,-28896768,-0.1,-193580544,-0.66,262885632,0.9
2023-07-21,BK0447,互联网服务,19909.91,-1.15,-953558048,-3.2,-72322080,-0.24,-881235968,-2.96,-185021696,-0.62,1140158208,3.83
2023-07-20,BK0447,互联网服务,20142.13,-1.7000000000000002,-2490349024,-7.31,-904050400,-2.66,-1586298624,-4.66,62043648,0.18,2427692800,7.13
2023-07-19,BK0447,互联网服务,20489.73,0.43,-56065584,-0.19,-13047088,-0.04,-43018496,-0.14,-215142656,-0.72,270874624,0.91
2023-07-17,BK0447,互联网服务,20759.18,-0.25,-1575499424,-4.1,-727033248,-1.89,-848466176,-2.21,136313600,0.35000000000000003,1438423552,3.74
2023-07-14,BK0447,互联网服务,20810.72,2.98,1724837536,3.84,1358550432,3.02,366287104,0.81,-108428800,-0.24,-1617206784,-3.6
2023-07-13,BK0447,互联网服务,20208.6,1.33,650530240,1.82,638382272,1.79,12147968,0.03,-611746048,-1.72,-38632192,-0.11
