日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0429,交运设备,7582.22,0.94,-14103572,-0.39,54262492,1.51,-68366064,-1.91,33082112,0.92,-35438880,-0.99
2023-08-11,BK0429,交运设备,7511.5,-1.77,-176849371,-6.28,-63854491,-2.27,-112994880,-4.01,103500192,3.68,51155664,1.82
2023-08-10,BK0429,交运设备,7647.17,0.12,-3187279,-0.13,24884753,0.98,-28072032,-1.11,3714432,0.15,-196592,-0.01
2023-08-09,BK0429,交运设备,7638.28,-1.21,-169316881,-6.08,-100077569,-3.59,-69239312,-2.49,80518880,2.89,88554288,3.18
2023-08-08,BK0429,交运设备,7732.14,-0.93,-196637007,-7.46,-44500175,-1.69,-152136832,-5.77,90290688,3.43,106171040,4.03
2023-08-07,BK0429,交运设备,7804.66,0.47,-109252285,-3.42,-52439741,-1.64,-56812544,-1.78,68193392,2.13,40749456,1.27
2023-08-04,BK0429,交运设备,7768.41,-0.56,-139636190,-5.04,-14450702,-0.52,-125185488,-4.52,76186496,2.75,63367104,2.29
2023-08-03,BK0429,交运设备,7812.11,-0.91,-105446403,-3.73,-38499027,-1.36,-66947376,-2.37,79572336,2.81,25688736,0.91
2023-08-02,BK0429,交运设备,7884.19,0.2,-63205559,-2.05,-57844167,-1.88,-5361392,-0.17,37728928,1.23,24919456,0.81
2023-08-01,BK0429,交运设备,7868.29,0.06,-12552926,-0.4,-1056910,-0.03,-11496016,-0.36,4395040,0.14,8491072,0.27
2023-07-31,BK0429,交运设备,7863.53,0.81,14184479,0.38,40220239,1.08,-26035760,-0.7000000000000001,-74412704,-2.0,60177952,1.62
2023-07-28,BK0429,交运设备,7800.68,1.26,14484936,0.46,36541240,1.16,-22056304,-0.7000000000000001,-10477136,-0.33,-3582688,-0.11
2023-07-27,BK0429,交运设备,7703.3,-0.45,-64828539,-2.88,-6899867,-0.31,-57928672,-2.5700000000000003,20468832,0.91,44959488,2.0
2023-07-26,BK0429,交运设备,7738.39,-0.8200000000000001,-108672857,-4.79,-73278041,-3.23,-35394816,-1.56,31233360,1.38,76967472,3.39
2023-07-24,BK0429,交运设备,7678.09,0.27,-58293475,-2.51,-27660755,-1.19,-30632720,-1.32,24511216,1.06,33879776,1.46
2023-07-21,BK0429,交运设备,7657.51,-0.66,-101366445,-3.28,-63469917,-2.05,-37896528,-1.23,67213936,2.17,33944240,1.1
2023-07-20,BK0429,交运设备,7708.31,-1.29,-203215395,-6.8100000000000005,-82285667,-2.76,-120929728,-4.05,54082080,1.81,147297568,4.94
2023-07-19,BK0429,交运设备,7808.98,-0.71,-142369678,-5.14,-43545534,-1.57,-98824144,-3.5700000000000003,60121728,2.17,81675872,2.95
2023-07-17,BK0429,交运设备,7840.07,-0.58,-178140128,-5.07,-21727872,-0.62,-156412256,-4.45,45052256,1.28,133227888,3.79
2023-07-14,BK0429,交运设备,7886.12,-0.75,-260865330,-5.98,-92541474,-2.12,-168323856,-3.86,36321728,0.8300000000000001,224878096,5.15
2023-07-13,BK0429,交运设备,7945.69,0.12,-114011061,-2.53,-40486309,-0.9,-73524752,-1.63,-62143824,-1.38,175503360,3.89
2023-07-12,BK0429,交运设备,7935.83,-1.21,-317111813,-6.71,-168336597,-3.56,-148775216,-3.15,32448816,0.6900000000000001,283313952,6.0
2023-07-11,BK0429,交运设备,8033.35,0.89,-231066380,-4.93,-92761500,-1.98,-138304880,-2.95,78341104,1.67,151663504,3.23
2023-07-10,BK0429,交运设备,7962.56,1.04,18451392,0.39,76115776,1.59,-57664384,-1.21,90111232,1.88,-110494160,-2.31
2023-07-07,BK0429,交运设备,7880.47,0.54,-26607141,-0.68,24072107,0.62,-50679248,-1.3,83846288,2.16,-56645184,-1.46
2023-07-06,BK0429,交运设备,7838.06,-0.49,-173225079,-5.03,-57418983,-1.67,-115806096,-3.37,15136960,0.44,157075072,4.57
2023-07-05,BK0429,交运设备,7876.35,-0.61,-147545413,-3.83,-14907845,-0.39,-132637568,-3.44,12375280,0.32,136250256,3.53
2023-07-04,BK0429,交运设备,7924.55,0.84,-4406704,-0.1,56998016,1.26,-61404720,-1.36,-98355328,-2.17,102823920,2.27
2023-07-03,BK0429,交运设备,7858.61,0.25,61560997,1.37,41621,0.0,61519376,1.37,-22010160,-0.49,-40615120,-0.91
2023-06-30,BK0429,交运设备,7838.76,0.24,-178585650,-4.58,-116871586,-3.0,-61714064,-1.58,-36470128,-0.93,214907184,5.51
2023-06-29,BK0429,交运设备,7819.84,1.39,-159386936,-3.65,-13766008,-0.31,-145620928,-3.33,25817024,0.59,134721072,3.08
2023-06-28,BK0429,交运设备,7712.9,0.04,-71139694,-1.72,42347842,1.03,-113487536,-2.75,-44972608,-1.09,115804624,2.8
2023-06-27,BK0429,交运设备,7710.15,2.44,-13641091,-0.32,-5288019,-0.12,-8353072,-0.19,-31962224,-0.74,45755440,1.06
