日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1038,光学光电子,1241.93,0.87,521051808,2.21,706189984,3.0,-185138176,-0.79,-418047488,-1.77,-101803008,-0.43
2023-07-05,BK1038,光学光电子,1231.23,-0.54,-391102368,-1.93,-99617952,-0.49,-291484416,-1.44,-59588864,-0.29,450386688,2.22
2023-07-04,BK1038,光学光电子,1237.9,1.48,314080048,1.45,425954608,1.97,-111874560,-0.52,-304734976,-1.41,-9639168,-0.04
2023-07-03,BK1038,光学光电子,1219.87,-0.09,-721092672,-3.25,-492340544,-2.22,-228752128,-1.03,-54377728,-0.24,775924224,3.49
2023-06-30,BK1038,光学光电子,1220.91,2.16,761943136,3.8,932772704,4.65,-170829568,-0.85,-489132032,-2.44,-272791296,-1.36
2023-06-29,BK1038,光学光电子,1195.07,2.08,-65630224,-0.4,213971824,1.32,-279602048,-1.72,-220469760,-1.36,286027520,1.76
2023-06-28,BK1038,光学光电子,1170.7,-1.42,-574382128,-3.49,-159271424,-0.97,-415110704,-2.52,-145975296,-0.89,720218880,4.37
2023-06-27,BK1038,光学光电子,1187.54,1.7000000000000002,-316646464,-2.06,23609120,0.15,-340255584,-2.21,75231488,0.49,241574656,1.57
2023-06-26,BK1038,光学光电子,1167.67,-2.18,-1018825504,-4.93,-285155360,-1.38,-733670144,-3.55,183015424,0.89,835312896,4.04
2023-06-21,BK1038,光学光电子,1193.73,-1.99,-878367488,-4.53,-406926848,-2.1,-471440640,-2.43,19866880,0.1,858470912,4.43
2023-06-20,BK1038,光学光电子,1218.01,-0.09,-599976704,-3.03,-175273216,-0.89,-424703488,-2.15,-48904192,-0.25,648743680,3.28
2023-06-19,BK1038,光学光电子,1219.1,1.56,-22403968,-0.1,209318272,0.98,-231722240,-1.08,-185788672,-0.87,207879168,0.97
2023-06-16,BK1038,光学光电子,1200.43,1.36,-213626928,-1.14,69126352,0.37,-282753280,-1.51,105603072,0.56,107168512,0.5700000000000001
