日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0730,农药兽药,1043.84,0.46,-19678083,-1.17,-13474463,-0.8,-6203620,-0.37,-25833504,-1.54,43595248,2.59
2023-09-04,BK0730,农药兽药,1042.09,1.57,47447496,1.98,359224,0.02,47088272,1.97,-12163712,-0.51,-34241552,-1.43
2023-08-31,BK0730,农药兽药,1021.48,-0.6000000000000001,-51850436,-3.16,-36358579,-2.22,-15491857,-0.95,29232480,1.78,22021456,1.34
2023-08-29,BK0730,农药兽药,1027.28,2.03,22176914,0.78,-25465326,-0.89,47642240,1.67,53202176,1.86,-75820000,-2.65
2023-08-28,BK0730,农药兽药,1006.86,0.74,-106432915,-3.54,-56002339,-1.86,-50430576,-1.6800000000000002,43697904,1.45,60484960,2.01
2023-08-25,BK0730,农药兽药,999.42,-0.96,-83524512,-4.1,-24393568,-1.2,-59130944,-2.9,-19458032,-0.96,101821616,5.0
2023-08-24,BK0730,农药兽药,1009.15,0.45,-32833863,-1.58,-8827639,-0.43,-24006224,-1.16,-38431824,-1.85,70776352,3.42
2023-08-23,BK0730,农药兽药,1004.62,-1.07,35386580,1.79,114135012,5.76,-78748432,-3.98,-48901504,-2.47,11936704,0.6000000000000001
2023-08-21,BK0730,农药兽药,1025.01,-0.51,-59726818,-2.69,-20693058,-0.93,-39033760,-1.75,8590448,0.39,51889344,2.33
2023-08-18,BK0730,农药兽药,1030.29,-1.08,-59884993,-2.74,-21977105,-1.01,-37907888,-1.74,13151504,0.6000000000000001,45185536,2.07
2023-08-16,BK0730,农药兽药,1038.66,-1.3,-188687581,-8.38,-103432621,-4.59,-85254960,-3.79,19177360,0.85,169213648,7.52
2023-08-15,BK0730,农药兽药,1052.37,0.75,197839354,7.4,220869818,8.26,-23030464,-0.86,-105682400,-3.95,-92407040,-3.46
2023-08-14,BK0730,农药兽药,1044.57,-0.17,-112180608,-5.34,-52483936,-2.5,-59696672,-2.84,-1125184,-0.05,112112288,5.34
2023-08-11,BK0730,农药兽药,1046.35,-1.47,-39564217,-1.82,-26491785,-1.22,-13072432,-0.6000000000000001,18316320,0.84,19793744,0.91
2023-08-10,BK0730,农药兽药,1061.92,1.0,-19480358,-1.0,4121082,0.21,-23601440,-1.21,-1598528,-0.08,21253520,1.09
2023-08-09,BK0730,农药兽药,1051.45,-0.53,-22852068,-1.1,8687084,0.42,-31539152,-1.52,30522064,1.47,-8651024,-0.42
2023-08-08,BK0730,农药兽药,1057.06,0.01,-6954967,-0.30000000000000004,-8147399,-0.36,1192432,0.05,-8865312,-0.39,14185056,0.62
2023-08-07,BK0730,农药兽药,1056.98,-0.92,-105600769,-4.58,-72034369,-3.12,-33566400,-1.46,59022400,2.56,46333888,2.01
2023-08-04,BK0730,农药兽药,1066.77,-0.74,-172257961,-7.47,-68235785,-2.96,-104022176,-4.51,45970096,1.99,125593680,5.45
2023-08-03,BK0730,农药兽药,1074.77,-0.15,-81889009,-3.92,-37592033,-1.8,-44296976,-2.12,54552496,2.61,28160960,1.35
2023-08-02,BK0730,农药兽药,1076.34,-0.72,-143681773,-6.23,-73586365,-3.19,-70095408,-3.04,62841280,2.72,80382816,3.48
