日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0465,化学制药,26837.85,-0.55,-551762560,-6.06,-287311456,-3.16,-264451104,-2.91,-73344064,-0.81,618514592,6.8
2023-09-04,BK0465,化学制药,27122.18,0.63,-156153824,-1.27,-74857168,-0.61,-81296656,-0.66,-96206256,-0.78,267395840,2.18
2023-08-31,BK0465,化学制药,27138.36,0.73,-194945136,-1.29,-72290800,-0.48,-122654336,-0.81,-101055232,-0.67,300104448,1.99
2023-08-29,BK0465,化学制药,26811.04,3.02,-55499504,-0.33,49202864,0.29,-104702368,-0.62,-235505152,-1.39,292285184,1.73
2023-08-28,BK0465,化学制药,26024.76,0.66,-494130000,-2.47,-214546672,-1.07,-279583328,-1.4,257899520,1.29,234801920,1.17
2023-08-25,BK0465,化学制药,25853.32,-0.92,-122138768,-0.8200000000000001,-52982688,-0.36,-69156080,-0.46,347117056,2.33,-231020800,-1.55
2023-08-24,BK0465,化学制药,26093.73,0.62,-12406608,-0.09,46334160,0.35000000000000003,-58740768,-0.44,163369728,1.22,-156843264,-1.17
2023-08-23,BK0465,化学制药,25933.03,-1.64,-516660464,-4.68,-234770448,-2.13,-281890016,-2.55,-28685632,-0.26,542057984,4.91
2023-08-21,BK0465,化学制药,26677.83,-0.8300000000000001,-600803040,-4.21,-251038496,-1.76,-349764544,-2.45,83032320,0.58,513317888,3.6
2023-08-18,BK0465,化学制药,26901.44,-3.09,-1138794608,-7.17,-539053648,-3.39,-599740960,-3.77,-159652096,-1.0,1291773184,8.13
2023-08-16,BK0465,化学制药,27912.46,-0.9,-920437440,-4.22,-339259040,-1.56,-581178400,-2.67,70313728,0.32,846391552,3.88
2023-08-15,BK0465,化学制药,28167.18,0.44,-237725440,-1.18,64277552,0.32,-302002992,-1.5,-185419264,-0.92,417976064,2.07
2023-08-14,BK0465,化学制药,28042.74,0.28,-328945824,-1.53,110394976,0.51,-439340800,-2.04,-125122816,-0.58,445543936,2.07
2023-08-11,BK0465,化学制药,27963.78,0.74,114898352,0.53,186013104,0.85,-71114752,-0.33,-63448320,-0.29,-44238848,-0.2
2023-08-10,BK0465,化学制药,27758.94,-0.1,-854183392,-4.98,-237264384,-1.38,-616919008,-3.6,-100688896,-0.59,940518656,5.49
2023-08-09,BK0465,化学制药,27785.57,1.9,497833504,2.04,418197024,1.72,79636480,0.33,-152285952,-0.62,-327368192,-1.34
2023-08-08,BK0465,化学制药,27267.13,1.37,451300528,2.19,407544240,1.98,43756288,0.21,58221824,0.28,-507799040,-2.46
2023-08-07,BK0465,化学制药,26897.93,-2.78,-2362753792,-9.7,-943171328,-3.87,-1419582464,-5.83,120022272,0.49,2235544320,9.18
2023-08-04,BK0465,化学制药,27666.69,-0.97,-814370880,-4.36,-206874528,-1.11,-607496352,-3.25,-55283456,-0.30000000000000004,863885824,4.62
2023-08-03,BK0465,化学制药,27936.67,1.85,34680544,0.18,128307936,0.65,-93627392,-0.48,164122112,0.8300000000000001,-197878784,-1.0
2023-08-02,BK0465,化学制药,27430.34,-1.21,-1152671424,-7.04,-405530544,-2.48,-747140880,-4.5600000000000005,-146856448,-0.9,1296444416,7.91
2023-08-01,BK0465,化学制药,27765.82,-0.87,-832141600,-4.18,-67810592,-0.34,-764331008,-3.84,-249532416,-1.25,1078836224,5.42
2023-07-31,BK0465,化学制药,28008.65,-0.78,-1930179872,-8.22,-992449568,-4.23,-937730304,-3.99,347774464,1.48,1576686336,6.71
2023-07-28,BK0465,化学制药,28229.23,0.88,23952624,0.19,37971808,0.30000000000000004,-14019184,-0.11,-154206464,-1.22,128354048,1.02
2023-07-27,BK0465,化学制药,27984.0,-0.59,-272387808,-2.96,-123771328,-1.34,-148616480,-1.61,-162239216,-1.76,430654144,4.68
2023-07-26,BK0465,化学制药,28149.43,0.4,-114322144,-1.05,-3472032,-0.03,-110850112,-1.02,-40640896,-0.37,152724432,1.41
2023-07-24,BK0465,化学制药,27907.0,1.13,36743184,0.28,128885856,0.99,-92142672,-0.71,-12267008,-0.09,-25314560,-0.19
2023-07-21,BK0465,化学制药,27595.31,0.89,88551920,0.81,79154880,0.72,9397040,0.09,-71980144,-0.66,-18260896,-0.17
2023-07-20,BK0465,化学制药,27352.55,-0.47,-298718464,-3.33,-151229200,-1.69,-147489264,-1.65,-144097472,-1.61,439224528,4.9
2023-07-19,BK0465,化学制药,27481.6,-0.38,-226289504,-2.78,-138895104,-1.7000000000000002,-87394400,-1.07,5119456,0.06,217588992,2.67
2023-07-17,BK0465,化学制药,27718.57,-0.18,-322272800,-3.35,-268942000,-2.8,-53330800,-0.56,59352736,0.62,256452528,2.67
