日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK1019,化学原料,784.92,-0.25,-60492480,-1.07,-4407408,-0.08,-56085072,-0.99,-60077072,-1.07,113373776,2.01
2023-07-05,BK1019,化学原料,786.91,0.36,-84515296,-1.38,-50164880,-0.8200000000000001,-34350416,-0.56,11204640,0.18,79997360,1.31
2023-07-04,BK1019,化学原料,784.08,-0.2,-351104727,-5.95,-144657495,-2.45,-206447232,-3.5,-35798672,-0.61,384695168,6.52
2023-07-03,BK1019,化学原料,785.67,0.98,-79676528,-1.04,-19223040,-0.25,-60453488,-0.79,-147122656,-1.92,223222320,2.91
2023-06-30,BK1019,化学原料,778.04,1.98,253563696,3.84,300977984,4.5600000000000005,-47414288,-0.72,-242637312,-3.68,-12038928,-0.18
2023-06-29,BK1019,化学原料,762.92,0.07,-253827168,-5.73,-121980864,-2.75,-131846304,-2.98,27866096,0.63,224358816,5.06
2023-06-28,BK1019,化学原料,762.41,-0.01,-190059377,-4.04,-96825041,-2.06,-93234336,-1.98,2338880,0.05,184622736,3.93
2023-06-27,BK1019,化学原料,762.52,2.2,12517824,0.23,8266624,0.15,4251200,0.08,-87303888,-1.59,74097872,1.35
2023-06-26,BK1019,化学原料,746.12,-1.07,-250416585,-4.88,-128917273,-2.51,-121499312,-2.37,18054000,0.35000000000000003,226363888,4.41
2023-06-21,BK1019,化学原料,754.23,-0.88,-168225788,-3.46,-61497612,-1.26,-106728176,-2.19,5821360,0.12,164308960,3.38
2023-06-20,BK1019,化学原料,760.93,-0.79,-318983901,-6.78,-94159005,-2.0,-224824896,-4.78,160277680,3.4,157530672,3.35
2023-06-19,BK1019,化学原料,767.0,-1.22,-506895776,-8.9,-217324528,-3.81,-289571248,-5.08,146920336,2.58,352279808,6.18
2023-06-16,BK1019,化学原料,776.48,0.32,-95194480,-1.54,-32832832,-0.53,-62361648,-1.01,-12363824,-0.2,99850720,1.62
