日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0471,化纤行业,13268.3,0.34,-59640781,-1.65,-27777437,-0.77,-31863344,-0.88,27058144,0.75,30557440,0.84
2023-08-11,BK0471,化纤行业,13222.98,-1.38,-172043116,-5.16,-94951868,-2.85,-77091248,-2.31,41573936,1.25,127790944,3.83
2023-08-10,BK0471,化纤行业,13408.67,0.8200000000000001,-120135113,-4.79,-20175417,-0.81,-99959696,-3.99,52032560,2.08,69178992,2.76
2023-08-09,BK0471,化纤行业,13300.26,-1.09,-236155658,-8.48,-77627818,-2.79,-158527840,-5.69,44928688,1.61,186635728,6.7
2023-08-08,BK0471,化纤行业,13446.61,-0.23,-140287344,-3.54,-78487584,-1.98,-61799760,-1.56,53102224,1.34,80854480,2.04
2023-08-07,BK0471,化纤行业,13477.07,-0.1,-168455120,-3.47,84861888,1.75,-253317008,-5.21,-85130736,-1.75,255514768,5.26
2023-08-04,BK0471,化纤行业,13491.0,-0.27,151910624,4.35,164151008,4.7,-12240384,-0.35000000000000003,-93108336,-2.66,-63994080,-1.83
2023-08-03,BK0471,化纤行业,13527.51,-0.12,-54814826,-1.77,-49007226,-1.58,-5807600,-0.19,-115846304,-3.73,169365936,5.46
2023-08-02,BK0471,化纤行业,13544.22,-0.11,-145475501,-4.79,-46364781,-1.53,-99110720,-3.26,21872416,0.72,126405680,4.16
2023-08-01,BK0471,化纤行业,13559.6,0.05,-69230489,-2.08,-79616569,-2.4,10386080,0.31,-78526176,-2.36,147873472,4.45
2023-07-31,BK0471,化纤行业,13553.44,0.46,3691296,0.1,-34348464,-0.89,38039760,0.98,-52075936,-1.34,47307296,1.22
2023-07-28,BK0471,化纤行业,13491.07,0.74,-143636911,-5.31,-79792815,-2.95,-63844096,-2.36,-41394320,-1.53,185316032,6.85
2023-07-27,BK0471,化纤行业,13391.6,-0.89,-109538884,-3.68,-62011588,-2.08,-47527296,-1.6,-59721376,-2.01,167214576,5.62
2023-07-26,BK0471,化纤行业,13512.25,0.30000000000000004,-250878865,-8.79,-97583857,-3.42,-153295008,-5.37,27854880,0.98,223431792,7.83
2023-07-24,BK0471,化纤行业,13324.82,-0.47,-117336034,-4.03,-26768162,-0.92,-90567872,-3.11,52342704,1.8,62622832,2.15
2023-07-21,BK0471,化纤行业,13387.71,0.22,-123450635,-4.21,-37852267,-1.29,-85598368,-2.92,-38863680,-1.33,160926704,5.49
2023-07-20,BK0471,化纤行业,13357.74,-0.5700000000000001,-181846125,-7.01,-87850781,-3.39,-93995344,-3.62,-10994720,-0.42,193418352,7.46
2023-07-19,BK0471,化纤行业,13434.58,-0.15,-136693586,-6.58,-77812386,-3.75,-58881200,-2.84,8361120,0.4,126926736,6.11
2023-07-17,BK0471,化纤行业,13426.07,0.21,-75658901,-2.36,-51500085,-1.61,-24158816,-0.75,-126315600,-3.94,201188032,6.27
2023-07-14,BK0471,化纤行业,13398.41,0.02,-102917040,-3.18,10788592,0.33,-113705632,-3.51,-101454304,-3.14,204483632,6.32
2023-07-13,BK0471,化纤行业,13396.01,0.64,-45742304,-1.16,-49848032,-1.26,4105728,0.1,-101899568,-2.58,148609552,3.77
2023-07-12,BK0471,化纤行业,13310.23,-0.65,-367101504,-8.2,-201144752,-4.49,-165956752,-3.71,11770640,0.26,345042816,7.7
2023-07-11,BK0471,化纤行业,13397.02,0.79,-50762192,-1.77,-9282400,-0.32,-41479792,-1.45,-43449664,-1.52,91778432,3.21
2023-07-10,BK0471,化纤行业,13291.89,0.18,-167934128,-5.0,-37017824,-1.1,-130916304,-3.9,16916272,0.5,151159712,4.5
2023-07-07,BK0471,化纤行业,13268.52,0.24,-9588864,-0.25,21334480,0.56,-30923344,-0.81,-80077504,-2.11,100482688,2.64
2023-07-06,BK0471,化纤行业,13236.25,-0.43,-84571040,-2.15,-159228048,-4.06,74657008,1.9,47727504,1.22,35972832,0.92
2023-07-05,BK0471,化纤行业,13293.42,-0.29,18145744,0.5,19285984,0.53,-1140240,-0.03,476176,0.01,-22636832,-0.62
2023-07-04,BK0471,化纤行业,13331.72,0.25,-67973120,-1.73,-120618208,-3.06,52645088,1.34,-20412832,-0.52,85171552,2.16
2023-07-03,BK0471,化纤行业,13299.08,-0.1,-663850032,-12.0,-327126944,-5.91,-336723088,-6.09,113995136,2.06,546675648,9.88
2023-06-30,BK0471,化纤行业,13312.26,2.42,326691296,5.01,243224048,3.73,83467248,1.28,-212550624,-3.26,-110843456,-1.7000000000000002
2023-06-29,BK0471,化纤行业,12997.84,-0.13,-419512672,-8.06,-181773440,-3.49,-237739232,-4.57,49690320,0.95,367428336,7.06
2023-06-28,BK0471,化纤行业,13015.39,0.17,-69085440,-1.44,35528048,0.74,-104613488,-2.17,-96490800,-2.0,163494672,3.4
2023-06-27,BK0471,化纤行业,12993.6,2.7,-56166672,-1.01,24333584,0.44,-80500256,-1.44,76945824,1.38,-21495424,-0.39
2023-06-26,BK0471,化纤行业,12652.41,-0.8200000000000001,-117259984,-2.43,57012064,1.18,-174272048,-3.62,-24946912,-0.52,137358256,2.85
2023-06-21,BK0471,化纤行业,12757.54,-1.02,118614160,2.36,185685072,3.69,-67070912,-1.33,-109645328,-2.18,-9063792,-0.18
2023-06-20,BK0471,化纤行业,12889.2,-0.92,-516195136,-8.65,-418380640,-7.01,-97814496,-1.64,103087584,1.73,410900464,6.88
2023-06-19,BK0471,化纤行业,13009.04,-0.22,-62243687,-2.94,-1400423,-0.07,-60843264,-2.88,8755472,0.41,52937920,2.5
2023-06-16,BK0471,化纤行业,13037.93,0.4,130680112,3.82,153604672,4.49,-22924560,-0.67,-109203520,-3.19,-20592256,-0.6000000000000001
