日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1042,医药商业,1139.48,2.01,-244169216,-3.18,-30712176,-0.4,-213457040,-2.78,204527648,2.66,39641584,0.52
2023-08-11,BK1042,医药商业,1117.0,2.28,351570912,6.33,335244448,6.04,16326464,0.29,-4680688,-0.08,-346890208,-6.25
2023-08-10,BK1042,医药商业,1092.13,-0.55,-223721568,-6.8,-21476320,-0.65,-202245248,-6.14,948304,0.03,222773264,6.77
2023-08-09,BK1042,医药商业,1098.18,1.51,84767312,2.1,63730720,1.58,21036592,0.52,-57299376,-1.42,-27467920,-0.68
2023-08-08,BK1042,医药商业,1081.82,1.98,92823724,2.88,69579740,2.16,23243984,0.72,92714496,2.88,-185538224,-5.76
2023-08-07,BK1042,医药商业,1060.84,-2.23,-183910553,-5.94,-93759113,-3.03,-90151440,-2.91,35875264,1.16,148035312,4.78
2023-08-04,BK1042,医药商业,1085.05,-0.88,-50200083,-1.6800000000000002,-44943827,-1.5,-5256256,-0.18,-14915504,-0.5,65115568,2.18
2023-08-03,BK1042,医药商业,1094.66,2.13,6075395,0.16,5127427,0.13,947968,0.02,55412032,1.42,-61487424,-1.58
2023-08-02,BK1042,医药商业,1071.87,-0.27,-167603277,-6.55,-95094253,-3.72,-72509024,-2.84,67363488,2.63,100239808,3.92
2023-08-01,BK1042,医药商业,1074.76,-0.97,-117275802,-3.95,-78751050,-2.65,-38524752,-1.3,-73639712,-2.48,190915520,6.43
2023-07-31,BK1042,医药商业,1085.26,-0.58,-66971488,-2.01,-60999952,-1.83,-5971536,-0.18,9095216,0.27,57876272,1.74
2023-07-28,BK1042,医药商业,1091.56,0.8200000000000001,9368494,0.41,39769518,1.73,-30401024,-1.32,-83757104,-3.64,74388624,3.23
2023-07-27,BK1042,医药商业,1082.65,-0.54,-128659022,-7.03,-44566028,-2.44,-84092994,-4.6,36678144,2.01,91980880,5.03
2023-07-26,BK1042,医药商业,1088.5,0.01,-96606812,-4.16,-53842604,-2.32,-42764208,-1.84,-7353648,-0.32,103960464,4.48
2023-07-24,BK1042,医药商业,1086.9,0.84,-18849863,-0.88,-24563895,-1.14,5714032,0.27,-22131008,-1.03,40980880,1.91
2023-07-21,BK1042,医药商业,1077.87,0.75,27738999,1.42,-25899481,-1.33,53638480,2.75,-12442240,-0.64,-15296752,-0.78
2023-07-20,BK1042,医药商业,1069.8,-0.28,-49613571,-2.7,-26059219,-1.42,-23554352,-1.28,-457344,-0.02,50070912,2.73
2023-07-19,BK1042,医药商业,1072.81,0.03,16137063,1.09,13512943,0.91,2624120,0.18,2521200,0.17,-18658256,-1.26
2023-07-17,BK1042,医药商业,1074.48,-0.08,-27631852,-1.55,9981576,0.56,-37613428,-2.11,18980032,1.06,8651840,0.48
2023-07-14,BK1042,医药商业,1075.34,-0.58,-52424478,-3.01,-41949339,-2.41,-10475139,-0.6000000000000001,29998128,1.72,22426352,1.29
2023-07-13,BK1042,医药商业,1081.61,0.96,-50703214,-2.14,-5900446,-0.25,-44802768,-1.89,-93902864,-3.97,144606096,6.11
2023-07-12,BK1042,医药商业,1071.3,-1.11,-112851487,-6.29,-45769746,-2.55,-67081741,-3.74,-12019968,-0.67,124871472,6.96
2023-07-11,BK1042,医药商业,1083.35,0.1,-52175652,-2.83,-36636930,-1.98,-15538722,-0.84,57124288,3.09,-4948640,-0.27
2023-07-10,BK1042,医药商业,1082.27,0.37,-56984142,-3.34,-4662776,-0.27,-52321366,-3.07,78326544,4.6,-21342400,-1.25
2023-07-07,BK1042,医药商业,1078.33,0.03,-71882299,-3.73,-64099451,-3.32,-7782848,-0.4,89166240,4.62,-17283936,-0.9
2023-07-06,BK1042,医药商业,1078.05,-1.21,-58129114,-2.96,-53713226,-2.73,-4415888,-0.22,-214736,-0.01,58343840,2.97
2023-07-05,BK1042,医药商业,1091.28,-0.94,-38921167,-1.76,-48760975,-2.21,9839808,0.45,71292128,3.23,-32370960,-1.47
2023-07-04,BK1042,医药商业,1101.59,-0.99,-50825733,-1.67,-759445,-0.02,-50066288,-1.65,-32628304,-1.07,83454032,2.75
2023-07-03,BK1042,医药商业,1112.62,-0.71,310731,0.01,-31446549,-0.8300000000000001,31757280,0.84,-41103808,-1.09,40793072,1.08
