日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK1036,半导体,1326.58,0.0,-460240352,-1.09,-359603936,-0.85,-100636416,-0.24,27440640,0.07,433108480,1.03
2023-06-30,BK1036,半导体,1326.57,1.23,557493728,1.39,28249824,0.07,529243904,1.32,-563785472,-1.4,5178112,0.01
2023-06-29,BK1036,半导体,1310.47,0.71,-809756288,-2.14,-407051648,-1.08,-402704640,-1.06,24452608,0.06,785107712,2.07
2023-06-28,BK1036,半导体,1301.27,-0.9,-764202496,-1.71,-316091648,-0.71,-448110848,-1.01,-183315968,-0.41,946272512,2.12
2023-06-27,BK1036,半导体,1313.11,-0.05,-452131856,-1.36,-364642832,-1.1,-87489024,-0.26,316900864,0.95,135141888,0.41
2023-06-26,BK1036,半导体,1313.71,-2.12,-1682398080,-3.72,-1083106176,-2.4,-599291904,-1.33,-63227648,-0.14,1744968192,3.86
2023-06-21,BK1036,半导体,1342.11,-4.03,-5205398784,-9.15,-3016738816,-5.3,-2188659968,-3.85,641580544,1.13,4564165120,8.02
2023-06-20,BK1036,半导体,1398.48,-0.32,-1915654656,-3.23,-1008399872,-1.7000000000000002,-907254784,-1.53,-25510144,-0.04,1939229440,3.27
2023-06-19,BK1036,半导体,1402.92,1.89,269816832,0.46,400402176,0.68,-130585344,-0.22,-608311040,-1.03,337735424,0.5700000000000001
2023-06-16,BK1036,半导体,1376.91,0.77,-360929280,-0.76,-217522432,-0.46,-143406848,-0.30000000000000004,-210041600,-0.44,570445056,1.19
