日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0738,多元金融,524.41,0.38,-42502861,-2.64,-29487757,-1.83,-13015104,-0.81,-3304272,-0.21,45807136,2.84
2023-07-17,BK0738,多元金融,520.59,-0.07,-49656784,-2.74,-4508000,-0.25,-45148784,-2.5,-62367008,-3.45,112023792,6.19
2023-07-14,BK0738,多元金融,520.96,0.07,-41943822,-2.0,-35159582,-1.6800000000000002,-6784240,-0.32,1481312,0.07,40462512,1.93
2023-07-13,BK0738,多元金融,520.57,1.25,77502022,3.2,105870838,4.37,-28368816,-1.17,-103992192,-4.29,26490176,1.09
2023-07-12,BK0738,多元金融,514.12,-1.36,-348085071,-14.24,-190856015,-7.81,-157229056,-6.43,63390768,2.59,284694304,11.65
2023-07-11,BK0738,多元金融,521.21,0.35000000000000003,-100891777,-5.84,-32807041,-1.9,-68084736,-3.94,-54796576,-3.17,155688352,9.01
2023-07-10,BK0738,多元金融,519.39,0.99,2665511,0.15,13517351,0.77,-10851840,-0.62,-14054336,-0.8,11388816,0.65
2023-07-07,BK0738,多元金融,514.31,0.68,-59319607,-3.12,-33221639,-1.75,-26097968,-1.37,-16979168,-0.89,76298784,4.02
2023-07-06,BK0738,多元金融,510.83,-0.39,-157517268,-8.71,-91316068,-5.05,-66201200,-3.66,9950304,0.55,147566976,8.16
2023-07-05,BK0738,多元金融,512.81,-0.77,-179599999,-7.99,-148211423,-6.59,-31388576,-1.4,30653216,1.36,148946784,6.62
2023-07-04,BK0738,多元金融,516.78,0.04,-191123024,-6.8,-74677088,-2.66,-116445936,-4.15,1129360,0.04,189993648,6.76
2023-07-03,BK0738,多元金融,516.58,1.6800000000000002,129513120,4.05,23359888,0.73,106153232,3.32,-2978112,-0.09,-126535008,-3.96
2023-06-30,BK0738,多元金融,508.05,1.3,-2844502,-0.13,-31284646,-1.43,28440144,1.3,-11091904,-0.51,13936416,0.64
2023-06-29,BK0738,多元金融,501.54,-0.02,-92043031,-5.53,-53017687,-3.18,-39025344,-2.34,-14408576,-0.86,106451600,6.39
2023-06-28,BK0738,多元金融,501.66,0.05,-158944842,-8.49,-46448186,-2.48,-112496656,-6.01,10055200,0.54,148889648,7.95
2023-06-27,BK0738,多元金融,501.42,2.22,20791833,0.85,13639273,0.56,7152560,0.29,-15156416,-0.62,-5635424,-0.23
2023-06-26,BK0738,多元金融,490.54,-1.75,-344748834,-11.84,-148827970,-5.11,-195920864,-6.73,41998624,1.44,302750224,10.4
2023-06-21,BK0738,多元金融,499.3,-1.88,-244575517,-8.9,-71367805,-2.6,-173207712,-6.31,-18046160,-0.66,262621696,9.56
2023-06-20,BK0738,多元金融,508.89,-1.11,-343626643,-11.46,-186283171,-6.21,-157343472,-5.25,42050208,1.4,301576416,10.06
2023-06-19,BK0738,多元金融,514.59,-0.98,-257180468,-7.35,-209178148,-5.98,-48002320,-1.37,61774160,1.77,195406320,5.58
2023-06-16,BK0738,多元金融,519.69,0.96,203027968,4.31,157660992,3.35,45366976,0.96,-23505648,-0.5,-179522336,-3.81
