日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0456,家电行业,16781.18,-0.84,-444083776,-3.34,-262542864,-1.97,-181540912,-1.37,-290549504,-2.19,735189120,5.53
2023-07-04,BK0456,家电行业,16922.58,0.67,-289247744,-1.83,58723488,0.37,-347971232,-2.2,-219353600,-1.39,509364992,3.22
2023-07-03,BK0456,家电行业,16810.43,0.5700000000000001,-220495056,-1.11,134142256,0.68,-354637312,-1.79,123369472,0.62,96580608,0.49
2023-06-30,BK0456,家电行业,16714.34,0.47,-331702528,-1.95,-38842192,-0.23,-292860336,-1.73,1173248,0.01,330199808,1.95
2023-06-29,BK0456,家电行业,16635.78,1.47,-298572768,-1.83,56230528,0.34,-354803296,-2.17,7383296,0.05,291531264,1.78
2023-06-28,BK0456,家电行业,16394.62,-0.02,-693953104,-4.11,-247109728,-1.46,-446843376,-2.65,357491968,2.12,336227328,1.99
2023-06-27,BK0456,家电行业,16398.16,2.52,101646432,0.55,337683552,1.81,-236037120,-1.27,80560640,0.43,-182141696,-0.98
2023-06-26,BK0456,家电行业,15995.49,-1.3,-761015936,-3.98,-170765072,-0.89,-590250864,-3.09,136003840,0.71,624224768,3.27
2023-06-21,BK0456,家电行业,16206.88,-0.67,-510890784,-3.11,-202696544,-1.23,-308194240,-1.87,135850752,0.8300000000000001,376258816,2.29
2023-06-20,BK0456,家电行业,16316.47,0.63,327144288,1.8,256053856,1.41,71090432,0.39,-127877888,-0.7000000000000001,-199651328,-1.1
2023-06-19,BK0456,家电行业,16214.42,-0.5700000000000001,-650064416,-4.05,-426406896,-2.65,-223657520,-1.39,40342528,0.25,609318144,3.79
2023-06-16,BK0456,家电行业,16307.67,-0.11,-304822512,-1.85,-171694304,-1.04,-133128208,-0.81,-59381504,-0.36,363159040,2.21
