日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0726,工程咨询服务,668.07,-2.71,-542923760,-6.51,-103052976,-1.23,-439870784,-5.27,-133541824,-1.6,668908512,8.02
2023-07-31,BK0726,工程咨询服务,686.7,3.0,261937424,2.7,206621808,2.13,55315616,0.5700000000000001,-180370384,-1.86,-79326208,-0.8200000000000001
2023-07-28,BK0726,工程咨询服务,666.68,-1.51,-483238912,-5.55,-103860736,-1.19,-379378176,-4.36,-104660144,-1.2,582543136,6.69
2023-07-27,BK0726,工程咨询服务,676.89,-1.6,-403327712,-3.62,-22047168,-0.2,-381280544,-3.42,-56017760,-0.5,444358512,3.99
2023-07-26,BK0726,工程咨询服务,687.87,4.5,117448240,1.01,44960576,0.39,72487664,0.63,-30437376,-0.26,-66784704,-0.58
2023-07-24,BK0726,工程咨询服务,631.04,1.76,-34941471,-0.59,-59990287,-1.02,25048816,0.43,163364608,2.78,-126224656,-2.15
2023-07-21,BK0726,工程咨询服务,620.11,1.19,52726126,1.52,-7214002,-0.21,59940128,1.73,73626736,2.12,-128422272,-3.7
2023-07-20,BK0726,工程咨询服务,612.79,-1.15,-78955100,-2.63,-13421964,-0.45,-65533136,-2.18,21531568,0.72,55097568,1.84
2023-07-19,BK0726,工程咨询服务,619.91,1.85,80735235,2.46,26466099,0.81,54269136,1.65,66535456,2.03,-146055776,-4.45
2023-07-17,BK0726,工程咨询服务,612.71,0.49,16680660,0.73,8577156,0.38,8103504,0.36,-15094688,-0.66,-1894768,-0.08
2023-07-14,BK0726,工程咨询服务,609.72,0.42,-114070331,-4.73,-43437819,-1.8,-70632512,-2.93,23949040,0.99,93788336,3.89
2023-07-13,BK0726,工程咨询服务,607.19,1.04,11395640,0.45,29778536,1.19,-18382896,-0.73,-7235696,-0.29,-8580752,-0.34
2023-07-12,BK0726,工程咨询服务,600.92,-1.76,-224451994,-7.69,-61100394,-2.09,-163351600,-5.6,10776560,0.37,213973472,7.33
2023-07-11,BK0726,工程咨询服务,611.68,-0.26,-208292488,-8.35,-78875656,-3.16,-129416832,-5.19,27768880,1.11,175849984,7.05
2023-07-10,BK0726,工程咨询服务,613.28,1.5,102878468,3.67,16545956,0.59,86332512,3.08,172144,0.01,-99287536,-3.54
2023-07-07,BK0726,工程咨询服务,604.24,-0.17,-102118252,-4.71,-23752508,-1.1,-78365744,-3.61,-16075456,-0.74,118877488,5.48
2023-07-06,BK0726,工程咨询服务,605.25,-0.4,-176830063,-7.74,-71510575,-3.13,-105319488,-4.61,-3570384,-0.16,179164768,7.85
2023-07-05,BK0726,工程咨询服务,607.7,-0.55,-52039219,-1.95,13411389,0.5,-65450608,-2.45,-19382416,-0.73,68667232,2.5700000000000003
2023-07-04,BK0726,工程咨询服务,611.06,-0.16,-155464618,-5.14,-64596714,-2.14,-90867904,-3.01,-51370064,-1.7000000000000002,202750800,6.71
2023-07-03,BK0726,工程咨询服务,612.05,0.71,-39712287,-1.24,51914417,1.62,-91626704,-2.86,73896880,2.3,-38041648,-1.19
2023-06-30,BK0726,工程咨询服务,607.71,0.22,-161046815,-5.6,-53468975,-1.86,-107577840,-3.74,-12991760,-0.45,166179024,5.77
2023-06-29,BK0726,工程咨询服务,606.37,0.79,-55890875,-2.07,-28155611,-1.04,-27735264,-1.03,-26366016,-0.98,80641520,2.99
2023-06-28,BK0726,工程咨询服务,601.64,-0.36,-123160077,-4.38,-37095613,-1.32,-86064464,-3.06,3862800,0.14,118820576,4.23
2023-06-27,BK0726,工程咨询服务,603.79,3.21,-17662251,-0.61,2279669,0.08,-19941920,-0.6900000000000001,-60913264,-2.12,80528176,2.8
2023-06-26,BK0726,工程咨询服务,585.01,-2.58,-200307978,-6.95,-145982650,-5.07,-54325328,-1.89,-6928624,-0.24,205321984,7.13
2023-06-21,BK0726,工程咨询服务,600.51,-1.67,-113989277,-3.48,18722419,0.5700000000000001,-132711696,-4.05,-50128880,-1.53,163649088,5.0
2023-06-20,BK0726,工程咨询服务,610.73,-1.46,-230019115,-7.33,-36035163,-1.15,-193983952,-6.18,-30276752,-0.97,260097744,8.29
2023-06-19,BK0726,工程咨询服务,619.76,-0.56,-172940963,-4.05,-25144643,-0.59,-147796320,-3.46,40396208,0.95,128531520,3.01
2023-06-16,BK0726,工程咨询服务,623.27,1.6800000000000002,145378218,3.37,114039466,2.65,31338752,0.73,-40094960,-0.93,-106353200,-2.47
