日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0451,房地产开发,13100.62,2.19,2317318640,10.66,1633662448,7.51,683656192,3.14,-641067264,-2.95,-1676251136,-7.71
2023-09-04,BK0451,房地产开发,13161.55,0.81,-112958048,-0.53,-322666336,-1.52,209708288,0.99,-149686016,-0.71,262643968,1.24
2023-08-31,BK0451,房地产开发,13180.45,-5.29,-1998166864,-7.02,-1419307344,-4.98,-578859520,-2.03,202488832,0.71,1795677952,6.31
2023-08-29,BK0451,房地产开发,14115.3,3.52,-463510112,-1.33,68822944,0.2,-532333056,-1.53,-80617984,-0.23,544127744,1.56
2023-08-28,BK0451,房地产开发,13634.98,4.65,1595035648,4.63,2226658048,6.46,-631622400,-1.83,-745225984,-2.16,-849809664,-2.47
2023-08-25,BK0451,房地产开发,13029.51,0.94,737205264,3.95,528692672,2.84,208512592,1.12,-131064576,-0.7000000000000001,-606140416,-3.25
2023-08-24,BK0451,房地产开发,12908.33,-1.06,-617434656,-4.53,-225975696,-1.66,-391458960,-2.87,-71786240,-0.53,689221120,5.06
2023-08-23,BK0451,房地产开发,13046.6,-1.95,-730931200,-5.36,-381818400,-2.8,-349112800,-2.56,142988528,1.05,587942656,4.31
2023-08-21,BK0451,房地产开发,13238.69,-1.87,-856920752,-5.66,-361558656,-2.39,-495362096,-3.27,-239733504,-1.58,1096654336,7.24
2023-08-18,BK0451,房地产开发,13490.73,-2.2,-753873056,-3.97,-331549824,-1.75,-422323232,-2.22,-86149632,-0.45,840022528,4.42
2023-08-16,BK0451,房地产开发,13794.17,2.04,1618355728,7.09,1251791376,5.48,366564352,1.61,-559941376,-2.45,-1058414336,-4.64
2023-08-15,BK0451,房地产开发,13518.35,-0.72,-430522848,-2.86,-291060048,-1.94,-139462800,-0.93,2657024,0.02,427865600,2.85
2023-08-14,BK0451,房地产开发,13616.57,-1.55,-1268032672,-6.43,-775638592,-3.93,-492394080,-2.5,155114240,0.79,1112918272,5.64
2023-08-11,BK0451,房地产开发,13831.52,0.30000000000000004,295894304,1.21,456410656,1.86,-160516352,-0.65,97570560,0.4,-393464576,-1.6
2023-08-10,BK0451,房地产开发,13790.67,0.26,-192898432,-1.21,36642832,0.23,-229541264,-1.44,-87738624,-0.55,280637184,1.77
2023-08-09,BK0451,房地产开发,13754.32,-0.30000000000000004,-29821856,-0.16,180259648,0.95,-210081504,-1.1,-226888960,-1.19,256710912,1.35
2023-08-08,BK0451,房地产开发,13796.05,-1.48,-1654512672,-8.13,-900174112,-4.42,-754338560,-3.71,-267311616,-1.31,1921824256,9.44
2023-08-07,BK0451,房地产开发,14002.98,-3.15,-3374357152,-11.88,-1818285216,-6.4,-1556071936,-5.48,-185999616,-0.66,3560356608,12.54
2023-08-04,BK0451,房地产开发,14458.72,-0.56,-2073705936,-5.62,-531507920,-1.44,-1542198016,-4.18,126345472,0.34,1947360512,5.28
2023-08-03,BK0451,房地产开发,14540.66,1.54,-401050624,-1.07,147253760,0.39,-548304384,-1.46,2334208,0.01,398716416,1.06
2023-08-02,BK0451,房地产开发,14320.26,1.34,-405675616,-1.13,419464352,1.17,-825139968,-2.3,-123189248,-0.34,528865024,1.47
2023-08-01,BK0451,房地产开发,14131.03,-0.37,-3217236608,-8.46,-1671475328,-4.39,-1545761280,-4.06,391426304,1.03,2825810432,7.43
2023-07-31,BK0451,房地产开发,14183.04,2.94,925168128,2.32,1198602496,3.01,-273434368,-0.6900000000000001,-846711296,-2.13,-78457088,-0.2
2023-07-28,BK0451,房地产开发,13777.7,1.86,86101632,0.24,245223296,0.6900000000000001,-159121664,-0.45,-509228544,-1.44,423126784,1.2
2023-07-27,BK0451,房地产开发,13525.96,-0.77,-1532682480,-4.54,-868962288,-2.5700000000000003,-663720192,-1.96,227540736,0.67,1305141504,3.86
2023-07-26,BK0451,房地产开发,13631.42,2.69,-428966240,-1.29,149056672,0.45,-578022912,-1.74,-176536064,-0.53,605502208,1.83
2023-07-24,BK0451,房地产开发,12646.9,0.0,-1301882608,-6.98,-775043344,-4.15,-526839264,-2.8200000000000003,453198080,2.43,848684544,4.55
2023-07-21,BK0451,房地产开发,12646.7,2.39,933087680,5.52,692626576,4.09,240461104,1.42,-295749120,-1.75,-637338624,-3.77
2023-07-20,BK0451,房地产开发,12351.8,0.38,183196816,1.47,247353632,1.99,-64156816,-0.52,-393239424,-3.16,210042608,1.69
2023-07-19,BK0451,房地产开发,12305.12,1.43,412936656,3.43,367448144,3.05,45488512,0.38,-145922512,-1.21,-267014144,-2.22
2023-07-17,BK0451,房地产开发,12058.65,-0.36,-415330144,-5.03,-136813312,-1.66,-278516832,-3.38,72835664,0.88,342494480,4.15
2023-07-14,BK0451,房地产开发,12101.76,-0.02,-408727696,-5.05,-119522640,-1.48,-289205056,-3.58,117810672,1.46,290917040,3.6
2023-07-13,BK0451,房地产开发,12104.72,0.61,-226405712,-2.55,-26882464,-0.30000000000000004,-199523248,-2.25,-179465712,-2.02,405871408,4.57
