日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0486,文化传媒,8751.61,-0.84,-738167168,-3.88,-441811936,-2.32,-296355232,-1.56,-37769472,-0.2,775756032,4.08
2023-09-04,BK0486,文化传媒,9027.28,0.75,305284944,1.37,447216720,2.0,-141931776,-0.63,-510520064,-2.28,205601024,0.92
2023-08-31,BK0486,文化传媒,9013.59,-1.42,-1794386128,-6.51,-745718992,-2.7,-1048667136,-3.8,101877248,0.37,1692117248,6.14
2023-08-29,BK0486,文化传媒,9038.0,4.21,1635843712,4.46,1396537216,3.8,239306496,0.65,-816891136,-2.22,-819433984,-2.23
2023-08-28,BK0486,文化传媒,8672.46,0.62,-725207168,-2.3,-238198144,-0.76,-487009024,-1.54,-55865600,-0.18,780283648,2.47
2023-08-25,BK0486,文化传媒,8619.04,-3.35,-1837883920,-5.78,-784337680,-2.47,-1053546240,-3.31,-28662272,-0.09,1866021888,5.87
2023-08-24,BK0486,文化传媒,8917.77,2.4,915898304,2.44,1072997568,2.85,-157099264,-0.42,-697263616,-1.85,-218672384,-0.58
2023-08-23,BK0486,文化传媒,8708.82,-0.92,-1785092128,-6.08,-692882976,-2.36,-1092209152,-3.72,365162240,1.24,1419493120,4.83
2023-08-21,BK0486,文化传媒,8535.64,-0.21,-560595536,-3.24,-158256352,-0.91,-402339184,-2.32,-136292864,-0.79,696845312,4.03
2023-08-18,BK0486,文化传媒,8553.91,-2.69,-1370481216,-6.08,-508369216,-2.26,-862112000,-3.83,69553152,0.31,1300268800,5.77
2023-08-16,BK0486,文化传媒,8719.83,-1.7000000000000002,-1208146016,-5.49,-186208912,-0.85,-1021937104,-4.64,-197086208,-0.9,1404081664,6.38
2023-08-15,BK0486,文化传媒,8870.33,-2.23,-1995576112,-8.95,-812321248,-3.64,-1183254864,-5.31,-149552896,-0.67,2145121536,9.62
2023-08-14,BK0486,文化传媒,9072.43,1.88,695527168,2.9,788964352,3.29,-93437184,-0.39,-348185088,-1.45,-347651584,-1.45
2023-08-11,BK0486,文化传媒,8904.95,-2.0,-1393391536,-6.67,-725628784,-3.47,-667762752,-3.2,-117150976,-0.56,1509946880,7.23
2023-08-10,BK0486,文化传媒,9086.39,0.04,-733882816,-3.34,-212980160,-0.97,-520902656,-2.37,-131575040,-0.6000000000000001,864998656,3.93
2023-08-09,BK0486,文化传媒,9082.96,-3.06,-2811823888,-9.35,-1496362000,-4.98,-1315461888,-4.37,52955136,0.18,2756780288,9.17
2023-08-08,BK0486,文化传媒,9369.68,1.65,-826577472,-2.12,-2531648,-0.01,-824045824,-2.12,-28381184,-0.07,858169600,2.21
2023-08-07,BK0486,文化传媒,9217.53,1.96,-11700528,-0.03,416491984,1.23,-428192512,-1.27,-331211520,-0.98,343065344,1.01
2023-08-04,BK0486,文化传媒,9040.63,1.81,1758894896,6.23,1466691376,5.2,292203520,1.04,-818163200,-2.9,-940566784,-3.33
2023-08-03,BK0486,文化传媒,8879.56,-0.61,-1014746928,-5.32,-518541904,-2.72,-496205024,-2.6,221844480,1.16,792587264,4.16
2023-08-02,BK0486,文化传媒,8934.03,-0.47,-539010400,-2.48,-31451744,-0.14,-507558656,-2.33,-319088640,-1.47,857707264,3.94
2023-08-01,BK0486,文化传媒,8976.37,-0.88,-954690672,-4.7,-408828832,-2.01,-545861840,-2.69,-388292352,-1.91,1342059776,6.61
2023-07-31,BK0486,文化传媒,9056.3,2.19,643453328,2.36,433773456,1.59,209679872,0.77,-277902080,-1.02,-364373760,-1.33
2023-07-28,BK0486,文化传媒,8862.35,-0.55,-1537946160,-6.54,-757824304,-3.22,-780121856,-3.32,-308269056,-1.31,1846292736,7.85
2023-07-27,BK0486,文化传媒,8911.75,-1.5,-1298708736,-5.08,-510357248,-2.0,-788351488,-3.09,-119523584,-0.47,1416992256,5.55
2023-07-26,BK0486,文化传媒,9047.88,-2.39,-2404191712,-8.27,-1260434656,-4.33,-1143757056,-3.93,318486016,1.1,2085556736,7.17
2023-07-24,BK0486,文化传媒,9096.94,0.37,-764306800,-2.95,-251491184,-0.97,-512815616,-1.98,-27887872,-0.11,792365824,3.05
2023-07-21,BK0486,文化传媒,9063.78,-0.18,-1808747808,-6.19,-903778336,-3.09,-904969472,-3.1,-103733504,-0.35000000000000003,1911030784,6.54
2023-07-20,BK0486,文化传媒,9079.7,-1.02,-919657040,-2.85,-302388048,-0.94,-617268992,-1.91,-235256576,-0.73,1153972992,3.5700000000000003
2023-07-19,BK0486,文化传媒,9173.29,1.39,69503824,0.24,606426192,2.09,-536922368,-1.85,-85366784,-0.29,15786240,0.05
2023-07-17,BK0486,文化传媒,9230.69,-1.13,-1961024624,-5.71,-1077436272,-3.14,-883588352,-2.5700000000000003,395607808,1.15,1564787968,4.5600000000000005
2023-07-14,BK0486,文化传媒,9335.84,1.51,-89941232,-0.23,424412944,1.08,-514354176,-1.31,-22220544,-0.06,111563008,0.28
2023-07-13,BK0486,文化传媒,9197.21,3.44,2078284544,5.53,1913097984,5.09,165186560,0.44,-801718016,-2.13,-1277000704,-3.4
2023-07-12,BK0486,文化传媒,8891.2,-2.0,-1085861920,-4.03,-402849568,-1.5,-683012352,-2.54,933632,0.0,1085752320,4.03
2023-07-11,BK0486,文化传媒,9072.96,-0.55,-1020526160,-4.54,-454134608,-2.02,-566391552,-2.52,200893696,0.89,819284992,3.65
2023-07-10,BK0486,文化传媒,9123.24,2.03,645326688,2.78,410543456,1.77,234783232,1.01,76126464,0.33,-721007872,-3.1
2023-07-07,BK0486,文化传媒,8941.59,-0.7000000000000001,-896310480,-3.94,-668165328,-2.93,-228145152,-1.0,-19251200,-0.08,915763456,4.02
2023-07-06,BK0486,文化传媒,9004.69,-0.2,-81278256,-0.35000000000000003,-202335280,-0.88,121057024,0.53,-278399232,-1.21,359675392,1.56
