日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-03,BK1018,橡胶制品,1070.95,-0.88,-25961545,-1.34,-10425577,-0.54,-15535968,-0.8,67624896,3.48,-42251584,-2.17
2023-08-02,BK1018,橡胶制品,1080.5,0.22,30489716,1.43,10500660,0.49,19989056,0.94,96777552,4.55,-124344432,-5.85
2023-08-01,BK1018,橡胶制品,1078.18,-0.23,3768720,0.16,-10167792,-0.42,13936512,0.5700000000000001,20686304,0.85,-25369504,-1.05
2023-07-31,BK1018,橡胶制品,1080.71,0.97,-20605586,-0.61,-6370194,-0.19,-14235392,-0.42,1342992,0.04,19104624,0.56
2023-07-28,BK1018,橡胶制品,1070.37,0.5700000000000001,-43604278,-1.55,1310218,0.05,-44914496,-1.6,10223520,0.36,28435600,1.01
2023-07-27,BK1018,橡胶制品,1064.32,-1.02,-120578990,-4.68,-32342510,-1.25,-88236480,-3.42,24454032,0.95,93986896,3.65
2023-07-26,BK1018,橡胶制品,1075.34,-1.13,-165768733,-6.5,-72336701,-2.84,-93432032,-3.67,-32061344,-1.26,195434928,7.67
2023-07-24,BK1018,橡胶制品,1070.2,0.17,-192392400,-3.64,-60510816,-1.15,-131881584,-2.5,21761520,0.41,168735600,3.2
2023-07-21,BK1018,橡胶制品,1068.39,-0.6000000000000001,-47436104,-2.22,-9660680,-0.45,-37775424,-1.77,5857056,0.27,41746896,1.96
2023-07-20,BK1018,橡胶制品,1074.84,-0.98,-120605167,-4.39,-77152511,-2.81,-43452656,-1.58,-42470336,-1.55,163150704,5.94
2023-07-19,BK1018,橡胶制品,1085.51,-0.53,-40412437,-1.4,12223163,0.42,-52635600,-1.83,-16010000,-0.56,46846768,1.63
2023-07-17,BK1018,橡胶制品,1077.43,-0.23,-74865449,-2.35,-15961737,-0.5,-58903712,-1.85,-3355456,-0.11,63427072,1.99
2023-07-14,BK1018,橡胶制品,1079.89,0.72,-30322067,-0.96,33801645,1.07,-64123712,-2.02,-77781056,-2.45,130060432,4.1
2023-07-13,BK1018,橡胶制品,1072.17,0.30000000000000004,-200581190,-4.82,-95882134,-2.3,-104699056,-2.52,-6359072,-0.15,208671328,5.01
2023-07-12,BK1018,橡胶制品,1068.99,-0.13,-83798048,-1.51,41807840,0.75,-125605888,-2.26,720832,0.01,77478032,1.39
2023-07-11,BK1018,橡胶制品,1070.35,1.77,-142610288,-3.38,5840,0.0,-142616128,-3.38,133624848,3.17,4260544,0.1
2023-07-10,BK1018,橡胶制品,1051.69,-0.17,-39278058,-1.56,11124150,0.44,-50402208,-2.0,23492224,0.93,5212272,0.21
2023-07-07,BK1018,橡胶制品,1053.48,0.33,13027553,0.58,-6977551,-0.31,20005104,0.89,35294720,1.57,-37687456,-1.6800000000000002
2023-07-06,BK1018,橡胶制品,1050.04,0.55,13273452,0.61,20798476,0.96,-7525024,-0.35000000000000003,18452784,0.85,-31519040,-1.45
2023-07-05,BK1018,橡胶制品,1044.33,-0.58,-197220662,-9.0,-57555254,-2.63,-139665408,-6.37,26954624,1.23,179138432,8.17
2023-07-04,BK1018,橡胶制品,1050.4,0.89,-87765475,-3.25,-56336451,-2.08,-31429024,-1.16,-25439536,-0.94,116217408,4.3
2023-07-03,BK1018,橡胶制品,1041.17,-0.03,-106460213,-3.46,-45441269,-1.48,-61018944,-1.98,-31848976,-1.04,132189824,4.3
2023-06-30,BK1018,橡胶制品,1041.49,1.62,38041506,1.31,60347282,2.08,-22305776,-0.77,-16632112,-0.5700000000000001,-16993088,-0.59
2023-06-29,BK1018,橡胶制品,1024.92,0.91,-89910031,-4.14,-33515007,-1.54,-56395024,-2.59,-62002128,-2.85,156945168,7.22
2023-06-28,BK1018,橡胶制品,1015.69,0.18,-30612762,-1.39,10430118,0.47,-41042880,-1.86,-5000464,-0.23,36559632,1.66
2023-06-27,BK1018,橡胶制品,1013.85,2.05,65432776,2.88,77065512,3.4,-11632736,-0.51,-44294848,-1.95,-21427440,-0.94
2023-06-26,BK1018,橡胶制品,993.45,-1.57,-56966158,-2.46,15996786,0.6900000000000001,-72962944,-3.15,-26343168,-1.14,77794816,3.36
2023-06-21,BK1018,橡胶制品,1009.34,-0.13,64814928,2.64,20467536,0.8300000000000001,44347392,1.8,8981888,0.37,-68298208,-2.78
2023-06-20,BK1018,橡胶制品,1010.63,-0.46,-124755333,-5.93,-30951589,-1.47,-93803744,-4.46,2397200,0.11,122290000,5.8100000000000005
2023-06-19,BK1018,橡胶制品,1015.34,-0.8300000000000001,-74523772,-2.61,-24673404,-0.87,-49850368,-1.75,8778144,0.31,62145136,2.18
2023-06-16,BK1018,橡胶制品,1023.79,0.27,-16896447,-0.53,-20460031,-0.64,3563584,0.11,-24721792,-0.77,41841120,1.31
