日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK1016,汽车服务,1044.43,0.63,8790944,0.6000000000000001,4742416,0.33,4048528,0.28,-8112992,-0.56,-1008528,-0.07
2023-07-27,BK1016,汽车服务,1037.85,0.71,-69029761,-4.02,-39386705,-2.29,-29643056,-1.73,34583344,2.01,34804688,2.03
2023-07-26,BK1016,汽车服务,1030.58,-0.64,14967682,1.24,48957097,4.05,-33989415,-2.81,3785952,0.31,-18634672,-1.54
2023-07-24,BK1016,汽车服务,1014.15,-0.18,-60268234,-8.02,-48514220,-6.46,-11754014,-1.56,16663725,2.22,43542391,5.8
2023-07-21,BK1016,汽车服务,1016.02,-0.15,-49946628,-5.75,-22482005,-2.59,-27464623,-3.16,14715488,1.69,35115600,4.04
2023-07-20,BK1016,汽车服务,1017.55,-1.45,-129173560,-11.31,-63444926,-5.55,-65728634,-5.75,10500032,0.92,118642752,10.38
2023-07-19,BK1016,汽车服务,1032.54,-0.65,-100927703,-10.05,-72284199,-7.2,-28643504,-2.85,41129072,4.1,59649808,5.94
2023-07-17,BK1016,汽车服务,1033.06,-1.41,-187269838,-11.75,-169128142,-10.61,-18141696,-1.14,119972976,7.53,67282864,4.22
2023-07-14,BK1016,汽车服务,1047.79,-1.34,-194020472,-12.2,-157362328,-9.9,-36658144,-2.31,88801264,5.58,105222704,6.62
2023-07-13,BK1016,汽车服务,1062.04,-0.49,-170161126,-10.35,-102423830,-6.23,-67737296,-4.12,34627600,2.11,135399568,8.24
2023-07-12,BK1016,汽车服务,1067.23,-0.85,-172741058,-7.56,-167535698,-7.33,-5205360,-0.23,25403680,1.11,146791648,6.42
2023-07-11,BK1016,汽车服务,1076.4,2.24,-17537521,-0.89,-390753,-0.02,-17146768,-0.87,-6134832,-0.31,24024144,1.22
2023-07-10,BK1016,汽车服务,1052.87,-0.28,-134341962,-9.26,-137341802,-9.46,2999840,0.21,97419984,6.71,35698624,2.46
2023-07-07,BK1016,汽车服务,1055.87,0.33,7995013,0.47,-682827,-0.04,8677840,0.51,-7020144,-0.42,-1417680,-0.08
2023-07-06,BK1016,汽车服务,1052.43,-0.08,-175329129,-10.47,-84185273,-5.03,-91143856,-5.44,19678576,1.18,155476784,9.29
2023-07-05,BK1016,汽车服务,1053.23,-1.04,-244495123,-11.6,-161360499,-7.66,-83134624,-3.95,76853808,3.65,166282512,7.89
2023-07-04,BK1016,汽车服务,1064.34,3.24,45756576,1.55,59665760,2.03,-13909184,-0.47,-11493136,-0.39,-34197424,-1.16
2023-07-03,BK1016,汽车服务,1030.97,1.63,74415768,3.66,16232408,0.8,58183360,2.86,-50149728,-2.47,-24208304,-1.19
2023-06-30,BK1016,汽车服务,1014.42,1.56,57994720,2.89,35782672,1.78,22212048,1.11,-6459632,-0.32,-52074272,-2.59
2023-06-29,BK1016,汽车服务,998.81,0.72,-58119555,-3.77,-50381475,-3.27,-7738080,-0.5,-26085232,-1.69,84684976,5.49
2023-06-28,BK1016,汽车服务,991.71,0.11,-30870292,-1.66,-65952516,-3.54,35082224,1.88,-44390912,-2.38,75218544,4.04
2023-06-27,BK1016,汽车服务,990.62,1.59,39951993,2.81,66578873,4.67,-26626880,-1.87,-44590608,-3.13,4559136,0.32
2023-06-26,BK1016,汽车服务,975.08,-1.86,-99432026,-6.38,-72704714,-4.67,-26727312,-1.72,2804560,0.18,96618528,6.2
2023-06-21,BK1016,汽车服务,993.53,-1.57,-154469094,-8.69,-123311238,-6.94,-31157856,-1.75,-14222240,-0.8,168623312,9.49
2023-06-20,BK1016,汽车服务,1009.37,-0.77,-61983438,-3.76,-49409518,-2.99,-12573920,-0.76,-42265968,-2.56,103986368,6.3
2023-06-19,BK1016,汽车服务,1017.18,-0.8200000000000001,-158996741,-6.79,-113415093,-4.85,-45581648,-1.95,43809424,1.87,115072048,4.92
2023-06-16,BK1016,汽车服务,1025.54,-0.51,-19753860,-0.86,-23519284,-1.03,3765424,0.16,-38643632,-1.69,58200304,2.54
