日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1028,燃气,1380.75,-0.54,-102160272,-2.96,-19994816,-0.58,-82165456,-2.38,29751536,0.86,70950944,2.06
2023-08-11,BK1028,燃气,1388.23,-3.56,-149860528,-2.46,-126265040,-2.07,-23595488,-0.39,190952848,3.14,-45438896,-0.75
2023-08-10,BK1028,燃气,1439.42,5.43,284432464,5.52,210507136,4.09,73925328,1.44,-46516576,-0.9,-233031264,-4.52
2023-08-09,BK1028,燃气,1365.28,-1.3,-51553342,-4.8,-9758747,-0.91,-41794595,-3.89,53274832,4.96,-1825152,-0.17
2023-08-08,BK1028,燃气,1383.24,0.58,31012449,2.71,2833865,0.25,28178584,2.46,8386000,0.73,-39481616,-3.45
2023-08-07,BK1028,燃气,1375.33,-0.6900000000000001,-58392454,-5.12,-19870324,-1.74,-38522130,-3.38,8332448,0.73,49991664,4.38
2023-08-04,BK1028,燃气,1384.83,-0.85,-54536898,-4.85,-6772113,-0.6000000000000001,-47764785,-4.25,-36204528,-3.22,90370992,8.04
2023-08-03,BK1028,燃气,1396.77,-0.43,-55355361,-6.03,-22850755,-2.49,-32504606,-3.54,12462208,1.36,42686048,4.65
2023-08-02,BK1028,燃气,1402.79,-0.73,-80572332,-7.33,-27705144,-2.52,-52867188,-4.8100000000000005,5483824,0.5,75133360,6.83
2023-08-01,BK1028,燃气,1413.11,0.84,-68233390,-4.51,-18042435,-1.19,-50190955,-3.32,-11640064,-0.77,80450080,5.32
2023-07-31,BK1028,燃气,1401.4,0.55,26897247,1.81,7420461,0.5,19476786,1.31,-50529808,-3.4,23609120,1.59
2023-07-28,BK1028,燃气,1393.72,0.71,-15346528,-1.26,-18770713,-1.54,3424185,0.28,-26569056,-2.18,42048560,3.46
2023-07-27,BK1028,燃气,1383.87,-0.38,-10121350,-0.89,-7715622,-0.68,-2405728,-0.21,-34977280,-3.08,45004496,3.96
