日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1039,电子化学品,1551.71,7.6,907102848,6.71,877127168,6.49,29975680,0.22,-262010112,-1.94,-645092864,-4.77
2023-09-04,BK1039,电子化学品,1406.21,1.24,-47199485,-1.15,-20316061,-0.5,-26883424,-0.66,-14407776,-0.35000000000000003,61607264,1.5
2023-08-31,BK1039,电子化学品,1409.28,3.59,317004384,4.19,415270176,5.49,-98265792,-1.3,-156702272,-2.07,-160302096,-2.12
2023-08-29,BK1039,电子化学品,1336.02,5.13,-56948779,-1.47,46220293,1.19,-103169072,-2.66,-10526224,-0.27,67474992,1.74
2023-08-28,BK1039,电子化学品,1270.83,0.71,-12089780,-0.35000000000000003,12930316,0.37,-25020096,-0.72,-15791104,-0.45,27880896,0.8
2023-08-25,BK1039,电子化学品,1261.84,-2.03,-198942993,-7.9,-43478705,-1.73,-155464288,-6.17,-13934400,-0.55,212877392,8.45
2023-08-24,BK1039,电子化学品,1288.01,0.53,-86700095,-3.5,-39159103,-1.58,-47540992,-1.92,60133408,2.43,26566688,1.07
2023-08-23,BK1039,电子化学品,1281.23,-2.18,-90963443,-3.68,17918669,0.73,-108882112,-4.41,-12633520,-0.51,103596960,4.2
2023-08-21,BK1039,电子化学品,1305.75,0.39,69204494,4.09,76720510,4.54,-7516016,-0.44,-9625376,-0.5700000000000001,-59579120,-3.52
2023-08-18,BK1039,电子化学品,1300.66,-0.81,-62559567,-3.88,-8652367,-0.54,-53907200,-3.35,12762144,0.79,49797408,3.09
2023-08-16,BK1039,电子化学品,1292.92,-1.67,-104274034,-6.99,-31451277,-2.11,-72822757,-4.88,-28801168,-1.93,133075216,8.92
2023-08-15,BK1039,电子化学品,1314.86,-1.5,-139233981,-6.99,-37917981,-1.9,-101316000,-5.09,-5036656,-0.25,144270640,7.24
2023-08-14,BK1039,电子化学品,1334.92,-0.48,-99817214,-5.74,-43935838,-2.53,-55881376,-3.21,32456400,1.87,67360800,3.87
2023-08-11,BK1039,电子化学品,1341.35,-1.97,-137284270,-7.57,39882114,2.2,-177166384,-9.77,-59286640,-3.27,196570928,10.84
2023-08-10,BK1039,电子化学品,1368.31,-0.32,-77731299,-5.88,-39403839,-2.98,-38327460,-2.9,30926800,2.34,46804512,3.54
2023-08-09,BK1039,电子化学品,1372.65,-0.67,-69785118,-5.53,-10705653,-0.85,-59079465,-4.68,-23013072,-1.82,92798176,7.35
2023-08-08,BK1039,电子化学品,1381.88,-0.30000000000000004,-81339557,-6.05,-24461668,-1.82,-56877889,-4.23,5920768,0.44,75418800,5.61
2023-08-07,BK1039,电子化学品,1386.06,-1.17,-148054956,-8.87,-49035548,-2.94,-99019408,-5.93,12386080,0.74,135668880,8.13
2023-08-04,BK1039,电子化学品,1402.41,0.05,-123142986,-6.5,-60057866,-3.17,-63085120,-3.33,-7921136,-0.42,131064160,6.92
2023-08-03,BK1039,电子化学品,1401.72,-0.94,-158425746,-8.54,-55478386,-2.99,-102947360,-5.55,48226160,2.6,110199584,5.94
2023-08-02,BK1039,电子化学品,1414.95,1.02,75453111,2.88,50707991,1.94,24745120,0.94,74937280,2.86,-150390384,-5.74
2023-08-01,BK1039,电子化学品,1400.65,-0.46,7312825,0.37,-20992551,-1.05,28305376,1.42,43163968,2.16,-50476800,-2.52
2023-07-31,BK1039,电子化学品,1407.07,0.7000000000000001,-4781530,-0.24,-10731898,-0.54,5950368,0.30000000000000004,29553408,1.48,-24771888,-1.24
2023-07-28,BK1039,电子化学品,1397.29,0.28,-111729393,-5.67,-39332049,-2.0,-72397344,-3.68,6164464,0.31,105564912,5.36
2023-07-27,BK1039,电子化学品,1393.43,-1.3,-144729348,-6.4,-60390100,-2.67,-84339248,-3.73,-44881632,-1.98,189610960,8.38
2023-07-26,BK1039,电子化学品,1411.77,-0.62,-108047002,-6.16,-18185610,-1.04,-89861392,-5.12,36238608,2.07,71808384,4.09
2023-07-24,BK1039,电子化学品,1400.08,-0.21,-111411302,-7.16,-28280602,-1.82,-83130700,-5.35,45783968,2.94,65627328,4.22
2023-07-21,BK1039,电子化学品,1403.06,-1.1,-154655062,-8.45,-55603814,-3.04,-99051248,-5.41,7972480,0.44,146682576,8.01
2023-07-20,BK1039,电子化学品,1418.6,-1.74,-188626082,-8.47,-49325266,-2.22,-139300816,-6.26,-58379712,-2.62,247005792,11.09
2023-07-19,BK1039,电子化学品,1443.72,-0.43,-51565428,-1.93,12484044,0.47,-64049472,-2.4,-22135152,-0.8300000000000001,73700592,2.76
2023-07-17,BK1039,电子化学品,1454.59,-0.05,-73859838,-2.53,-66202878,-2.27,-7656960,-0.26,51661120,1.77,22198720,0.76
2023-07-14,BK1039,电子化学品,1455.28,0.30000000000000004,-48398740,-1.41,3642460,0.11,-52041200,-1.51,21254544,0.62,27144192,0.79
