日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-12,BK0436,纺织服装,10420.25,-1.18,-190125227,-4.31,-113585419,-2.5700000000000003,-76539808,-1.73,75807632,1.72,114052080,2.58
2023-07-11,BK0436,纺织服装,10544.29,0.26,-103063217,-2.47,-72855857,-1.75,-30207360,-0.72,-68197168,-1.64,171273552,4.11
2023-07-10,BK0436,纺织服装,10517.04,0.03,-120665213,-3.04,-72997517,-1.84,-47667696,-1.2,15039392,0.38,105502752,2.66
2023-07-07,BK0436,纺织服装,10513.95,0.06,-38182841,-1.01,13990711,0.37,-52173552,-1.38,-73795616,-1.95,112037536,2.96
2023-07-06,BK0436,纺织服装,10508.08,-0.28,-239980346,-6.07,-113238202,-2.86,-126742144,-3.21,2128832,0.05,237805760,6.01
2023-07-05,BK0436,纺织服装,10538.08,-0.56,-83992277,-2.04,-30229989,-0.73,-53762288,-1.3,-29491072,-0.72,113517248,2.75
2023-07-04,BK0436,纺织服装,10597.25,0.6000000000000001,-160921985,-3.58,-44802209,-1.0,-116119776,-2.58,-95595840,-2.13,256405936,5.7
2023-07-03,BK0436,纺织服装,10533.99,0.24,-172625023,-3.07,-83464447,-1.48,-89160576,-1.59,-132806976,-2.36,305152960,5.43
2023-06-30,BK0436,纺织服装,10509.15,2.28,-17581904,-0.27,27139488,0.41,-44721392,-0.68,-90831472,-1.38,108322192,1.65
2023-06-29,BK0436,纺织服装,10274.86,0.99,-269132486,-5.63,-107079334,-2.24,-162053152,-3.39,-58589824,-1.23,327773904,6.86
2023-06-28,BK0436,纺织服装,10173.87,-0.39,-291447714,-6.01,-110015666,-2.27,-181432048,-3.74,-63747152,-1.31,355108336,7.32
2023-06-27,BK0436,纺织服装,10213.21,3.23,-129351932,-2.26,-14094844,-0.25,-115257088,-2.01,-37369584,-0.65,166447200,2.9
2023-06-26,BK0436,纺织服装,9894.08,-1.07,-252388691,-4.87,-72712723,-1.4,-179675968,-3.46,12855504,0.25,239285632,4.61
2023-06-21,BK0436,纺织服装,10000.78,-1.07,-409937076,-7.79,-231210180,-4.39,-178726896,-3.4,104789824,1.99,305348864,5.8
2023-06-20,BK0436,纺织服装,10109.24,-1.09,-199731840,-3.5700000000000003,-101802208,-1.82,-97929632,-1.75,18643072,0.33,181138624,3.24
2023-06-19,BK0436,纺织服装,10220.28,-0.63,-295021776,-4.87,-88161072,-1.45,-206860704,-3.41,-54430736,-0.9,349464800,5.76
2023-06-16,BK0436,纺织服装,10284.63,0.44,117512928,2.01,128101328,2.19,-10588400,-0.18,-121860448,-2.08,4453600,0.08
