日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0539,综合行业,8582.67,-0.4,-135670728,-8.03,-60583704,-3.58,-75087024,-4.44,1623136,0.1,134047632,7.93
2023-07-04,BK0539,综合行业,8617.36,0.33,-68901198,-3.12,-23623694,-1.07,-45277504,-2.05,13624144,0.62,55277040,2.5
2023-07-03,BK0539,综合行业,8588.7,0.59,-4143735,-0.19,-456439,-0.02,-3687296,-0.17,-15436496,-0.71,19580240,0.9
2023-06-30,BK0539,综合行业,8538.27,1.55,3571673,0.15,-4600535,-0.2,8172208,0.35000000000000003,28452432,1.22,-32024112,-1.38
2023-06-29,BK0539,综合行业,8407.91,0.6000000000000001,-45365932,-2.68,1524164,0.09,-46890096,-2.77,-49333168,-2.91,94699104,5.58
2023-06-28,BK0539,综合行业,8358.15,-0.38,-134320335,-6.44,-44510671,-2.13,-89809664,-4.31,77269680,3.71,57050640,2.74
2023-06-27,BK0539,综合行业,8390.04,2.09,9271997,0.6000000000000001,-3254099,-0.21,12526096,0.81,-32866976,-2.13,23594992,1.53
2023-06-26,BK0539,综合行业,8218.66,-1.27,-71074761,-4.16,-50117673,-2.93,-20957088,-1.23,-37174800,-2.17,108249552,6.33
2023-06-21,BK0539,综合行业,8324.52,-0.63,-172137666,-8.18,-86810482,-4.12,-85327184,-4.05,-17567136,-0.8300000000000001,189704784,9.01
2023-06-20,BK0539,综合行业,8377.53,-0.8300000000000001,-12951125,-0.58,-37670757,-1.69,24719632,1.11,32138416,1.44,-19187280,-0.86
2023-06-19,BK0539,综合行业,8447.69,-0.54,-92969942,-4.15,-35853414,-1.6,-57116528,-2.55,45343664,2.02,47626272,2.12
2023-06-16,BK0539,综合行业,8493.31,0.2,-62863770,-3.15,32711798,1.64,-95575568,-4.79,8632912,0.43,54230864,2.72
