日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK1035,美容护理,855.17,-0.24,-82704215,-3.96,-9070135,-0.43,-73634080,-3.53,1664128,0.08,81040080,3.88
2023-09-04,BK1035,美容护理,860.88,0.88,20297825,0.55,16826817,0.46,3471008,0.09,-73219440,-1.99,52921616,1.44
2023-08-31,BK1035,美容护理,848.89,0.15,-58474827,-1.98,-68420587,-2.32,9945760,0.34,78627952,2.66,-20153120,-0.68
2023-08-29,BK1035,美容护理,845.97,2.9,-46701691,-1.19,18759493,0.48,-65461184,-1.66,-3123616,-0.08,49825312,1.26
2023-08-28,BK1035,美容护理,822.11,1.21,-115074860,-2.43,-64015820,-1.35,-51059040,-1.08,25495968,0.54,89578896,1.89
2023-08-25,BK1035,美容护理,812.3,-0.36,-4461276,-0.13,15822420,0.46,-20283696,-0.58,-15356704,-0.44,19817984,0.5700000000000001
2023-08-24,BK1035,美容护理,815.24,1.53,80114012,2.74,42035452,1.44,38078560,1.3,-77872160,-2.66,-2241856,-0.08
2023-08-23,BK1035,美容护理,802.98,-1.81,-198946858,-6.78,-34886218,-1.19,-164060640,-5.59,27930352,0.95,171016480,5.83
2023-08-21,BK1035,美容护理,834.97,-1.15,-153641525,-4.45,-35210373,-1.02,-118431152,-3.43,79669232,2.31,73972288,2.14
2023-08-18,BK1035,美容护理,844.69,-0.87,82680768,2.44,-19140784,-0.56,101821552,3.0,-29946624,-0.88,-52734160,-1.56
2023-08-16,BK1035,美容护理,846.9,0.21,-21162763,-0.8,-45568699,-1.72,24405936,0.92,-12433008,-0.47,33595776,1.27
2023-08-15,BK1035,美容护理,845.12,0.29,-16174806,-0.64,-17183142,-0.68,1008336,0.04,50737600,2.02,-34562784,-1.37
2023-08-14,BK1035,美容护理,842.7,0.75,-10779084,-0.4,11398292,0.42,-22177376,-0.8300000000000001,46474288,1.73,-35695216,-1.33
2023-08-11,BK1035,美容护理,836.45,-1.15,-116587439,-4.47,-39797775,-1.53,-76789664,-2.94,67396592,2.58,49190848,1.89
2023-08-10,BK1035,美容护理,846.14,0.06,-96917363,-3.93,-51908067,-2.11,-45009296,-1.83,8725120,0.35000000000000003,88192224,3.58
2023-08-09,BK1035,美容护理,845.6,-0.30000000000000004,53224076,1.83,10515420,0.36,42708656,1.47,356048,0.01,-53580128,-1.84
2023-08-08,BK1035,美容护理,848.18,-0.11,-54748901,-2.03,-25793285,-0.96,-28955616,-1.08,1750592,0.07,52998320,1.97
2023-08-07,BK1035,美容护理,849.14,-1.07,-160296674,-4.95,-99898722,-3.08,-60397952,-1.86,-23450448,-0.72,183747104,5.67
2023-08-04,BK1035,美容护理,858.33,-0.65,-47869088,-1.06,-35835536,-0.79,-12033552,-0.27,-107820112,-2.38,155689168,3.44
2023-08-03,BK1035,美容护理,863.95,-0.02,-17036852,-0.59,3786124,0.13,-20822976,-0.72,-18910608,-0.66,35947440,1.25
