日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0420,航空机场,4736.01,-0.61,-258887910,-9.38,-184284454,-6.68,-74603456,-2.7,62281856,2.26,196606064,7.12
2023-07-17,BK0420,航空机场,4720.79,0.13,172413070,6.01,50470414,1.76,121942656,4.25,-185077376,-6.46,12664304,0.44
2023-07-14,BK0420,航空机场,4714.58,-0.58,-109758240,-3.81,-48424432,-1.6800000000000002,-61333808,-2.13,13262976,0.46,96495264,3.35
2023-07-13,BK0420,航空机场,4742.1,0.18,-177892864,-6.51,-165625040,-6.06,-12267824,-0.45,34877920,1.28,143014944,5.23
2023-07-12,BK0420,航空机场,4733.8,-2.07,-142448560,-3.85,-29206320,-0.79,-113242240,-3.06,-44626224,-1.21,187074784,5.05
2023-07-11,BK0420,航空机场,4833.73,-0.56,-187134562,-7.95,-72578594,-3.08,-114555968,-4.87,37309520,1.59,149825040,6.37
2023-07-10,BK0420,航空机场,4861.16,0.01,62522310,2.5700000000000003,48934758,2.01,13587552,0.56,-23926544,-0.98,-38595760,-1.59
2023-07-07,BK0420,航空机场,4860.91,0.46,13010912,0.48,-6050464,-0.22,19061376,0.71,103165504,3.82,-116176432,-4.31
2023-07-06,BK0420,航空机场,4838.75,-0.02,-39778640,-1.47,-31065152,-1.15,-8713488,-0.32,56287056,2.08,-16508432,-0.61
2023-07-05,BK0420,航空机场,4839.54,-0.67,-36748701,-1.53,-5220925,-0.22,-31527776,-1.31,-8004016,-0.33,44752720,1.87
2023-07-04,BK0420,航空机场,4872.18,0.72,79554519,2.33,31815607,0.93,47738912,1.4,-121710032,-3.56,42155520,1.23
2023-07-03,BK0420,航空机场,4837.45,4.0,592480448,9.54,209304736,3.37,383175712,6.17,-34786704,-0.56,-557693744,-8.98
2023-06-30,BK0420,航空机场,4651.42,0.41,-40589299,-1.96,-7042931,-0.34,-33546368,-1.62,4094160,0.2,36495136,1.76
2023-06-29,BK0420,航空机场,4632.62,-1.65,-248542708,-8.74,-109537780,-3.85,-139004928,-4.89,86331616,3.04,162211104,5.71
2023-06-28,BK0420,航空机场,4710.55,0.27,23675131,1.16,34631659,1.69,-10956528,-0.54,12257872,0.6000000000000001,-35932992,-1.76
2023-06-27,BK0420,航空机场,4698.03,1.75,95707363,4.01,23380419,0.98,72326944,3.03,26806464,1.12,-122513824,-5.14
2023-06-26,BK0420,航空机场,4617.37,-1.73,-96084099,-3.4,-118372979,-4.19,22288880,0.79,3684656,0.13,92399440,3.27
2023-06-21,BK0420,航空机场,4698.71,-0.68,172221376,6.52,79107408,2.99,93113968,3.52,12073520,0.46,-184294880,-6.97
2023-06-20,BK0420,航空机场,4731.0,-1.09,-130947980,-5.53,-103874204,-4.39,-27073776,-1.14,38678176,1.63,92269792,3.9
2023-06-19,BK0420,航空机场,4783.25,0.47,53969728,1.44,-124047296,-3.32,178017024,4.76,-51906208,-1.39,-2063520,-0.06
2023-06-16,BK0420,航空机场,4760.66,1.1,155981604,5.06,121411140,3.94,34570464,1.12,-66490208,-2.16,-89491376,-2.9
