日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-05,BK0476,装修建材,13442.85,-0.8200000000000001,-162136309,-3.32,-41551541,-0.85,-120584768,-2.47,-45406752,-0.93,207543056,4.25
2023-07-04,BK0476,装修建材,13553.6,0.14,-106430128,-2.36,-89312032,-1.98,-17118096,-0.38,40767440,0.9,65662688,1.45
2023-07-03,BK0476,装修建材,13534.51,0.76,146103100,2.38,42672076,0.7000000000000001,103431024,1.69,33540352,0.55,-179643456,-2.93
2023-06-30,BK0476,装修建材,13432.76,1.09,-151258624,-2.11,-135600928,-1.9,-15657696,-0.22,2974864,0.04,148283760,2.07
2023-06-29,BK0476,装修建材,13288.5,-0.38,40332037,0.85,11321669,0.24,29010368,0.61,-80343984,-1.7000000000000002,40011936,0.85
2023-06-28,BK0476,装修建材,13339.59,0.06,-123474544,-2.07,-49743360,-0.8300000000000001,-73731184,-1.24,-101821248,-1.71,225295792,3.78
2023-06-27,BK0476,装修建材,13331.16,4.82,490971648,6.21,429258640,5.43,61713008,0.78,-185745840,-2.35,-305225808,-3.86
2023-06-26,BK0476,装修建材,12718.04,-1.08,-39789950,-0.79,-92771758,-1.84,52981808,1.05,-265712,-0.01,40055664,0.8
2023-06-21,BK0476,装修建材,12857.14,-1.12,28135341,0.64,116809741,2.67,-88674400,-2.03,-56826896,-1.3,28691568,0.66
2023-06-20,BK0476,装修建材,13002.63,-1.79,-710524900,-10.79,-314455508,-4.78,-396069392,-6.02,61679808,0.94,648845120,9.86
2023-06-19,BK0476,装修建材,13239.57,-1.77,-506493099,-7.87,-178086731,-2.77,-328406368,-5.1,24539024,0.38,481954080,7.49
2023-06-16,BK0476,装修建材,13478.08,0.18,80929728,1.36,40870512,0.6900000000000001,40059216,0.67,7161488,0.12,-88091248,-1.48
