日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0473,证券,124693.11,-0.26,-1024136032,-4.75,-740925024,-3.44,-283211008,-1.31,235226368,1.09,788909568,3.66
2023-09-04,BK0473,证券,126160.76,0.54,150668704,0.55,192294816,0.71,-41626112,-0.15,-245242368,-0.9,94574080,0.35000000000000003
2023-08-31,BK0473,证券,126272.49,-2.05,-3111212816,-9.05,-2029788432,-5.91,-1081424384,-3.15,520065792,1.51,2591147008,7.54
2023-08-29,BK0473,证券,133362.22,-0.58,-4063300096,-5.82,-3604971264,-5.16,-458328832,-0.66,595343360,0.85,3467956992,4.97
2023-08-28,BK0473,证券,134145.98,2.77,-1714019328,-1.62,815952128,0.77,-2529971456,-2.39,775779584,0.73,938239232,0.89
2023-08-25,BK0473,证券,130534.5,0.88,820997120,2.24,40315648,0.11,780681472,2.13,-218618624,-0.6000000000000001,-602378752,-1.64
2023-08-24,BK0473,证券,129396.52,0.87,958820096,2.35,1213270784,2.97,-254450688,-0.62,-1163722752,-2.85,204902656,0.5
2023-08-23,BK0473,证券,128285.28,-2.99,-3976770048,-10.4,-2516068864,-6.58,-1460701184,-3.82,691566336,1.81,3285203712,8.59
2023-08-21,BK0473,证券,130054.03,-2.64,-4347792384,-9.59,-2958324736,-6.53,-1389467648,-3.07,282597888,0.62,4065194496,8.97
2023-08-18,BK0473,证券,133583.16,-2.81,-3363073280,-7.12,-2292333568,-4.85,-1070739712,-2.27,850688000,1.8,2512385024,5.32
2023-08-16,BK0473,证券,136883.45,1.51,1766881792,2.63,1989291520,2.97,-222409728,-0.33,129459712,0.19,-1896341760,-2.83
2023-08-15,BK0473,证券,134853.89,1.61,1294862592,2.64,1901692160,3.88,-606829568,-1.24,-714699520,-1.46,-580163072,-1.18
2023-08-14,BK0473,证券,132722.37,-1.03,-1904261376,-3.46,-995258880,-1.81,-909002496,-1.65,-221502720,-0.4,2125764096,3.86
2023-08-11,BK0473,证券,134100.79,-4.34,-9505419776,-13.42,-7048571136,-9.95,-2456848640,-3.47,3153402624,4.45,6352016896,8.96
2023-08-10,BK0473,证券,140179.69,2.56,998532608,1.49,2392020480,3.5700000000000003,-1393487872,-2.08,-1050512896,-1.57,51980032,0.08
2023-08-09,BK0473,证券,136686.22,-0.74,-4356219392,-8.41,-2751702784,-5.31,-1604516608,-3.1,809250304,1.56,3546968832,6.84
2023-08-08,BK0473,证券,137701.1,-2.09,-3537979904,-4.39,-1978575872,-2.45,-1559404032,-1.93,1287958272,1.6,2250021376,2.79
2023-08-07,BK0473,证券,140642.27,1.39,94638336,0.12,-434905856,-0.5700000000000001,529544192,0.6900000000000001,-1537398016,-2.01,1442759424,1.88
2023-08-04,BK0473,证券,138711.06,1.6800000000000002,-426989056,-0.31,1007727872,0.73,-1434716928,-1.04,1256624896,0.92,-829636096,-0.6000000000000001
2023-08-03,BK0473,证券,136422.99,3.69,4166479360,4.93,4690790144,5.54,-524310784,-0.62,-1941197056,-2.29,-2225282304,-2.63
2023-08-02,BK0473,证券,131571.3,1.04,-876678912,-1.42,-148629760,-0.24,-728049152,-1.18,175579136,0.29,701099520,1.14
2023-08-01,BK0473,证券,130215.35,0.33,-3260183808,-4.33,-2694991872,-3.58,-565191936,-0.75,677929984,0.9,2582253824,3.43
2023-07-31,BK0473,证券,129783.35,1.17,-1963046656,-2.33,-1651798272,-1.96,-311248384,-0.37,775685120,0.92,1187361792,1.41
2023-07-28,BK0473,证券,128280.53,7.27,12693759232,16.18,11232437760,14.32,1461321472,1.86,-4882507520,-6.22,-7811251968,-9.96
2023-07-27,BK0473,证券,119581.98,-1.08,-1649490864,-6.7,-1627218608,-6.61,-22272256,-0.09,528460544,2.15,1121030656,4.55
2023-07-26,BK0473,证券,120883.99,0.11,-1021518592,-3.01,-549224192,-1.62,-472294400,-1.39,-252190976,-0.74,1273709568,3.76
2023-07-24,BK0473,证券,114908.83,-0.18,-256076736,-3.52,-261866560,-3.59,5789824,0.08,72667984,1.0,183408736,2.52
2023-07-21,BK0473,证券,115118.86,0.33,52381088,0.65,144023104,1.78,-91642016,-1.14,-227786352,-2.8200000000000003,175405280,2.17
2023-07-20,BK0473,证券,114738.03,-0.84,-679307376,-6.39,-469507264,-4.42,-209800112,-1.97,156278960,1.47,523028416,4.92
2023-07-19,BK0473,证券,115704.93,0.8,256051088,2.5700000000000003,93401424,0.94,162649664,1.63,-184599616,-1.85,-71451456,-0.72
2023-07-17,BK0473,证券,114468.55,-0.37,-453206960,-5.9,-252666864,-3.29,-200540096,-2.61,-110703952,-1.44,563910912,7.34
2023-07-14,BK0473,证券,114888.6,-0.35000000000000003,-931537856,-9.62,-604994704,-6.25,-326543152,-3.37,281691664,2.91,649846192,6.71
