日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0737,软件开发,855.95,0.56,-1229595984,-3.01,-379788112,-0.93,-849807872,-2.08,148391936,0.36,1059114240,2.59
2023-09-04,BK0737,软件开发,861.67,1.34,-59917952,-0.14,-655800704,-1.5,595882752,1.36,520846592,1.19,-429601536,-0.98
2023-08-31,BK0737,软件开发,862.95,-0.46,-2373657232,-4.84,-1388506512,-2.83,-985150720,-2.01,488305152,1.0,1918877696,3.92
2023-08-29,BK0737,软件开发,843.3,4.68,-253732864,-0.43,-227604992,-0.38,-26127872,-0.04,-429771776,-0.73,686223872,1.16
2023-08-28,BK0737,软件开发,805.56,-0.39,-2650829824,-3.92,-1496629248,-2.22,-1154200576,-1.71,106701568,0.16,2537389568,3.76
2023-08-25,BK0737,软件开发,808.68,-4.18,-3790062256,-7.16,-1562294960,-2.95,-2227767296,-4.21,-360961536,-0.68,4102243328,7.75
2023-08-24,BK0737,软件开发,844.0,-1.03,-1494027264,-2.68,-619515648,-1.11,-874511616,-1.57,-668402176,-1.2,2100504320,3.76
2023-08-23,BK0737,软件开发,852.77,-2.39,-3640739456,-6.72,-2121538432,-3.92,-1519201024,-2.81,330251520,0.61,3266685696,6.03
2023-08-21,BK0737,软件开发,844.85,0.01,-135538816,-0.33,21794432,0.05,-157333248,-0.38,-273425152,-0.66,407153152,0.98
2023-08-18,BK0737,软件开发,844.78,-1.99,-2825050176,-6.18,-1500435008,-3.28,-1324615168,-2.9,490048256,1.07,2312742400,5.06
2023-08-16,BK0737,软件开发,854.03,-1.56,-2607913728,-5.05,-1478341120,-2.86,-1129572608,-2.19,485474304,0.94,2121183744,4.11
2023-08-15,BK0737,软件开发,867.54,-1.0,-1658230832,-3.82,-735367216,-1.69,-922863616,-2.13,136919296,0.32,1511356928,3.48
2023-08-14,BK0737,软件开发,876.26,2.1,546522672,1.17,490123568,1.05,56399104,0.12,-356244992,-0.76,-193454592,-0.41
2023-08-11,BK0737,软件开发,858.25,-2.6,-3124766352,-7.41,-1627407760,-3.86,-1497358592,-3.55,-41750528,-0.1,3131284224,7.43
2023-08-10,BK0737,软件开发,881.17,0.26,-1637968560,-3.68,-684132016,-1.54,-953836544,-2.15,52636160,0.12,1584105984,3.56
2023-08-09,BK0737,软件开发,878.88,-0.2,-1652134832,-3.77,-609896112,-1.39,-1042238720,-2.38,-173993728,-0.4,1812440576,4.14
2023-08-08,BK0737,软件开发,880.62,-0.99,-3120153888,-6.88,-1577468192,-3.48,-1542685696,-3.4,70782976,0.16,3027561984,6.68
2023-08-07,BK0737,软件开发,889.44,0.85,-1760002560,-3.2,-791806208,-1.44,-968196352,-1.76,-88404480,-0.16,1815726336,3.3
2023-08-04,BK0737,软件开发,881.97,2.81,1065248256,1.65,988553984,1.53,76694272,0.12,929792,0.0,-1026652672,-1.59
2023-08-03,BK0737,软件开发,857.86,0.11,-813075376,-2.07,-147117744,-0.37,-665957632,-1.7000000000000002,22786304,0.06,795786496,2.03
2023-08-02,BK0737,软件开发,856.92,0.62,230145232,0.58,693859280,1.75,-463714048,-1.17,-175797248,-0.44,-55380480,-0.14
2023-08-01,BK0737,软件开发,851.65,0.14,-999470592,-2.32,-719023104,-1.67,-280447488,-0.65,22656768,0.05,960800768,2.23
2023-07-31,BK0737,软件开发,850.45,0.5,-914738688,-1.97,-313871616,-0.67,-600867072,-1.29,471885312,1.01,440279552,0.95
2023-07-28,BK0737,软件开发,846.22,1.43,533388304,1.28,871030288,2.09,-337641984,-0.81,-727550464,-1.75,204277504,0.49
2023-07-27,BK0737,软件开发,834.32,-1.64,-1957101280,-6.37,-881429216,-2.87,-1075672064,-3.5,340006656,1.11,1607240704,5.23
2023-07-26,BK0737,软件开发,848.23,-1.62,-2601943776,-6.85,-1682868192,-4.43,-919075584,-2.42,496564480,1.31,2082641152,5.48
2023-07-24,BK0737,软件开发,844.37,0.54,-686692320,-2.27,-456471520,-1.51,-230220800,-0.76,153318656,0.51,531798272,1.76
2023-07-21,BK0737,软件开发,839.8,-1.46,-1760544576,-5.9,-656270912,-2.2,-1104273664,-3.7,-185133312,-0.62,1930188800,6.46
2023-07-20,BK0737,软件开发,852.23,-2.05,-3571526160,-8.55,-2533893904,-6.07,-1037632256,-2.48,124890624,0.30000000000000004,3444969472,8.25
2023-07-19,BK0737,软件开发,870.06,0.46,-194372864,-0.47,375238912,0.92,-569611776,-1.39,-363424768,-0.89,548132608,1.34
2023-07-17,BK0737,软件开发,879.59,0.26,-1733402016,-3.87,-893914272,-1.99,-839487744,-1.87,262222080,0.58,1462897152,3.26
2023-07-14,BK0737,软件开发,877.34,2.71,991965952,1.73,649443584,1.14,342522368,0.6000000000000001,-250983936,-0.44,-728102144,-1.27
2023-07-13,BK0737,软件开发,854.17,1.57,-467176192,-1.03,490700288,1.08,-957876480,-2.11,-550395904,-1.21,1016012032,2.24
2023-07-12,BK0737,软件开发,840.99,-2.5,-4664858112,-9.97,-2076401664,-4.44,-2588456448,-5.53,592256000,1.27,4033083648,8.62
2023-07-11,BK0737,软件开发,862.55,0.25,362621440,0.79,738445056,1.6,-375823616,-0.81,-618758656,-1.34,252621568,0.55
2023-07-10,BK0737,软件开发,860.4,-0.55,-2114764704,-5.64,-1677921440,-4.48,-436843264,-1.17,597347072,1.59,1503219968,4.01
2023-07-07,BK0737,软件开发,865.13,-1.61,-3527584256,-6.83,-2012083712,-3.89,-1515500544,-2.93,503011328,0.97,3005090304,5.82
2023-07-06,BK0737,软件开发,879.27,-0.2,770995456,1.67,1376068864,2.99,-605073408,-1.31,-782468864,-1.7000000000000002,5632768,0.01
2023-07-05,BK0737,软件开发,881.07,-0.88,-2062353920,-4.41,-1096937984,-2.35,-965415936,-2.06,-11934464,-0.03,2079461888,4.45
2023-07-04,BK0737,软件开发,888.85,0.95,-272825856,-0.58,394792704,0.84,-667618560,-1.43,-179943680,-0.38,439444480,0.94
2023-07-03,BK0737,软件开发,880.45,-0.06,-2096854528,-3.98,-1741115136,-3.31,-355739392,-0.68,906053632,1.72,1179528960,2.24
2023-06-30,BK0737,软件开发,880.97,0.42,-1327554816,-2.85,-1224729344,-2.63,-102825472,-0.22,170907392,0.37,1150935296,2.47
2023-06-29,BK0737,软件开发,877.27,1.52,-1965237248,-4.24,-696222208,-1.5,-1269015040,-2.74,278174976,0.6000000000000001,1682579456,3.63
2023-06-28,BK0737,软件开发,864.16,-2.42,-3533920768,-6.24,-1671200512,-2.95,-1862720256,-3.29,550693376,0.97,2975142144,5.25
2023-06-27,BK0737,软件开发,885.58,0.94,-435477760,-0.92,107368704,0.23,-542846464,-1.15,-378026496,-0.8,814223360,1.72
2023-06-26,BK0737,软件开发,877.32,-5.15,-6154579200,-9.52,-3642083072,-5.63,-2512496128,-3.89,264802048,0.41,5864620544,9.07
2023-06-21,BK0737,软件开发,924.92,-3.62,-6735214336,-9.05,-4598950912,-6.18,-2136263424,-2.87,1138286336,1.53,5583976704,7.5
2023-06-20,BK0737,软件开发,959.63,0.42,2479890944,2.73,2862954240,3.15,-383063296,-0.42,-1821618688,-2.0,-646491904,-0.71
2023-06-19,BK0737,软件开发,955.58,2.66,-544822016,-0.66,411112192,0.5,-955934208,-1.16,-216625408,-0.26,761170688,0.93
2023-06-16,BK0737,软件开发,930.78,2.16,2176800000,3.26,2589766144,3.87,-412966144,-0.62,-1040643072,-1.56,-1147762688,-1.72
