日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK0470,造纸印刷,8203.03,0.65,352388224,9.97,408117040,11.54,-55728816,-1.58,-215962064,-6.11,-137414000,-3.89
2023-08-11,BK0470,造纸印刷,8150.14,-1.71,-264011736,-8.06,-146635048,-4.48,-117376688,-3.58,64424912,1.97,195473696,5.97
2023-08-10,BK0470,造纸印刷,8291.92,0.96,-104418352,-2.85,4771840,0.13,-109190192,-2.98,-40496512,-1.1,144235184,3.93
2023-08-09,BK0470,造纸印刷,8213.28,-0.92,-383287440,-9.67,-230073408,-5.8,-153214032,-3.87,-8184080,-0.21,387691728,9.78
2023-08-08,BK0470,造纸印刷,8289.52,-0.31,-111413856,-2.54,-74659952,-1.7000000000000002,-36753904,-0.84,-56107472,-1.28,166481584,3.8
2023-08-07,BK0470,造纸印刷,8314.95,-1.05,-225426240,-4.27,-132360096,-2.51,-93066144,-1.76,-47836192,-0.91,271272864,5.14
2023-08-04,BK0470,造纸印刷,8403.16,-0.53,-138136864,-2.16,27561456,0.43,-165698320,-2.59,-71584320,-1.12,208062512,3.25
2023-08-03,BK0470,造纸印刷,8447.82,-0.28,-472396640,-7.11,-307104288,-4.62,-165292352,-2.49,118502960,1.78,351070368,5.28
2023-08-02,BK0470,造纸印刷,8471.31,-0.1,151721136,2.87,387192320,7.34,-235471184,-4.46,-105590256,-2.0,-49641904,-0.94
2023-08-01,BK0470,造纸印刷,8480.05,0.22,-222935808,-3.98,9111280,0.16,-232047088,-4.14,29297392,0.52,191502416,3.42
2023-07-31,BK0470,造纸印刷,8461.65,1.01,192485264,5.04,279639200,7.32,-87153936,-2.28,-68720896,-1.8,-123711264,-3.24
2023-07-28,BK0470,造纸印刷,8377.19,0.73,-243990880,-6.73,-42336784,-1.17,-201654096,-5.57,-73545728,-2.03,318480848,8.79
2023-07-27,BK0470,造纸印刷,8316.52,-0.88,-382584736,-9.31,-207927216,-5.06,-174657520,-4.25,21709968,0.53,361258848,8.79
2023-07-26,BK0470,造纸印刷,8390.27,0.64,-228399360,-3.8,-95644720,-1.59,-132754640,-2.21,-29624832,-0.49,256692336,4.27
2023-07-24,BK0470,造纸印刷,8258.11,0.48,513556624,13.15,530061360,13.57,-16504736,-0.42,-284159136,-7.28,-229998064,-5.89
2023-07-21,BK0470,造纸印刷,8218.98,0.6000000000000001,17125922,0.64,55594482,2.07,-38468560,-1.43,-87632096,-3.26,73079440,2.72
2023-07-20,BK0470,造纸印刷,8170.04,-1.22,-382394141,-11.03,-153248429,-4.42,-229145712,-6.61,22543856,0.65,358181152,10.33
2023-07-19,BK0470,造纸印刷,8271.35,0.77,-29512768,-0.7000000000000001,4248752,0.1,-33761520,-0.81,11356640,0.27,13878880,0.33
2023-07-17,BK0470,造纸印刷,8193.17,0.11,-202673852,-5.5600000000000005,-86698908,-2.38,-115974944,-3.18,-18045264,-0.5,219077056,6.01
2023-07-14,BK0470,造纸印刷,8183.88,0.16,-187976528,-4.6,-94096096,-2.3,-93880432,-2.3,-38755008,-0.95,229202624,5.61
2023-07-13,BK0470,造纸印刷,8170.79,0.94,-70336816,-1.41,-93605456,-1.88,23268640,0.47,-72680736,-1.46,143882976,2.89
2023-07-12,BK0470,造纸印刷,8094.99,-1.7000000000000002,-730681552,-15.1,-371849184,-7.69,-358832368,-7.42,-12129168,-0.25,739224128,15.28
2023-07-11,BK0470,造纸印刷,8234.85,0.06,-271248974,-7.95,-151794254,-4.45,-119454720,-3.5,-56120464,-1.65,322134800,9.44
2023-07-10,BK0470,造纸印刷,8229.91,-0.5700000000000001,-291941744,-7.19,-181538480,-4.47,-110403264,-2.72,17763184,0.44,273591584,6.74
2023-07-07,BK0470,造纸印刷,8276.79,-0.17,-331555296,-6.26,-218913760,-4.13,-112641536,-2.13,239120,0.0,331627136,6.26
2023-07-06,BK0470,造纸印刷,8291.21,0.6000000000000001,225038720,3.9,171232032,2.97,53806688,0.93,-81232192,-1.41,-139931680,-2.43
2023-07-05,BK0470,造纸印刷,8241.68,-0.27,-226566528,-4.91,-89692656,-1.94,-136873872,-2.97,-150670848,-3.26,379354048,8.22
2023-07-04,BK0470,造纸印刷,8264.38,0.01,-257407328,-4.21,-199284304,-3.26,-58123024,-0.95,31075264,0.51,226765616,3.71
2023-07-03,BK0470,造纸印刷,8263.66,1.06,54457040,0.95,142315056,2.48,-87858016,-1.53,-84377392,-1.47,24459600,0.43
2023-06-30,BK0470,造纸印刷,8176.71,1.63,100164416,1.79,112468160,2.01,-12303744,-0.22,-142120528,-2.54,33878704,0.61
2023-06-29,BK0470,造纸印刷,8045.82,0.8200000000000001,-213871584,-4.5,-66513488,-1.4,-147358096,-3.1,-31643920,-0.67,247216544,5.2
2023-06-28,BK0470,造纸印刷,7980.44,-0.39,-410200464,-6.87,-183769296,-3.08,-226431168,-3.79,27328544,0.46,385240000,6.45
2023-06-27,BK0470,造纸印刷,8011.52,1.93,-262596576,-5.14,-198568256,-3.88,-64028320,-1.25,57400912,1.12,199266480,3.9
2023-06-26,BK0470,造纸印刷,7859.84,-1.29,-385269744,-6.71,-242947488,-4.23,-142322256,-2.48,69392112,1.21,322223872,5.61
2023-06-21,BK0470,造纸印刷,7962.66,-0.25,12126800,0.16,5084304,0.07,7042496,0.09,-47405696,-0.63,35490352,0.47
2023-06-20,BK0470,造纸印刷,7983.0,-0.42,-227275440,-3.78,-222228736,-3.7,-5046704,-0.08,-5959136,-0.1,236808912,3.94
2023-06-19,BK0470,造纸印刷,8016.89,-0.23,-372143472,-6.02,-179937712,-2.91,-192205760,-3.11,7991664,0.13,360952944,5.84
2023-06-16,BK0470,造纸印刷,8035.45,0.04,96008064,1.87,100784384,1.96,-4776320,-0.09,-57412624,-1.12,-41275584,-0.8
