日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0479,钢铁行业,7347.89,1.14,-630065344,-5.76,-31724704,-0.29,-598340640,-5.47,-73072640,-0.67,703159392,6.42
2023-07-27,BK0479,钢铁行业,7265.23,1.31,-246747648,-2.07,-128978224,-1.08,-117769424,-0.99,114650320,0.96,131558864,1.11
2023-07-26,BK0479,钢铁行业,7171.1,2.01,197954928,2.89,179387008,2.62,18567920,0.27,-97828608,-1.43,-99376528,-1.45
2023-07-24,BK0479,钢铁行业,6874.05,-0.4,-120915583,-4.08,7747969,0.26,-128663552,-4.34,-25768400,-0.87,146905904,4.95
2023-07-21,BK0479,钢铁行业,6901.41,0.0,-116685504,-3.7,-43960064,-1.39,-72725440,-2.3,-22218336,-0.7000000000000001,138916240,4.4
2023-07-20,BK0479,钢铁行业,6901.44,-0.31,-81348272,-2.34,41883136,1.21,-123231408,-3.55,-32084960,-0.92,111326784,3.21
2023-07-19,BK0479,钢铁行业,6922.77,0.07,-146254486,-5.27,-71697942,-2.58,-74556544,-2.68,36999200,1.33,103616432,3.73
2023-07-17,BK0479,钢铁行业,6917.57,-0.79,-368298092,-10.47,-238184780,-6.77,-130113312,-3.7,97763328,2.78,270428048,7.68
2023-07-14,BK0479,钢铁行业,6972.56,-0.17,-184607760,-6.03,-62976432,-2.06,-121631328,-3.97,27545120,0.9,157095712,5.13
2023-07-13,BK0479,钢铁行业,6984.3,0.81,-223292944,-6.15,-99672400,-2.75,-123620544,-3.41,-62519984,-1.72,285713472,7.87
2023-07-12,BK0479,钢铁行业,6928.15,-0.84,-138865838,-4.41,-81644750,-2.59,-57221088,-1.82,-5534704,-0.18,144049920,4.58
2023-07-11,BK0479,钢铁行业,6986.59,0.47,-163602880,-5.57,-29689696,-1.01,-133913184,-4.5600000000000005,-11668704,-0.4,175009472,5.96
2023-07-10,BK0479,钢铁行业,6953.89,-0.07,-68163136,-2.24,-30586544,-1.01,-37576592,-1.24,-794128,-0.03,68802896,2.27
2023-07-07,BK0479,钢铁行业,6958.88,0.17,-76500320,-2.25,-45595296,-1.34,-30905024,-0.91,-15601680,-0.46,91961536,2.71
2023-07-06,BK0479,钢铁行业,6947.16,-0.98,-395084976,-9.54,-274040112,-6.61,-121044864,-2.92,60013920,1.45,335006016,8.09
2023-07-05,BK0479,钢铁行业,7016.18,0.76,316930672,5.32,132654512,2.23,184276160,3.09,-89330192,-1.5,-227693424,-3.82
2023-07-04,BK0479,钢铁行业,6963.02,-0.25,-113298688,-2.63,-103083600,-2.39,-10215088,-0.24,16129728,0.37,97216032,2.26
2023-07-03,BK0479,钢铁行业,6980.6,1.41,128200320,2.55,132356960,2.63,-4156640,-0.08,-95516448,-1.9,-32565184,-0.65
2023-06-30,BK0479,钢铁行业,6883.43,1.18,69058720,1.91,99022640,2.73,-29963920,-0.8300000000000001,-68525648,-1.89,-417168,-0.01
2023-06-29,BK0479,钢铁行业,6803.44,-0.34,-156034346,-5.38,-121056970,-4.17,-34977376,-1.21,76495584,2.64,79815600,2.75
2023-06-28,BK0479,钢铁行业,6826.73,0.28,-167701888,-5.0,-122740240,-3.66,-44961648,-1.34,50035552,1.49,117671936,3.51
2023-06-27,BK0479,钢铁行业,6807.97,2.33,7241904,0.18,22069504,0.55,-14827600,-0.37,-23709520,-0.59,16376608,0.41
2023-06-26,BK0479,钢铁行业,6652.74,-1.33,-210886912,-5.42,-182464464,-4.69,-28422448,-0.73,-63326240,-1.63,274026016,7.04
2023-06-21,BK0479,钢铁行业,6742.36,-0.54,-132299600,-3.6,-36309856,-0.99,-95989744,-2.61,21867792,0.6000000000000001,110471072,3.01
2023-06-20,BK0479,钢铁行业,6779.2,-0.93,-174276800,-4.6,-104874368,-2.77,-69402432,-1.83,36607232,0.97,137367648,3.63
2023-06-19,BK0479,钢铁行业,6842.89,-1.27,-273369072,-7.37,-211042912,-5.69,-62326160,-1.6800000000000002,68929456,1.86,204013312,5.5
2023-06-16,BK0479,钢铁行业,6931.06,0.45,10843552,0.27,20517168,0.5,-9673616,-0.24,21517408,0.53,-32477952,-0.8
