日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-13,BK0475,银行,2838.96,1.33,10946112,0.08,301838368,2.19,-290892256,-2.11,-344680576,-2.5,333734464,2.42
2023-07-12,BK0475,银行,2801.72,0.04,121766912,1.0,167173776,1.37,-45406864,-0.37,-5353072,-0.04,-116413840,-0.95
2023-07-11,BK0475,银行,2800.55,0.61,-212791312,-2.31,123866864,1.34,-336658176,-3.65,-115884848,-1.26,328676160,3.5700000000000003
2023-07-10,BK0475,银行,2783.51,-0.01,-432848960,-5.61,-167370624,-2.17,-265478336,-3.44,278537280,3.61,154311696,2.0
2023-07-07,BK0475,银行,2783.84,0.38,-307565712,-3.4,-103183504,-1.14,-204382208,-2.26,111800592,1.24,195765152,2.16
2023-07-06,BK0475,银行,2773.39,-0.77,-482521488,-4.39,-259792272,-2.36,-222729216,-2.03,1550080,0.01,480971392,4.38
2023-07-05,BK0475,银行,2794.98,-0.23,-434722688,-5.02,-132633616,-1.53,-302089072,-3.49,77837104,0.9,356885584,4.12
2023-07-04,BK0475,银行,2801.53,-0.77,-686704640,-6.48,-443773328,-4.19,-242931312,-2.29,166621728,1.57,520082928,4.9
2023-07-03,BK0475,银行,2823.17,1.45,882753184,6.46,874295680,6.4,8457504,0.06,-261220672,-1.91,-621532528,-4.55
2023-06-30,BK0475,银行,2782.76,0.91,609052720,6.21,632081552,6.44,-23028832,-0.23,-581138464,-5.92,-27914272,-0.28
2023-06-29,BK0475,银行,2757.58,-0.43,-121374688,-1.38,-85427648,-0.97,-35947040,-0.41,-146490288,-1.67,267864960,3.05
2023-06-28,BK0475,银行,2769.53,0.1,-165627296,-1.72,-227817520,-2.37,62190224,0.65,110602928,1.15,55024368,0.5700000000000001
2023-06-27,BK0475,银行,2766.79,1.04,931616688,8.31,965152960,8.61,-33536272,-0.30000000000000004,-436698928,-3.9,-494917792,-4.42
2023-06-26,BK0475,银行,2738.44,-1.24,-714021376,-5.28,-550803664,-4.07,-163217712,-1.21,297518128,2.2,416503248,3.08
2023-06-21,BK0475,银行,2772.76,-0.29,563668912,4.58,334814592,2.72,228854320,1.86,-93157984,-0.76,-470510896,-3.83
2023-06-20,BK0475,银行,2780.72,-0.63,-456542800,-4.27,-360978336,-3.37,-95564464,-0.89,149221728,1.39,307321088,2.87
2023-06-19,BK0475,银行,2798.26,-1.1,-1194313248,-8.24,-788482176,-5.44,-405831072,-2.8,693800976,4.78,500512208,3.45
2023-06-16,BK0475,银行,2829.47,-0.49,-575960048,-4.28,-516851520,-3.84,-59108528,-0.44,397948256,2.96,178011792,1.32
