日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK1032,风电设备,1171.65,-0.41,-145322063,-6.05,-58034863,-2.42,-87287200,-3.63,-53824944,-2.24,199146992,8.29
2023-08-03,BK1032,风电设备,1176.49,0.76,-41699885,-1.62,-41098493,-1.6,-601392,-0.02,27474512,1.07,14225376,0.55
2023-08-02,BK1032,风电设备,1167.59,-0.77,-155856663,-7.73,-96241255,-4.77,-59615408,-2.96,-3787840,-0.19,159644528,7.91
2023-08-01,BK1032,风电设备,1176.64,-0.32,-149727775,-6.22,-83021503,-3.45,-66706272,-2.77,7365040,0.31,142362720,5.91
2023-07-31,BK1032,风电设备,1180.48,0.84,-29331933,-0.84,-14286493,-0.41,-15045440,-0.43,-17794160,-0.51,47126080,1.35
2023-07-28,BK1032,风电设备,1170.63,0.6000000000000001,28451648,0.84,-7434432,-0.22,35886080,1.06,-34344960,-1.01,5893296,0.17
2023-07-27,BK1032,风电设备,1163.6,0.45,106508171,2.74,61115659,1.58,45392512,1.17,22279056,0.5700000000000001,-128787216,-3.32
2023-07-26,BK1032,风电设备,1158.43,-0.47,-75165135,-3.14,-58142575,-2.43,-17022560,-0.71,79016752,3.3,-3851600,-0.16
2023-07-24,BK1032,风电设备,1140.97,-1.13,-143566429,-7.0,-72035757,-3.51,-71530672,-3.49,-19243616,-0.94,162810064,7.94
2023-07-21,BK1032,风电设备,1153.98,-0.9,-158682242,-6.73,-102753522,-4.36,-55928720,-2.37,13832112,0.59,144850128,6.14
2023-07-20,BK1032,风电设备,1164.48,-0.47,85496716,3.37,37676156,1.48,47820560,1.88,-18850512,-0.74,-66646208,-2.62
2023-07-19,BK1032,风电设备,1169.98,-1.05,-131833087,-5.12,-101354191,-3.94,-30478896,-1.18,-63061152,-2.45,194894224,7.57
2023-07-17,BK1032,风电设备,1176.65,-0.34,-74409724,-3.07,-39306140,-1.62,-35103584,-1.45,52516528,2.17,21893200,0.9
2023-07-14,BK1032,风电设备,1180.7,-1.53,-190434805,-5.43,-103587829,-2.95,-86846976,-2.48,36976384,1.05,153458416,4.38
2023-07-13,BK1032,风电设备,1199.06,1.36,90272086,2.42,80158022,2.15,10114064,0.27,25170752,0.67,-115442848,-3.09
2023-07-12,BK1032,风电设备,1182.96,-0.75,-3987491,-0.13,38216413,1.28,-42203904,-1.41,-30086544,-1.01,34074048,1.14
2023-07-11,BK1032,风电设备,1191.9,0.59,-153320145,-6.05,-9832433,-0.39,-143487712,-5.66,78917904,3.11,74402240,2.93
2023-07-10,BK1032,风电设备,1184.94,0.92,99426280,3.33,61521832,2.06,37904448,1.27,38539824,1.29,-137966112,-4.63
2023-07-07,BK1032,风电设备,1174.19,-1.84,-254682460,-7.83,-109490124,-3.37,-145192336,-4.47,57162544,1.76,197519920,6.08
2023-07-06,BK1032,风电设备,1196.15,-0.84,-45631260,-1.25,-6918172,-0.19,-38713088,-1.06,-61481200,-1.6800000000000002,107112464,2.93
2023-07-05,BK1032,风电设备,1206.23,-1.93,-235245031,-6.34,-109463863,-2.95,-125781168,-3.39,-39233152,-1.06,274478160,7.4
2023-07-04,BK1032,风电设备,1229.99,-0.81,-280578352,-5.21,-10561952,-0.2,-270016400,-5.01,31683872,0.59,248894480,4.62
2023-07-03,BK1032,风电设备,1240.09,2.98,548946800,8.42,384180960,5.9,164765840,2.53,-312600608,-4.8,-236346176,-3.63
2023-06-30,BK1032,风电设备,1204.26,1.36,-31633182,-0.97,-35994334,-1.11,4361152,0.13,-78308256,-2.41,109941440,3.38
2023-06-29,BK1032,风电设备,1188.14,0.14,-98338564,-3.52,-25510132,-0.91,-72828432,-2.61,15369136,0.55,82969440,2.97
2023-06-28,BK1032,风电设备,1186.5,-0.21,-149565254,-6.54,-33029734,-1.44,-116535520,-5.1,1625664,0.07,147939584,6.47
2023-06-27,BK1032,风电设备,1188.96,1.28,-69973285,-2.21,3336699,0.11,-73309984,-2.32,6765344,0.21,63207968,2.0
2023-06-26,BK1032,风电设备,1173.98,-2.5,-241861845,-5.4,-26481957,-0.59,-215379888,-4.8100000000000005,-93979664,-2.1,335841536,7.5
2023-06-21,BK1032,风电设备,1204.13,-1.9,-237081953,-7.7,-108701073,-3.53,-128380880,-4.17,-986432,-0.03,238068384,7.73
2023-06-20,BK1032,风电设备,1227.45,-0.51,-130497280,-4.68,-77864928,-2.8,-52632352,-1.89,-35283136,-1.27,165780432,5.95
2023-06-19,BK1032,风电设备,1233.74,-0.11,-212970235,-6.4,-70486203,-2.12,-142484032,-4.28,-82060240,-2.46,295030496,8.86
2023-06-16,BK1032,风电设备,1235.04,1.39,-193611988,-4.45,-58112484,-1.34,-135499504,-3.11,-116238176,-2.67,309850160,7.12
