日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0438,食品饮料,24706.14,1.31,181436960,1.29,252049552,1.79,-70612592,-0.5,-407849216,-2.9,228505600,1.62
2023-07-27,BK0438,食品饮料,24387.63,-0.64,-188981664,-1.66,-27706288,-0.24,-161275376,-1.42,-185812720,-1.63,372922992,3.27
2023-07-26,BK0438,食品饮料,24543.7,0.53,-256411728,-2.21,-52938704,-0.46,-203473024,-1.75,-91040000,-0.78,348137472,3.0
2023-07-24,BK0438,食品饮料,24188.4,-0.8,-608618960,-5.2,-222095872,-1.9,-386523088,-3.3,115257824,0.98,489736960,4.18
2023-07-21,BK0438,食品饮料,24384.35,2.18,527574400,3.52,286507328,1.91,241067072,1.61,73882112,0.49,-597913344,-3.99
2023-07-20,BK0438,食品饮料,23863.69,0.2,-148472592,-1.54,-100779072,-1.04,-47693520,-0.49,-5537504,-0.06,150603472,1.56
2023-07-19,BK0438,食品饮料,23815.16,0.05,-341924816,-4.31,-152303824,-1.92,-189620992,-2.39,-42735680,-0.54,382707712,4.83
2023-07-17,BK0438,食品饮料,23814.71,-0.34,-739535984,-7.98,-290247552,-3.13,-449288432,-4.85,30944944,0.33,707862768,7.64
2023-07-14,BK0438,食品饮料,23896.64,-0.63,-728244208,-6.97,-383178208,-3.67,-345066000,-3.3,270989408,2.59,456533472,4.37
2023-07-13,BK0438,食品饮料,24048.07,1.02,43752224,0.45,-9662048,-0.1,53414272,0.55,-200828160,-2.05,159048208,1.62
2023-07-12,BK0438,食品饮料,23806.31,-0.8,-172386528,-2.05,-77741760,-0.92,-94644768,-1.12,-48642944,-0.58,216942368,2.58
2023-07-11,BK0438,食品饮料,23997.26,0.32,-126445184,-1.66,-38113632,-0.5,-88331552,-1.16,-126100288,-1.66,253113344,3.33
2023-07-10,BK0438,食品饮料,23919.9,0.30000000000000004,-355658848,-4.13,40566224,0.47,-396225072,-4.6,513728,0.01,355478160,4.13
2023-07-07,BK0438,食品饮料,23848.07,0.01,-109242528,-1.41,-54410048,-0.7000000000000001,-54832480,-0.71,13802304,0.18,95024688,1.22
2023-07-06,BK0438,食品饮料,23844.9,-0.25,-248736320,-2.85,-158290448,-1.82,-90445872,-1.04,17379632,0.2,230954432,2.65
2023-07-05,BK0438,食品饮料,23904.44,-1.18,-638934768,-6.75,-351502176,-3.71,-287432592,-3.04,15398912,0.16,621086464,6.5600000000000005
2023-07-04,BK0438,食品饮料,24189.53,-0.09,-425935184,-3.67,-266428624,-2.3,-159506560,-1.38,53462224,0.46,372270448,3.21
2023-07-03,BK0438,食品饮料,24211.94,1.3,215239264,1.77,120059424,0.99,95179840,0.78,-43648768,-0.36,-171618816,-1.41
2023-06-30,BK0438,食品饮料,23900.3,1.08,-286118816,-2.81,25144080,0.25,-311262896,-3.06,80772704,0.79,206739344,2.03
2023-06-29,BK0438,食品饮料,23645.6,-0.17,-123336880,-1.48,-51943280,-0.62,-71393600,-0.85,-58303696,-0.7000000000000001,180602752,2.16
2023-06-28,BK0438,食品饮料,23685.5,0.65,-167841136,-2.0,22990816,0.27,-190831952,-2.27,-29307856,-0.35000000000000003,195537376,2.33
2023-06-27,BK0438,食品饮料,23533.02,1.37,-31939072,-0.42,-23109776,-0.30000000000000004,-8829296,-0.12,-58132848,-0.76,87814608,1.15
2023-06-26,BK0438,食品饮料,23215.16,-1.86,-456923680,-5.15,-259391136,-2.92,-197532544,-2.22,-86065296,-0.97,543293168,6.12
2023-06-21,BK0438,食品饮料,23655.4,-0.89,-295147424,-3.7,-216716800,-2.72,-78430624,-0.98,110026368,1.38,184483120,2.31
2023-06-20,BK0438,食品饮料,23866.85,-1.14,-558419888,-6.32,-336641200,-3.81,-221778688,-2.51,150446096,1.7000000000000002,406337760,4.6
2023-06-19,BK0438,食品饮料,24142.92,-1.09,-722157904,-7.12,-297460816,-2.93,-424697088,-4.19,113535152,1.12,607530768,5.99
2023-06-16,BK0438,食品饮料,24410.07,-0.31,-336671024,-3.17,-140010064,-1.32,-196660960,-1.85,4996608,0.05,332451472,3.13
