日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-10,BK0713,2025规划,833.87,0.16,-854927552,-3.41,-651873472,-2.6,-203054080,-0.81,-22088448,-0.09,877016064,3.5
2023-08-09,BK0713,2025规划,832.5,-0.97,-2508387856,-8.43,-1536194064,-5.16,-972193792,-3.27,141970176,0.48,2366417664,7.95
2023-08-08,BK0713,2025规划,840.65,-0.8,-2887453920,-8.44,-1705361888,-4.98,-1182092032,-3.45,-18254336,-0.05,2905708288,8.49
2023-08-07,BK0713,2025规划,847.45,-0.56,-2755895040,-6.7,-2022456064,-4.92,-733438976,-1.78,128152064,0.31,2627743232,6.39
2023-08-04,BK0713,2025规划,852.2,0.74,617230336,1.56,627786496,1.58,-10556160,-0.03,-762075904,-1.92,144845824,0.37
2023-08-03,BK0713,2025规划,845.91,-0.05,-715734880,-2.49,-191269728,-0.67,-524465152,-1.82,-44562432,-0.15,760296960,2.64
2023-08-02,BK0713,2025规划,846.35,0.02,-1204684592,-4.37,-398485296,-1.44,-806199296,-2.92,6338560,0.02,1198345728,4.34
2023-08-01,BK0713,2025规划,846.17,-0.26,-281105664,-0.78,399806208,1.1,-680911872,-1.88,-545931520,-1.51,827037440,2.28
2023-07-31,BK0713,2025规划,848.4,0.86,-119708160,-0.29,80404224,0.19,-200112384,-0.49,-510875648,-1.24,630583808,1.53
2023-07-28,BK0713,2025规划,841.2,0.85,293857024,0.84,1171489536,3.35,-877632512,-2.51,-313756160,-0.9,19899136,0.06
2023-07-27,BK0713,2025规划,834.15,-0.42,-621010880,-2.13,119084608,0.41,-740095488,-2.54,-423220992,-1.45,1044231936,3.59
2023-07-26,BK0713,2025规划,837.63,-1.44,-2802562656,-9.7,-1718176096,-5.95,-1084386560,-3.75,781536768,2.71,2021025792,7.0
