日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK0619,3D打印,4459.13,0.01,-200767216,-1.16,404422464,2.33,-605189680,-3.48,-131552000,-0.76,332319232,1.91
2023-07-05,BK0619,3D打印,4458.55,0.06,-384601072,-2.15,126450192,0.71,-511051264,-2.85,-138251520,-0.77,522852608,2.92
2023-07-04,BK0619,3D打印,4455.8,0.9,-409560560,-2.88,-190412752,-1.34,-219147808,-1.54,16445696,0.12,393114896,2.77
2023-07-03,BK0619,3D打印,4415.88,-0.15,-546416576,-3.22,-192796192,-1.14,-353620384,-2.08,-69228032,-0.41,615644672,3.63
2023-06-30,BK0619,3D打印,4422.44,1.11,235220000,1.36,295421216,1.71,-60201216,-0.35000000000000003,-156351232,-0.9,-78868736,-0.46
2023-06-29,BK0619,3D打印,4373.74,1.73,-242084864,-1.44,124913440,0.74,-366998304,-2.19,-87691008,-0.52,329776128,1.97
2023-06-28,BK0619,3D打印,4299.23,-0.35000000000000003,-663401968,-4.06,-226752752,-1.39,-436649216,-2.67,38517504,0.24,624884480,3.82
2023-06-27,BK0619,3D打印,4314.17,2.36,246285632,1.83,200942128,1.49,45343504,0.34,-184019712,-1.37,-62265936,-0.46
2023-06-26,BK0619,3D打印,4214.67,-1.67,-1138990656,-6.8100000000000005,-608609024,-3.64,-530381632,-3.17,119150848,0.71,1019839776,6.1
2023-06-21,BK0619,3D打印,4286.08,-0.96,-1528847136,-8.33,-929022496,-5.06,-599824640,-3.27,328605440,1.79,1200241440,6.54
2023-06-20,BK0619,3D打印,4327.72,1.01,-282725728,-1.51,-74410592,-0.4,-208315136,-1.11,148469248,0.79,134256384,0.72
2023-06-19,BK0619,3D打印,4284.59,0.39,-247287968,-1.42,1836640,0.01,-249124608,-1.43,146307840,0.84,100979712,0.58
2023-06-16,BK0619,3D打印,4268.13,0.75,-147034816,-0.89,-84986048,-0.52,-62048768,-0.38,-89440000,-0.54,236474640,1.43
