日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-10,BK0901,3D摄像头,1069.19,-0.88,-241185520,-4.39,-69120384,-1.26,-172065136,-3.13,144814944,2.64,96370560,1.75
2023-07-07,BK0901,3D摄像头,1078.71,-2.23,-51452384,-0.84,-48142272,-0.79,-3310112,-0.05,-46862704,-0.76,98315104,1.6
2023-07-06,BK0901,3D摄像头,1103.31,1.72,50611728,0.67,222374256,2.93,-171762528,-2.26,-64663840,-0.85,14052112,0.19
2023-07-05,BK0901,3D摄像头,1084.7,-0.8200000000000001,-240175552,-4.02,-303808704,-5.09,63633152,1.07,95515600,1.6,144659952,2.42
2023-07-04,BK0901,3D摄像头,1093.62,3.02,482960400,5.47,612408496,6.93,-129448096,-1.47,-244150336,-2.76,-238810064,-2.7
2023-07-03,BK0901,3D摄像头,1061.53,0.0,515550336,5.27,483455760,4.94,32094576,0.33,-313440976,-3.2,-202109360,-2.06
2023-06-30,BK0901,3D摄像头,1061.58,0.98,108513168,1.74,160946448,2.59,-52433280,-0.84,-45693984,-0.73,-62819168,-1.01
2023-06-29,BK0901,3D摄像头,1051.3,2.19,727138624,10.46,585410208,8.42,141728416,2.04,-373350640,-5.37,-353787984,-5.09
2023-06-28,BK0901,3D摄像头,1028.81,-2.55,-290535968,-5.34,-191867520,-3.53,-98668448,-1.81,45274896,0.8300000000000001,245261072,4.51
2023-06-27,BK0901,3D摄像头,1055.75,1.28,496848064,8.57,276445328,4.77,220402736,3.8,-146410880,-2.53,-350437200,-6.05
2023-06-26,BK0901,3D摄像头,1042.41,-2.72,52872096,0.95,84370768,1.51,-31498672,-0.56,-80596704,-1.44,27724624,0.5
2023-06-21,BK0901,3D摄像头,1071.53,-3.22,-425779360,-6.18,-173643616,-2.52,-252135744,-3.66,33351472,0.48,392427872,5.7
2023-06-20,BK0901,3D摄像头,1107.15,2.42,784931312,7.06,375531712,3.38,409399600,3.68,-412048352,-3.7,-372882960,-3.35
2023-06-19,BK0901,3D摄像头,1080.94,1.63,72975680,1.1,133561168,2.02,-60585488,-0.92,-19493616,-0.29,-53482080,-0.81
2023-06-16,BK0901,3D摄像头,1063.59,1.16,423031136,6.22,424311168,6.24,-1280032,-0.02,-212968784,-3.13,-210062352,-3.09
