日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK0881,3D玻璃,1102.04,1.44,494712752,4.18,693839424,5.86,-199126672,-1.6800000000000002,-375190400,-3.17,-119522336,-1.01
2023-07-05,BK0881,3D玻璃,1086.36,-0.9,-165636240,-1.51,197526048,1.8,-363162288,-3.31,-110561536,-1.01,276197792,2.51
2023-07-04,BK0881,3D玻璃,1096.18,1.27,236128528,2.84,190682256,2.29,45446272,0.55,-32650656,-0.39,-203477856,-2.45
2023-07-03,BK0881,3D玻璃,1082.45,0.73,-374294608,-4.13,-318727440,-3.52,-55567168,-0.61,-15314496,-0.17,389609136,4.3
2023-06-30,BK0881,3D玻璃,1074.64,3.39,674831392,7.36,749372528,8.17,-74541136,-0.81,-372518000,-4.06,-302313376,-3.3
2023-06-29,BK0881,3D玻璃,1039.38,2.37,82590496,1.44,186890864,3.26,-104300368,-1.82,-22348768,-0.39,-60241696,-1.05
2023-06-28,BK0881,3D玻璃,1015.27,-1.04,-307288800,-5.5,-132221136,-2.37,-175067664,-3.14,-15923472,-0.29,323212256,5.79
2023-06-27,BK0881,3D玻璃,1025.93,1.85,-13733696,-0.27,19641616,0.39,-33375312,-0.67,16807520,0.34,-3073824,-0.06
2023-06-26,BK0881,3D玻璃,1007.27,-0.99,-373816656,-5.6,-302768960,-4.53,-71047696,-1.06,-96979408,-1.45,470796080,7.05
2023-06-21,BK0881,3D玻璃,1017.3,-1.83,-934499104,-11.94,-798842864,-10.2,-135656240,-1.73,203427184,2.6,731071904,9.34
2023-06-20,BK0881,3D玻璃,1036.3,-0.23,-524260288,-6.14,-459153680,-5.37,-65106608,-0.76,202561952,2.37,321698336,3.77
2023-06-19,BK0881,3D玻璃,1038.73,0.5,-187720320,-2.16,-60572176,-0.7000000000000001,-127148144,-1.46,187613648,2.16,106688,0.0
2023-06-16,BK0881,3D玻璃,1033.59,1.16,161713232,1.95,156484032,1.88,5229200,0.06,-191208688,-2.3,29495456,0.36
