日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0964,6G概念,1004.3,2.27,-7759040,-0.09,9847376,0.11,-17606416,-0.2,-5376400,-0.06,12980320,0.15
2023-09-04,BK0964,6G概念,977.13,2.38,87070864,1.58,79315568,1.44,7755296,0.14,45793984,0.8300000000000001,-132458352,-2.41
2023-08-31,BK0964,6G概念,958.68,-0.51,-327025504,-5.73,-95828352,-1.6800000000000002,-231197152,-4.05,118649344,2.08,207899904,3.64
2023-08-29,BK0964,6G概念,934.59,3.2,143879888,2.55,139694896,2.48,4184992,0.07,-108209968,-1.92,-36260208,-0.64
2023-08-28,BK0964,6G概念,905.61,0.73,-87177408,-1.71,137634896,2.7,-224812304,-4.41,8872320,0.17,77619296,1.52
2023-08-25,BK0964,6G概念,899.07,-3.22,-449391672,-10.08,-204463256,-4.58,-244928416,-5.49,21292832,0.48,427586048,9.59
2023-08-24,BK0964,6G概念,929.01,-0.2,107206032,2.71,84909904,2.15,22296128,0.56,-141312928,-3.58,33869952,0.86
2023-08-23,BK0964,6G概念,930.84,-2.72,-350791059,-9.19,-285000355,-7.47,-65790704,-1.72,88547664,2.32,261900528,6.86
2023-08-21,BK0964,6G概念,942.36,-0.08,4556208,0.13,21131024,0.62,-16574816,-0.49,-9246416,-0.27,4127808,0.12
2023-08-18,BK0964,6G概念,943.08,-2.15,-600425040,-12.87,-260531936,-5.58,-339893104,-7.29,160497440,3.44,439270768,9.42
2023-08-16,BK0964,6G概念,947.36,-1.8,-182682368,-4.67,-59272016,-1.52,-123410352,-3.16,-709264,-0.02,183286512,4.69
2023-08-15,BK0964,6G概念,964.72,-1.25,-173479904,-4.69,-101701344,-2.75,-71778560,-1.94,-35693200,-0.97,209109104,5.65
2023-08-14,BK0964,6G概念,976.91,0.63,-13655072,-0.33,-3653152,-0.09,-10001920,-0.25,-19298848,-0.47,33228096,0.81
2023-08-11,BK0964,6G概念,970.81,-1.97,-476748160,-12.6,-164495552,-4.35,-312252608,-8.26,-1982960,-0.05,478657904,12.65
2023-08-10,BK0964,6G概念,990.27,-0.05,-31592000,-0.84,-117495312,-3.13,85903312,2.29,-56591920,-1.51,89164496,2.37
2023-08-09,BK0964,6G概念,990.73,-1.64,-767666304,-14.27,-333605232,-6.2,-434061072,-8.07,127296112,2.37,639252336,11.89
2023-08-08,BK0964,6G概念,1007.29,-0.65,-598938800,-7.6,-107939632,-1.37,-490999168,-6.23,-216063776,-2.74,814298480,10.33
2023-08-07,BK0964,6G概念,1013.85,-0.9,-1820803168,-14.36,-1447088016,-11.41,-373715152,-2.95,416096608,3.28,1404446208,11.07
2023-08-04,BK0964,6G概念,1023.02,1.46,414988800,6.47,231088880,3.6,183899920,2.87,-204928336,-3.19,-209608912,-3.27
2023-08-03,BK0964,6G概念,1008.34,-0.47,-224165312,-4.85,-105992528,-2.29,-118172784,-2.55,-99308304,-2.15,322801904,6.98
2023-08-02,BK0964,6G概念,1013.12,0.1,-216707936,-3.37,-176429376,-2.74,-40278560,-0.63,-73428992,-1.14,290153248,4.51
2023-08-01,BK0964,6G概念,1012.13,0.01,105445584,1.65,170677024,2.67,-65231440,-1.02,-67652464,-1.06,-37339040,-0.58
2023-07-31,BK0964,6G概念,1012.06,0.5,-208482672,-3.84,-128729888,-2.37,-79752784,-1.47,-35945552,-0.66,244204800,4.49
2023-07-28,BK0964,6G概念,1006.99,0.66,19193040,0.41,112610720,2.4,-93417680,-1.99,-11193936,-0.24,-8327984,-0.18
2023-07-27,BK0964,6G概念,1000.38,-0.72,-208382144,-4.58,-147266880,-3.23,-61115264,-1.34,-61804368,-1.36,269542432,5.92
2023-07-26,BK0964,6G概念,1007.68,-1.42,-482111232,-7.56,-86061648,-1.35,-396049584,-6.21,51320128,0.8,430668096,6.75
2023-07-24,BK0964,6G概念,1014.24,0.31,187857776,3.33,157431616,2.79,30426160,0.54,-37154752,-0.66,-151036048,-2.67
2023-07-21,BK0964,6G概念,1011.14,-0.27,-265181296,-5.17,-159394640,-3.11,-105786656,-2.06,-90878864,-1.77,355313360,6.92
