日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-14,BK1111,AIGC概念,1571.14,3.16,1943375392,6.5,1578443296,5.28,364932096,1.22,-805955328,-2.69,-1137420032,-3.8
2023-08-11,BK1111,AIGC概念,1523.04,-2.22,-1313749616,-5.68,-812419440,-3.51,-501330176,-2.17,67855360,0.29,1245894400,5.38
2023-08-10,BK1111,AIGC概念,1557.54,0.09,-984345376,-4.57,-214764064,-1.0,-769581312,-3.5700000000000003,-143819264,-0.67,1128164864,5.24
2023-08-09,BK1111,AIGC概念,1556.16,-2.46,-3300671088,-11.86,-1643409264,-5.9,-1657261824,-5.95,247522560,0.89,3053148416,10.97
2023-08-08,BK1111,AIGC概念,1595.33,-0.14,-1369862832,-4.77,-701260976,-2.44,-668601856,-2.33,-74027776,-0.26,1443890432,5.03
2023-08-07,BK1111,AIGC概念,1597.6,0.6000000000000001,-1212887296,-3.43,-680465920,-1.92,-532421376,-1.5,-8785152,-0.02,1221672192,3.45
2023-08-04,BK1111,AIGC概念,1588.06,2.44,1850949632,4.91,1450729728,3.85,400219904,1.06,-732912384,-1.94,-1118037248,-2.97
2023-08-03,BK1111,AIGC概念,1550.25,-0.53,-1575052368,-5.99,-831169104,-3.16,-743883264,-2.83,347950592,1.32,1227101696,4.67
2023-08-02,BK1111,AIGC概念,1558.55,0.41,239157696,0.97,673626560,2.73,-434468864,-1.76,-433807104,-1.76,194649600,0.79
2023-08-01,BK1111,AIGC概念,1552.17,-0.88,-776225744,-2.61,-256500432,-0.86,-519725312,-1.75,-348276992,-1.17,1124502784,3.78
2023-07-31,BK1111,AIGC概念,1565.95,1.19,-477608880,-1.59,-62053296,-0.21,-415555584,-1.39,-75717632,-0.25,553326592,1.85
2023-07-28,BK1111,AIGC概念,1547.49,-0.44,-799413856,-3.07,315413152,1.21,-1114827008,-4.29,-573769728,-2.21,1373183744,5.28
2023-07-27,BK1111,AIGC概念,1554.28,-1.29,-2051525888,-8.06,-613230592,-2.41,-1438295296,-5.65,118398464,0.47,1933126912,7.6
2023-07-26,BK1111,AIGC概念,1574.53,-2.4,-3486224592,-11.17,-1981749200,-6.35,-1504475392,-4.82,662207488,2.12,2824016896,9.05
2023-07-24,BK1111,AIGC概念,1574.54,1.62,809838080,2.59,1173602560,3.75,-363764480,-1.16,-688523264,-2.2,-121314816,-0.39
2023-07-21,BK1111,AIGC概念,1549.4,-1.02,-1722003456,-6.73,-890627840,-3.48,-831375616,-3.25,229380864,0.9,1492622848,5.84
2023-07-20,BK1111,AIGC概念,1565.39,-2.05,-3566864864,-10.46,-2304418784,-6.76,-1262446080,-3.7,392075520,1.15,3174789376,9.31
2023-07-19,BK1111,AIGC概念,1598.19,1.3,-747668944,-2.21,-194286544,-0.58,-553382400,-1.64,39453952,0.12,708215296,2.1
2023-07-17,BK1111,AIGC概念,1603.9,-1.06,-2038161664,-5.53,-816722944,-2.22,-1221438720,-3.31,359176192,0.97,1678985728,4.55
2023-07-14,BK1111,AIGC概念,1621.13,2.44,1943613952,4.11,1875572224,3.97,68041728,0.14,-749084416,-1.58,-1194529536,-2.53
2023-07-13,BK1111,AIGC概念,1582.56,1.95,-526137344,-1.27,563093248,1.35,-1089230592,-2.62,-483821056,-1.16,1009958656,2.43
2023-07-12,BK1111,AIGC概念,1552.32,-3.14,-3977360640,-9.53,-2062897920,-4.94,-1914462720,-4.59,58023168,0.14,3919337472,9.39
2023-07-11,BK1111,AIGC概念,1602.71,0.31,-81132288,-0.26,313126144,1.0,-394258432,-1.26,-263020800,-0.84,344153088,1.1
2023-07-10,BK1111,AIGC概念,1597.81,-0.4,-2361106304,-8.56,-1739723904,-6.31,-621382400,-2.25,478638592,1.74,1882467840,6.82
2023-07-07,BK1111,AIGC概念,1604.25,-1.73,-1883670016,-4.9,-1278178048,-3.33,-605491968,-1.58,-87708416,-0.23,1971378432,5.13
2023-07-06,BK1111,AIGC概念,1632.57,0.15,64310528,0.16,253559808,0.64,-189249280,-0.48,-383206656,-0.96,318895872,0.8
2023-07-05,BK1111,AIGC概念,1630.14,-1.62,-2350684832,-7.1,-1233331360,-3.72,-1117353472,-3.37,576273920,1.74,1774410496,5.36
2023-07-04,BK1111,AIGC概念,1656.94,0.77,-698724096,-1.9,-256643584,-0.7000000000000001,-442080512,-1.2,186899712,0.51,511824640,1.39
2023-07-03,BK1111,AIGC概念,1644.22,-1.11,-3295074048,-7.05,-2311720960,-4.94,-983353088,-2.1,956637440,2.05,2338436608,5.0
2023-06-30,BK1111,AIGC概念,1662.68,0.39,-1314427136,-2.96,-1189265920,-2.68,-125161216,-0.28,-33053440,-0.07,1347480576,3.04
2023-06-29,BK1111,AIGC概念,1656.2,0.59,-2212365312,-4.63,-843002368,-1.77,-1369362944,-2.87,1005764096,2.11,1206601472,2.53
2023-06-28,BK1111,AIGC概念,1646.53,-2.47,-3201460736,-6.5,-1420626944,-2.89,-1780833792,-3.62,695558912,1.41,2505901824,5.09
2023-06-27,BK1111,AIGC概念,1688.28,0.92,-1990661120,-4.61,-999295232,-2.31,-991365888,-2.3,460726016,1.07,1529935616,3.54
2023-06-26,BK1111,AIGC概念,1672.82,-6.17,-3835794688,-6.31,-1766729728,-2.91,-2069064960,-3.4,-348958976,-0.5700000000000001,4184753664,6.88
2023-06-21,BK1111,AIGC概念,1782.89,-5.46,-6523764224,-8.62,-4255119616,-5.62,-2268644608,-3.0,692830208,0.92,5830934272,7.71
2023-06-20,BK1111,AIGC概念,1885.88,-0.44,-1970474496,-2.52,-1257333760,-1.61,-713140736,-0.91,122359808,0.16,1848114688,2.36
2023-06-19,BK1111,AIGC概念,1894.23,1.16,-1934313472,-2.64,-100900096,-0.14,-1833413376,-2.5,93240320,0.13,1841072896,2.51
