日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-04,BK1127,AI芯片,1003.42,0.49,-301090752,-5.11,-65598016,-1.11,-235492736,-4.0,146526960,2.49,154563792,2.62
2023-08-03,BK1127,AI芯片,998.49,-0.02,-96782240,-2.12,-41168576,-0.9,-55613664,-1.22,-24863088,-0.55,121645328,2.67
2023-08-02,BK1127,AI芯片,998.72,-0.35000000000000003,-142021968,-2.94,-79117232,-1.64,-62904736,-1.3,-10906864,-0.23,152928832,3.17
2023-08-01,BK1127,AI芯片,1002.19,0.17,23469424,0.37,-3966208,-0.06,27435632,0.43,-12506064,-0.19,-10963376,-0.17
2023-07-31,BK1127,AI芯片,1000.53,-0.44,-10046176,-0.13,-60049024,-0.77,50002848,0.64,153301904,1.95,-143255728,-1.83
2023-07-28,BK1127,AI芯片,1004.99,-0.02,-313629072,-5.24,-86215664,-1.44,-227413408,-3.8,90920608,1.52,222708480,3.72
2023-07-27,BK1127,AI芯片,1005.17,-1.5,-488406208,-9.49,-278965024,-5.42,-209441184,-4.07,207824432,4.04,280581792,5.45
2023-07-26,BK1127,AI芯片,1020.45,-1.37,-135321968,-2.31,75570064,1.29,-210892032,-3.6,127044752,2.17,8277216,0.14
2023-07-24,BK1127,AI芯片,1014.0,-0.64,-349419472,-6.48,-83766240,-1.55,-265653232,-4.93,2945312,0.05,346474176,6.43
2023-07-21,BK1127,AI芯片,1020.58,-1.23,-1013836384,-14.75,-554114944,-8.06,-459721440,-6.69,371350992,5.4,642485360,9.35
2023-07-20,BK1127,AI芯片,1033.34,-3.16,-922307984,-13.36,-430052944,-6.23,-492255040,-7.13,241690768,3.5,680617200,9.86
2023-07-19,BK1127,AI芯片,1067.01,-0.61,-551308992,-8.34,-256394864,-3.88,-294914128,-4.46,123562016,1.87,427746992,6.47
2023-07-17,BK1127,AI芯片,1088.0,-1.29,-920469712,-10.25,-962689552,-10.72,42219840,0.47,452034512,5.03,468435200,5.22
2023-07-14,BK1127,AI芯片,1102.17,0.26,370349936,3.2,287869360,2.49,82480576,0.71,-223118064,-1.93,-147231872,-1.27
2023-07-13,BK1127,AI芯片,1099.27,2.42,369626352,3.8,239980992,2.47,129645360,1.33,-262871376,-2.7,-106754992,-1.1
2023-07-12,BK1127,AI芯片,1073.28,-2.68,-1052361120,-11.63,-660098656,-7.29,-392262464,-4.33,462484176,5.11,589876928,6.52
2023-07-11,BK1127,AI芯片,1102.79,2.93,424351744,3.69,372601376,3.24,51750368,0.45,-151179744,-1.31,-273171968,-2.38
2023-07-10,BK1127,AI芯片,1071.44,0.45,-236593248,-3.11,-120732544,-1.59,-115860704,-1.53,119120832,1.57,117472416,1.55
2023-07-07,BK1127,AI芯片,1066.64,-1.46,-435635760,-4.44,-319411424,-3.25,-116224336,-1.18,202552064,2.06,233083696,2.37
2023-07-06,BK1127,AI芯片,1082.41,0.17,280053488,2.69,203323440,1.95,76730048,0.74,-144825152,-1.39,-135228336,-1.3
2023-07-05,BK1127,AI芯片,1080.55,-0.38,110677648,1.04,106776320,1.0,3901328,0.04,-61248496,-0.58,-49429152,-0.46
2023-07-04,BK1127,AI芯片,1084.67,1.98,344921024,3.31,205423984,1.97,139497040,1.34,-83859840,-0.8,-261061184,-2.5
2023-07-03,BK1127,AI芯片,1063.63,1.03,243710672,2.22,114786128,1.04,128924544,1.17,3731616,0.03,-247442272,-2.25
2023-06-30,BK1127,AI芯片,1052.74,0.96,681173760,6.19,375831248,3.41,305342512,2.77,-515331312,-4.68,-165842448,-1.51
2023-06-29,BK1127,AI芯片,1042.77,0.06,-338170320,-3.32,-323409936,-3.18,-14760384,-0.15,93382592,0.92,244787712,2.41
2023-06-28,BK1127,AI芯片,1042.15,-0.04,273628848,2.38,431867456,3.75,-158238608,-1.37,-218521648,-1.9,-55107168,-0.48
2023-06-27,BK1127,AI芯片,1042.59,-0.1,-262229840,-3.09,-41572624,-0.49,-220657216,-2.6,147981984,1.74,114247872,1.35
2023-06-26,BK1127,AI芯片,1043.67,-4.0,-1100690368,-7.77,-544680128,-3.85,-556010240,-3.93,351922176,2.48,748767904,5.29
2023-06-21,BK1127,AI芯片,1087.11,-4.26,-539386592,-3.66,-453454048,-3.08,-85932544,-0.58,63426304,0.43,475960480,3.23
2023-06-20,BK1127,AI芯片,1135.48,0.89,-53353056,-0.33,13325984,0.08,-66679040,-0.42,-147801856,-0.92,201154992,1.26
2023-06-19,BK1127,AI芯片,1125.45,1.53,325391712,2.44,285908656,2.14,39483056,0.30000000000000004,-434448896,-3.26,109057232,0.8200000000000001
2023-06-16,BK1127,AI芯片,1108.54,1.3,244609840,2.14,32740928,0.29,211868912,1.85,-131719248,-1.15,-112890560,-0.99
