日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK0636,B股,878.79,0.19,-3977413,-4.54,-83127,-0.09,-3894286,-4.44,3884600,4.43,92813,0.11
2023-07-17,BK0636,B股,874.75,-0.07,-6087020,-5.38,-19449,-0.02,-6067571,-5.36,1175767,1.04,4911253,4.34
2023-07-14,BK0636,B股,875.32,-0.01,-4160827,-7.89,-1814403,-3.44,-2346424,-4.45,1684991,3.19,2475834,4.69
2023-07-13,BK0636,B股,875.41,0.59,-3133246,-5.76,68576,0.13,-3201822,-5.89,3133313,5.76,-67,0.0
2023-07-12,BK0636,B股,870.26,-0.42,-3378966,-4.15,-17276,-0.02,-3361690,-4.13,1662328,2.04,1716637,2.11
2023-07-11,BK0636,B股,873.9,0.31,-1165879,-1.58,-1103728,-1.49,-62151,-0.08,4561611,6.17,-3395732,-4.6
2023-07-10,BK0636,B股,871.16,0.14,-2925153,-3.61,-12063,-0.01,-2913090,-3.6,8346096,10.3,-5420943,-6.69
2023-07-07,BK0636,B股,869.9,0.16,1259147,2.14,226918,0.39,1032229,1.75,-41813,-0.07,-1217333,-2.07
2023-07-06,BK0636,B股,868.55,0.1,727761,1.38,420,0.0,727341,1.38,1475501,2.8,-2203263,-4.18
2023-07-05,BK0636,B股,867.7,-0.23,-3653198,-6.39,3596,0.01,-3656794,-6.4,2359263,4.13,1293934,2.26
2023-07-04,BK0636,B股,869.68,0.02,1228916,1.42,145016,0.17,1083900,1.25,3342110,3.86,-4571025,-5.27
2023-07-03,BK0636,B股,869.47,0.73,-811943,-0.84,-69279,-0.07,-742664,-0.77,3957925,4.11,-3145982,-3.27
2023-06-30,BK0636,B股,863.17,0.28,-5924718,-8.14,-1338970,-1.84,-4585748,-6.3,4137399,5.68,1787318,2.45
2023-06-29,BK0636,B股,860.77,0.24,715817,1.42,16278,0.03,699539,1.39,1097275,2.18,-1813092,-3.6
2023-06-28,BK0636,B股,858.75,-0.22,1910086,2.91,-866877,-1.32,2776963,4.24,645288,0.98,-2555374,-3.9
2023-06-27,BK0636,B股,860.61,0.58,2986859,3.8,392173,0.5,2594686,3.3,2752982,3.51,-5739840,-7.31
2023-06-26,BK0636,B股,855.61,-0.78,-5264290,-4.36,490268,0.41,-5754558,-4.77,4163180,3.45,1101111,0.91
2023-06-21,BK0636,B股,862.34,-0.64,-2050311,-2.44,-5643,-0.01,-2044668,-2.44,4206238,5.01,-2155926,-2.5700000000000003
2023-06-20,BK0636,B股,867.89,0.12,425527,0.63,3274199,4.84,-2848672,-4.21,1496450,2.21,-1921977,-2.84
2023-06-19,BK0636,B股,866.81,0.22,-6004876,-7.33,-2678263,-3.27,-3326613,-4.06,2699920,3.3,3304955,4.04
2023-06-16,BK0636,B股,864.88,0.16,1286307,1.54,-25618,-0.03,1311925,1.57,5616559,6.72,-6902867,-8.26
