日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-28,BK0946,EDA概念,1048.08,-0.18,-125147650,-4.69,-78059874,-2.93,-47087776,-1.77,126576,0.0,125021088,4.69
2023-07-27,BK0946,EDA概念,1049.95,-1.43,-270850161,-10.74,-152495649,-6.05,-118354512,-4.69,80770448,3.2,190079728,7.54
2023-07-26,BK0946,EDA概念,1065.19,-0.79,-119880906,-4.5600000000000005,-40666202,-1.55,-79214704,-3.02,38097152,1.45,81783744,3.11
2023-07-24,BK0946,EDA概念,1059.81,0.25,-166944597,-6.79,-50817813,-2.07,-116126784,-4.72,13192240,0.54,153752336,6.25
2023-07-21,BK0946,EDA概念,1057.14,-0.6900000000000001,-174995024,-5.75,-25491984,-0.84,-149503040,-4.91,-14833856,-0.49,189828864,6.23
2023-07-20,BK0946,EDA概念,1064.48,-2.5,-254046864,-7.31,-32189216,-0.93,-221857648,-6.38,-45944192,-1.32,299991056,8.63
2023-07-19,BK0946,EDA概念,1091.75,0.02,-225362698,-6.53,-91063594,-2.64,-134299104,-3.89,2485440,0.07,222877248,6.46
2023-07-17,BK0946,EDA概念,1090.34,-0.94,-339322658,-10.39,-227857602,-6.98,-111465056,-3.41,34641680,1.06,304680992,9.33
2023-07-14,BK0946,EDA概念,1100.67,-0.49,-206251656,-6.26,-123707096,-3.75,-82544560,-2.5,-19927280,-0.6000000000000001,226178944,6.86
2023-07-13,BK0946,EDA概念,1106.04,1.99,111761856,3.15,66948736,1.89,44813120,1.26,-78627568,-2.22,-33134288,-0.93
2023-07-12,BK0946,EDA概念,1084.41,-1.88,-246316464,-7.52,-92710656,-2.83,-153605808,-4.69,43292032,1.32,203024432,6.2
2023-07-11,BK0946,EDA概念,1105.23,0.86,7643664,0.22,6521664,0.19,1122000,0.03,-9471696,-0.27,1828032,0.05
2023-07-10,BK0946,EDA概念,1095.79,0.59,46422960,1.76,23603760,0.89,22819200,0.86,12913776,0.49,-59336720,-2.25
2023-07-07,BK0946,EDA概念,1089.4,-0.86,-281867983,-8.31,-125936367,-3.71,-155931616,-4.6,93853104,2.77,188014864,5.54
2023-07-06,BK0946,EDA概念,1098.84,-0.74,-190695086,-4.98,-164578110,-4.3,-26116976,-0.68,25779760,0.67,164915312,4.3
2023-07-05,BK0946,EDA概念,1106.98,-0.96,8137408,0.14,-95290576,-1.58,103427984,1.72,-27654480,-0.46,19517088,0.32
2023-07-04,BK0946,EDA概念,1117.75,1.23,-25170240,-0.58,-34182432,-0.79,9012192,0.21,56865328,1.31,-31695056,-0.73
2023-07-03,BK0946,EDA概念,1104.14,-0.94,-152010608,-3.78,-147275248,-3.66,-4735360,-0.12,41246080,1.03,110764528,2.76
2023-06-30,BK0946,EDA概念,1114.65,1.48,375905824,5.94,160355392,2.54,215550432,3.41,-196172576,-3.1,-179733248,-2.84
2023-06-29,BK0946,EDA概念,1098.43,0.66,-18266816,-0.47,35957168,0.93,-54223984,-1.4,-19616528,-0.51,37883344,0.98
2023-06-28,BK0946,EDA概念,1091.19,-0.74,-70455680,-1.94,62584736,1.73,-133040416,-3.67,-35677024,-0.98,106132704,2.93
2023-06-27,BK0946,EDA概念,1099.36,1.61,-15832256,-0.42,-11596720,-0.31,-4235536,-0.11,-40826784,-1.09,56659040,1.51
2023-06-26,BK0946,EDA概念,1081.93,-2.22,-74246800,-1.81,-29280032,-0.72,-44966768,-1.1,-69177152,-1.69,143423968,3.51
2023-06-21,BK0946,EDA概念,1106.54,-2.07,-322864848,-6.74,-172371280,-3.6,-150493568,-3.14,84107152,1.76,238757696,4.98
2023-06-20,BK0946,EDA概念,1129.93,0.04,233215776,3.86,75247024,1.25,157968752,2.62,-104137232,-1.73,-129078544,-2.14
2023-06-19,BK0946,EDA概念,1129.49,0.74,-24235312,-0.54,37547600,0.84,-61782912,-1.38,-110690864,-2.47,134926176,3.01
2023-06-16,BK0946,EDA概念,1121.19,0.87,78448672,1.79,-80212896,-1.83,158661568,3.62,17299392,0.39,-95748064,-2.18
