日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0875,ETC,1510.18,0.78,-52502256,-0.49,-17847440,-0.17,-34654816,-0.32,-134815008,-1.25,187317264,1.73
2023-09-04,BK0875,ETC,1505.29,1.52,93677808,1.05,42050304,0.47,51627504,0.58,41302864,0.46,-134980672,-1.51
2023-08-31,BK0875,ETC,1490.05,-0.55,-349986880,-3.66,-60309024,-0.63,-289677856,-3.03,-129749744,-1.36,479736624,5.01
2023-08-29,BK0875,ETC,1470.09,4.41,639508272,5.93,681992624,6.33,-42484352,-0.39,-409681792,-3.8,-229826480,-2.13
2023-08-28,BK0875,ETC,1407.93,-0.03,-452065904,-4.21,-238573680,-2.22,-213492224,-1.99,-29068496,-0.27,481134400,4.48
2023-08-25,BK0875,ETC,1408.35,-4.02,-1001071712,-9.14,-599984208,-5.48,-401087504,-3.66,145369344,1.33,855702384,7.81
2023-08-24,BK0875,ETC,1467.37,-0.03,519010144,4.34,609640768,5.1,-90630624,-0.76,-484754688,-4.05,-34255456,-0.29
2023-08-23,BK0875,ETC,1467.75,-1.67,-523561280,-5.47,-133610992,-1.4,-389950288,-4.07,-2498144,-0.03,526059424,5.49
2023-08-21,BK0875,ETC,1453.66,0.42,205198772,3.51,251206932,4.3,-46008160,-0.79,-221803232,-3.79,16604464,0.28
2023-08-18,BK0875,ETC,1447.54,-2.31,-388214400,-5.58,-161583184,-2.32,-226631216,-3.26,42922064,0.62,345292352,4.96
2023-08-16,BK0875,ETC,1460.09,-1.39,-362762134,-5.63,-197245702,-3.06,-165516432,-2.5700000000000003,-85353456,-1.32,448115584,6.95
2023-08-15,BK0875,ETC,1480.61,-1.41,-621875271,-9.21,-236870887,-3.51,-385004384,-5.7,73533616,1.09,548341680,8.12
2023-08-14,BK0875,ETC,1501.85,1.44,-74053984,-1.06,78835872,1.13,-152889856,-2.18,-51182912,-0.73,125236880,1.79
2023-08-11,BK0875,ETC,1480.51,-2.8200000000000003,-660408049,-9.98,-204991745,-3.1,-455416304,-6.88,58813936,0.89,601594128,9.09
2023-08-10,BK0875,ETC,1523.4,-0.22,-356107936,-4.82,-146336464,-1.98,-209771472,-2.84,20446848,0.28,335661072,4.55
2023-08-09,BK0875,ETC,1526.78,-0.32,-141354080,-1.7000000000000002,-7918688,-0.1,-133435392,-1.6,54616048,0.66,86738016,1.04
2023-08-08,BK0875,ETC,1531.61,-0.26,-325721792,-4.22,-72719584,-0.94,-253002208,-3.28,-14860592,-0.19,340582352,4.41
