日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK1088,F5G概念,1812.21,1.66,897495040,3.11,901116672,3.13,-3621632,-0.01,-497415424,-1.73,-400079872,-1.39
2023-07-13,BK1088,F5G概念,1782.68,3.53,148482176,0.65,381057664,1.66,-232575488,-1.01,-239356928,-1.04,90875136,0.4
2023-07-12,BK1088,F5G概念,1721.83,-3.83,-1367074464,-5.95,-559190944,-2.43,-807883520,-3.52,109716992,0.48,1257357392,5.47
2023-07-11,BK1088,F5G概念,1790.45,1.15,165915664,0.92,722411024,4.0,-556495360,-3.08,-156146176,-0.86,-9769312,-0.05
2023-07-10,BK1088,F5G概念,1770.06,-2.74,-1442735792,-8.5,-955397296,-5.63,-487338496,-2.87,257319424,1.52,1185416400,6.99
2023-07-07,BK1088,F5G概念,1820.0,-1.27,134387904,0.56,230034368,0.96,-95646464,-0.4,-510096640,-2.13,375708928,1.57
2023-07-06,BK1088,F5G概念,1843.39,1.98,315039408,1.4,717962160,3.18,-402922752,-1.79,-373980160,-1.66,58940672,0.26
2023-07-05,BK1088,F5G概念,1807.61,-1.9,-1201548560,-5.64,-771766032,-3.62,-429782528,-2.02,86894848,0.41,1114653952,5.23
2023-07-04,BK1088,F5G概念,1842.61,0.32,-175674480,-0.97,190589584,1.05,-366264064,-2.02,-2023936,-0.01,177698656,0.98
2023-07-03,BK1088,F5G概念,1836.73,-0.41,-994253840,-4.57,-987053328,-4.53,-7200512,-0.03,122240256,0.56,872013568,4.0
2023-06-30,BK1088,F5G概念,1844.23,3.33,879438592,3.3,696909056,2.62,182529536,0.6900000000000001,-49194752,-0.18,-830243840,-3.12
2023-06-29,BK1088,F5G概念,1784.71,1.73,-66106800,-0.34,206746448,1.06,-272853248,-1.4,-157599488,-0.81,223706368,1.15
2023-06-28,BK1088,F5G概念,1754.37,-3.1,-1120402768,-5.16,-625841232,-2.88,-494561536,-2.28,-65295872,-0.30000000000000004,1185698480,5.46
2023-06-27,BK1088,F5G概念,1810.52,1.43,-864003440,-4.5,-537285744,-2.8,-326717696,-1.7000000000000002,91491840,0.48,772511504,4.03
2023-06-26,BK1088,F5G概念,1784.96,-5.59,-1969617408,-7.34,-740715264,-2.76,-1228902144,-4.58,-300982784,-1.12,2270600608,8.46
2023-06-21,BK1088,F5G概念,1890.72,-3.77,-2258844928,-7.43,-1439647232,-4.74,-819197696,-2.7,292297472,0.96,1966547200,6.47
2023-06-20,BK1088,F5G概念,1964.82,-0.41,-1530098944,-4.77,-678029568,-2.11,-852069376,-2.65,180899584,0.56,1349199616,4.2
2023-06-19,BK1088,F5G概念,1972.97,2.23,-343162112,-1.0,398137088,1.16,-741299200,-2.16,146591232,0.43,196571136,0.5700000000000001
2023-06-16,BK1088,F5G概念,1930.02,3.8,208597248,0.66,183068416,0.58,25528832,0.08,-357722112,-1.13,149124864,0.47
