日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0868,GDR,819.61,0.22,36188800,0.81,71529024,1.59,-35340224,-0.79,-95007952,-2.12,58819136,1.31
2023-09-04,BK0868,GDR,819.52,1.4,274959216,3.84,119579280,1.67,155379936,2.17,-134172016,-1.88,-140787200,-1.97
2023-08-31,BK0868,GDR,800.51,-0.42,-191350032,-3.74,-110618016,-2.16,-80732016,-1.58,-33464688,-0.65,224814736,4.39
2023-08-29,BK0868,GDR,802.2,1.58,-285725792,-3.6,-152168080,-1.92,-133557712,-1.6800000000000002,63648944,0.8,222076864,2.8
2023-08-28,BK0868,GDR,789.73,0.02,-291768912,-2.39,-38893280,-0.32,-252875632,-2.07,254397168,2.08,37371744,0.31
2023-08-25,BK0868,GDR,789.61,-0.75,-109727216,-2.45,-150526736,-3.36,40799520,0.91,-28075280,-0.63,137802496,3.07
2023-08-24,BK0868,GDR,795.61,0.03,15295440,0.34,37902496,0.85,-22607056,-0.51,-158656848,-3.58,143361408,3.23
2023-08-23,BK0868,GDR,795.36,-2.01,-179810496,-4.62,-21319552,-0.55,-158490944,-4.07,10557872,0.27,169252640,4.35
2023-08-21,BK0868,GDR,811.53,-1.98,-643579712,-10.12,-396839872,-6.24,-246739840,-3.88,152427120,2.4,491152592,7.72
2023-08-18,BK0868,GDR,827.93,-1.1,195545872,4.15,82040416,1.74,113505456,2.41,-165934192,-3.52,-29611680,-0.63
2023-08-16,BK0868,GDR,839.3,-0.58,-44507136,-1.04,8873424,0.21,-53380560,-1.25,-1492320,-0.03,45999440,1.08
2023-08-15,BK0868,GDR,844.18,-0.18,123746512,2.17,213879232,3.74,-90132720,-1.58,-21350256,-0.37,-102396240,-1.79
2023-08-14,BK0868,GDR,845.67,-0.44,-281537328,-4.85,-191618000,-3.3,-89919328,-1.55,2919248,0.05,278618080,4.8
2023-08-11,BK0868,GDR,849.44,-2.23,-421927648,-7.21,-170218464,-2.91,-251709184,-4.3,27139072,0.46,394788576,6.75
2023-08-10,BK0868,GDR,868.8,0.27,61004560,1.51,28737472,0.71,32267088,0.8,44088016,1.09,-105092576,-2.6
2023-08-09,BK0868,GDR,866.5,-0.11,-34383824,-0.76,15069776,0.33,-49453600,-1.09,5846928,0.13,28536896,0.63
2023-08-08,BK0868,GDR,867.43,-0.18,73947216,1.25,50369232,0.85,23577984,0.4,71888480,1.22,-145835696,-2.47
2023-08-07,BK0868,GDR,868.97,-1.48,-362402096,-5.04,-169859264,-2.36,-192542832,-2.68,-88667904,-1.23,451070000,6.27
2023-08-04,BK0868,GDR,882.02,0.30000000000000004,471900272,4.83,104574320,1.07,367325952,3.76,-465594240,-4.76,-6306032,-0.06
2023-08-03,BK0868,GDR,879.36,1.12,150514256,2.22,29962016,0.44,120552240,1.78,92443296,1.36,-242957536,-3.58
2023-08-02,BK0868,GDR,869.64,-0.65,-215345024,-3.92,-314740736,-5.72,99395712,1.81,204390224,3.72,10954816,0.2
2023-08-01,BK0868,GDR,875.3,-0.27,-288766000,-4.33,-307438768,-4.61,18672768,0.28,56732864,0.85,232033152,3.48
2023-07-31,BK0868,GDR,877.69,0.31,-216437728,-2.04,-155988720,-1.47,-60449008,-0.5700000000000001,24224912,0.23,192212800,1.82
2023-07-28,BK0868,GDR,874.96,2.07,1053164896,8.49,572502288,4.62,480662608,3.88,-541694560,-4.37,-511470352,-4.12
2023-07-27,BK0868,GDR,857.22,-0.25,136077152,1.81,-91205680,-1.21,227282832,3.02,-364813248,-4.85,228736064,3.04
2023-07-26,BK0868,GDR,859.34,0.33,-53511952,-0.91,-201188672,-3.42,147676720,2.51,-39254208,-0.67,92766144,1.58
2023-07-24,BK0868,GDR,835.0,-0.54,-234399413,-7.36,-199208901,-6.26,-35190512,-1.11,6553680,0.21,227845728,7.16
2023-07-21,BK0868,GDR,839.57,-0.17,-196890288,-5.25,-128476160,-3.43,-68414128,-1.83,16228688,0.43,180661600,4.82
2023-07-20,BK0868,GDR,841.03,-0.48,-183482704,-4.39,-133685856,-3.2,-49796848,-1.19,113448160,2.71,70034544,1.67
2023-07-19,BK0868,GDR,845.08,-0.36,544784,0.02,12221664,0.38,-11676880,-0.36,-77139632,-2.4,76594848,2.39
2023-07-17,BK0868,GDR,849.35,-0.88,-246250807,-7.73,-192924551,-6.05,-53326256,-1.67,-71645968,-2.25,317896752,9.98
2023-07-14,BK0868,GDR,856.86,-0.64,-289069072,-6.41,-183738544,-4.07,-105330528,-2.34,95462928,2.12,193606128,4.29
