日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK0908,HIT电池,2981.08,-0.8300000000000001,-1443479328,-12.74,-865215056,-7.63,-578264272,-5.1,63087232,0.56,1380392096,12.18
2023-07-31,BK0908,HIT电池,3006.06,0.32,-154973600,-1.05,45852272,0.31,-200825872,-1.36,-371854080,-2.52,526827456,3.5700000000000003
2023-07-28,BK0908,HIT电池,2996.41,0.65,484258336,4.05,328458032,2.75,155800304,1.3,-290034656,-2.43,-194223680,-1.63
2023-07-27,BK0908,HIT电池,2976.94,-1.02,-718628736,-6.79,-205950208,-1.95,-512678528,-4.85,-97871904,-0.93,816500656,7.72
2023-07-26,BK0908,HIT电池,3007.54,-0.02,100976624,0.92,31323680,0.29,69652944,0.63,35144976,0.32,-136121616,-1.24
2023-07-24,BK0908,HIT电池,2961.16,-1.06,-659287792,-7.74,-78362656,-0.92,-580925136,-6.82,-50214832,-0.59,709502624,8.32
2023-07-21,BK0908,HIT电池,2993.02,-1.16,-1043304800,-8.61,-152629952,-1.26,-890674848,-7.35,1485728,0.01,1041819056,8.59
2023-07-20,BK0908,HIT电池,3028.15,-1.15,-288890560,-2.13,182702640,1.35,-471593200,-3.48,-133983120,-0.99,422873584,3.12
2023-07-19,BK0908,HIT电池,3063.34,-1.26,-831979616,-8.28,-519592560,-5.17,-312387056,-3.11,-78038960,-0.78,910018576,9.05
2023-07-17,BK0908,HIT电池,3114.1,-0.43,-341378608,-2.5700000000000003,-199024048,-1.5,-142354560,-1.07,269056,0.0,341109696,2.5700000000000003
2023-07-14,BK0908,HIT电池,3127.42,-1.13,-1478858976,-9.47,-823352240,-5.27,-655506736,-4.2,195676416,1.25,1283182608,8.22
2023-07-13,BK0908,HIT电池,3163.12,1.37,102466112,0.54,276391488,1.46,-173925376,-0.92,-224611584,-1.19,122145536,0.65
2023-07-12,BK0908,HIT电池,3120.47,-0.42,437821968,1.96,670111504,3.0,-232289536,-1.04,38842880,0.17,-476664832,-2.13
2023-07-11,BK0908,HIT电池,3133.51,-0.51,-1431889872,-10.58,-840682528,-6.21,-591207344,-4.37,314299584,2.32,1117590288,8.26
2023-07-10,BK0908,HIT电池,3149.64,1.98,2351016928,10.5,1696983008,7.58,654033920,2.92,-651731200,-2.91,-1699285504,-7.59
2023-07-07,BK0908,HIT电池,3088.55,-1.38,-1122715584,-10.11,-415342560,-3.74,-707373024,-6.37,79181088,0.71,1043534496,9.4
2023-07-06,BK0908,HIT电池,3131.7,-0.5,-839307472,-7.35,-346376480,-3.03,-492930992,-4.31,-12628432,-0.11,851935920,7.46
2023-07-05,BK0908,HIT电池,3147.43,-1.49,-1302737008,-10.01,-698585184,-5.37,-604151824,-4.64,11271168,0.09,1291466000,9.92
2023-07-04,BK0908,HIT电池,3195.08,-0.64,-1326071824,-8.93,-633387440,-4.27,-692684384,-4.67,288138752,1.94,1037932944,6.99
2023-07-03,BK0908,HIT电池,3215.65,-0.32,-723792528,-3.83,-516189840,-2.73,-207602688,-1.1,-85113600,-0.45,808906240,4.28
2023-06-30,BK0908,HIT电池,3225.87,1.32,-687475104,-3.66,-30431904,-0.16,-657043200,-3.5,-75495680,-0.4,762970624,4.06
2023-06-29,BK0908,HIT电池,3183.75,1.63,-78102096,-0.4,102649520,0.52,-180751616,-0.92,-269450240,-1.38,347552256,1.78
2023-06-28,BK0908,HIT电池,3132.72,0.59,542575312,2.67,289696976,1.43,252878336,1.24,-187428096,-0.92,-355147264,-1.75
2023-06-27,BK0908,HIT电池,3114.46,1.06,209350448,1.26,137921072,0.8300000000000001,71429376,0.43,-155725312,-0.94,-53625344,-0.32
2023-06-26,BK0908,HIT电池,3081.67,-0.06,-333896528,-1.8,-159641680,-0.86,-174254848,-0.94,553728,0.0,333342976,1.79
2023-06-21,BK0908,HIT电池,3083.41,-0.35000000000000003,-784498160,-4.18,-631293424,-3.36,-153204736,-0.8200000000000001,261140224,1.39,523357952,2.79
2023-06-20,BK0908,HIT电池,3094.3,0.29,55275888,0.33,545396432,3.24,-490120544,-2.91,-96834816,-0.58,41559040,0.25
2023-06-19,BK0908,HIT电池,3085.34,0.78,-1049098224,-6.01,-415268400,-2.38,-633829824,-3.63,250263296,1.43,798834944,4.58
2023-06-16,BK0908,HIT电池,3061.34,1.95,383238928,1.79,660972560,3.09,-277733632,-1.3,-135544320,-0.63,-247694848,-1.16
