日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-09-06,BK0500,HS300_,9793.16,-0.26,-3323721984,-2.0,-2430317056,-1.46,-893404928,-0.54,-1442612224,-0.87,4766334208,2.87
2023-09-04,BK0500,HS300_,9881.92,1.42,10036976640,4.22,5041840640,2.12,4995136000,2.1,-3691651072,-1.55,-6345326080,-2.67
2023-08-31,BK0500,HS300_,9682.34,-0.73,-8089870848,-4.18,-4891147776,-2.53,-3198723072,-1.65,1008298240,0.52,7081572608,3.66
2023-08-29,BK0500,HS300_,9747.99,1.3,1555103232,0.59,2245397504,0.86,-690294272,-0.26,-3468836864,-1.32,1913732864,0.73
2023-08-28,BK0500,HS300_,9622.57,1.16,-7783390464,-2.32,-3796794624,-1.13,-3986595840,-1.19,2084069376,0.62,5699325952,1.7000000000000002
2023-08-25,BK0500,HS300_,9512.65,-0.7000000000000001,-6336634624,-3.61,-4442765312,-2.53,-1893869312,-1.08,184423424,0.11,6152211456,3.5
2023-08-24,BK0500,HS300_,9579.47,0.45,379751680,0.19,-152832512,-0.08,532584192,0.27,-2414846208,-1.23,2035094528,1.04
2023-08-23,BK0500,HS300_,9536.56,-1.8,-9008254720,-5.61,-5749969920,-3.58,-3258284800,-2.03,1048809216,0.65,7959445760,4.96
2023-08-21,BK0500,HS300_,9646.29,-1.46,-8537618176,-4.92,-6301153536,-3.63,-2236464640,-1.29,1073763840,0.62,7463854336,4.3
2023-08-18,BK0500,HS300_,9789.67,-1.31,-8131126016,-4.83,-4906410240,-2.91,-3224715776,-1.91,742597632,0.44,7388528384,4.39
2023-08-16,BK0500,HS300_,9881.78,-0.86,-8030883840,-4.74,-5693238528,-3.36,-2337645312,-1.38,1233442560,0.73,6797441280,4.01
2023-08-15,BK0500,HS300_,9967.73,-0.5,-6068749312,-3.42,-3571704320,-2.01,-2497044992,-1.41,1140518144,0.64,4928230912,2.78
2023-08-14,BK0500,HS300_,10017.62,-0.51,-9262257664,-4.69,-5114391296,-2.59,-4147866368,-2.1,517340416,0.26,8744916992,4.43
2023-08-11,BK0500,HS300_,10069.21,-2.24,-17107209472,-8.4,-11361070336,-5.58,-5746139136,-2.8200000000000003,3750962432,1.84,13356247040,6.5600000000000005
2023-08-10,BK0500,HS300_,10300.38,0.5,-3703315456,-2.11,-264552960,-0.15,-3438762496,-1.96,-49447424,-0.03,3752763136,2.14
2023-08-09,BK0500,HS300_,10248.71,-0.4,-11676856320,-6.7,-6364642816,-3.65,-5312213504,-3.05,1117600000,0.64,10559255808,6.05
2023-08-08,BK0500,HS300_,10289.71,-0.31,-6112139264,-3.02,-4218929664,-2.08,-1893209600,-0.93,1306674688,0.64,4805464320,2.37
2023-08-07,BK0500,HS300_,10322.0,-0.8300000000000001,-16384819200,-7.22,-10075776512,-4.44,-6309042688,-2.78,926228480,0.41,15458592512,6.8100000000000005
2023-08-04,BK0500,HS300_,10408.13,0.31,-542259456,-0.17,1415362304,0.45,-1957621760,-0.62,-2125848576,-0.67,2668105728,0.84
2023-08-03,BK0500,HS300_,10375.59,0.87,3439951872,1.53,4795685376,2.13,-1355733504,-0.6000000000000001,-1765638144,-0.79,-1674315776,-0.74
2023-08-02,BK0500,HS300_,10285.92,-0.62,-11532539136,-5.63,-5743318784,-2.8,-5789220352,-2.83,1905723648,0.93,9626815488,4.7
2023-08-01,BK0500,HS300_,10349.76,-0.24,-11283967744,-4.41,-6401102336,-2.5,-4882865408,-1.91,355463168,0.14,10928505344,4.28
