日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0890,MLCC,2267.02,-2.08,-221427014,-9.19,-106553926,-4.42,-114873088,-4.77,-6046160,-0.25,227473168,9.44
2023-07-06,BK0890,MLCC,2315.2,0.04,-76511673,-2.66,-30872057,-1.07,-45639616,-1.58,5865888,0.2,70645792,2.45
2023-07-05,BK0890,MLCC,2314.37,-0.29,28200964,0.85,-30791292,-0.93,58992256,1.78,61821648,1.86,-90022624,-2.71
2023-07-04,BK0890,MLCC,2321.06,0.71,-181131829,-6.26,-80669189,-2.79,-100462640,-3.47,-11918256,-0.41,193050080,6.68
2023-07-03,BK0890,MLCC,2304.78,1.02,-177277830,-4.31,-88895126,-2.16,-88382704,-2.15,9160960,0.22,168116864,4.09
2023-06-30,BK0890,MLCC,2281.57,4.13,142786157,3.85,118867261,3.21,23918896,0.64,6789168,0.18,-149575312,-4.03
2023-06-29,BK0890,MLCC,2191.08,0.15,6381928,0.29,-24966456,-1.13,31348384,1.42,28977776,1.32,-35359728,-1.61
2023-06-28,BK0890,MLCC,2187.84,-0.65,-93316730,-4.06,-50932970,-2.22,-42383760,-1.84,28736256,1.25,64580464,2.81
2023-06-27,BK0890,MLCC,2202.19,0.14,-76110160,-2.56,-77531632,-2.61,1421472,0.05,39987536,1.35,36122640,1.22
2023-06-26,BK0890,MLCC,2199.08,-1.94,79212016,1.94,141272368,3.45,-62060352,-1.52,-60239296,-1.47,-18972704,-0.46
2023-06-21,BK0890,MLCC,2242.65,-0.32,-16164528,-0.48,32627440,0.97,-48791968,-1.45,-7585200,-0.23,23749744,0.71
2023-06-20,BK0890,MLCC,2249.83,4.44,230347568,5.93,146228736,3.76,84118832,2.17,-21911392,-0.56,-208436160,-5.36
2023-06-19,BK0890,MLCC,2154.28,1.11,49998196,2.46,32621092,1.61,17377104,0.86,-10891824,-0.54,-39106368,-1.93
2023-06-16,BK0890,MLCC,2130.56,1.33,16614247,0.92,25146839,1.4,-8532592,-0.47,-11988960,-0.67,-4625280,-0.26
