日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-07,BK0821,MSCI中国,1201.48,-0.53,-6623086080,-2.48,-3541286912,-1.33,-3081799168,-1.15,285016064,0.11,6338072576,2.38
2023-07-06,BK0821,MSCI中国,1207.91,-0.56,-8499717120,-2.96,-4990596096,-1.74,-3509121024,-1.22,-15101952,-0.01,8514818048,2.97
2023-07-05,BK0821,MSCI中国,1214.76,-0.64,-12757597696,-4.26,-8046444032,-2.69,-4711153664,-1.57,2779086848,0.93,9978507264,3.33
2023-07-04,BK0821,MSCI中国,1222.56,0.29,-5316934656,-1.58,-1166851072,-0.35000000000000003,-4150083584,-1.24,607637504,0.18,4709294080,1.4
2023-07-03,BK0821,MSCI中国,1219.01,1.07,5303968256,1.39,3049935360,0.8,2254032896,0.59,-2010574848,-0.53,-3293392896,-0.86
2023-06-30,BK0821,MSCI中国,1206.12,1.06,1067180800,0.34,1294398208,0.41,-227217408,-0.07,-2919141376,-0.93,1851961344,0.59
2023-06-29,BK0821,MSCI中国,1193.44,-0.12,-7988874240,-2.68,-4528872448,-1.52,-3460001792,-1.16,1268588544,0.43,6720286720,2.26
2023-06-28,BK0821,MSCI中国,1194.92,-0.08,-7986926336,-2.58,-5219865344,-1.6800000000000002,-2767060992,-0.89,1886679040,0.61,6100246528,1.97
2023-06-27,BK0821,MSCI中国,1195.87,1.06,1367740928,0.46,1390645760,0.47,-22904832,-0.01,262643712,0.09,-1630384128,-0.55
2023-06-26,BK0821,MSCI中国,1183.31,-1.31,-17094367488,-4.75,-10083506432,-2.8,-7010861056,-1.95,85999616,0.02,17008369664,4.72
2023-06-21,BK0821,MSCI中国,1199.04,-1.84,-22725182208,-6.3,-15857939200,-4.4,-6867243008,-1.9,2800050176,0.78,19925135360,5.52
2023-06-20,BK0821,MSCI中国,1221.52,-0.1,-8186602752,-2.15,-3483731200,-0.91,-4702871552,-1.23,-711086080,-0.19,8897691648,2.33
2023-06-19,BK0821,MSCI中国,1222.7,-0.25,-15255605504,-3.87,-8701251840,-2.21,-6554353664,-1.66,3339677696,0.85,11915927552,3.02
2023-06-16,BK0821,MSCI中国,1225.77,0.76,3352155392,0.8300000000000001,3741807872,0.93,-389652480,-0.1,-3430903808,-0.85,78749696,0.02
