日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK0902,MiniLED,1533.68,0.47,551716256,3.75,538497184,3.66,13219072,0.09,-442720000,-3.01,-108996160,-0.74
2023-07-05,BK0902,MiniLED,1526.47,-0.75,-335542160,-2.87,-139116480,-1.19,-196425680,-1.6800000000000002,-94212160,-0.81,429754336,3.68
2023-07-04,BK0902,MiniLED,1537.98,1.25,326742880,2.15,377909056,2.49,-51166176,-0.34,-178100224,-1.17,-148642560,-0.98
2023-07-03,BK0902,MiniLED,1519.02,0.75,-103807440,-0.67,-43356480,-0.28,-60450960,-0.39,-232726784,-1.51,336534272,2.19
2023-06-30,BK0902,MiniLED,1507.64,1.92,693851552,5.03,780297728,5.66,-86446176,-0.63,-271630336,-1.97,-422221328,-3.06
2023-06-29,BK0902,MiniLED,1479.19,1.54,88937456,0.8,331463136,3.0,-242525680,-2.19,-161702992,-1.46,72765552,0.66
2023-06-28,BK0902,MiniLED,1456.72,-1.3,-590681120,-5.1,-85321968,-0.74,-505359152,-4.36,-76297456,-0.66,666978576,5.75
2023-06-27,BK0902,MiniLED,1475.91,1.53,-300470368,-2.63,204083568,1.79,-504553936,-4.41,78788944,0.6900000000000001,221681440,1.94
2023-06-26,BK0902,MiniLED,1453.69,-2.25,-619554624,-3.83,-8021040,-0.05,-611533584,-3.78,-8774912,-0.05,628329472,3.89
2023-06-21,BK0902,MiniLED,1487.19,-2.26,-1327656096,-8.7,-656457904,-4.3,-671198192,-4.4,218775552,1.43,1108880672,7.27
2023-06-20,BK0902,MiniLED,1521.54,-0.29,-656961856,-4.07,-337220512,-2.09,-319741344,-1.98,198237696,1.23,458724096,2.84
2023-06-19,BK0902,MiniLED,1526.04,1.02,193285632,1.14,369219024,2.19,-175933392,-1.04,-97390592,-0.58,-95895040,-0.5700000000000001
2023-06-16,BK0902,MiniLED,1510.65,0.99,100153936,0.6900000000000001,177724352,1.22,-77570416,-0.53,147972096,1.02,-248126208,-1.71
