日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0840,OLED,2185.59,0.05,-960928432,-2.41,-413855152,-1.04,-547073280,-1.37,-385801472,-0.97,1346730240,3.38
2023-06-30,BK0840,OLED,2184.49,2.36,1119459984,3.03,858551440,2.32,260908544,0.71,-399528192,-1.08,-719931904,-1.95
2023-06-29,BK0840,OLED,2134.21,1.69,-681281744,-2.37,-169967312,-0.59,-511314432,-1.78,16618496,0.06,664663296,2.31
2023-06-28,BK0840,OLED,2098.84,-0.86,-1175369712,-3.5700000000000003,-263404016,-0.8,-911965696,-2.77,96862976,0.29,1078506752,3.27
2023-06-27,BK0840,OLED,2117.13,1.45,-496638560,-1.77,-207220832,-0.74,-289417728,-1.03,285326336,1.02,211312128,0.75
2023-06-26,BK0840,OLED,2086.8,-1.5,-1693804576,-4.62,-162333728,-0.44,-1531470848,-4.18,10779392,0.03,1683025152,4.59
2023-06-21,BK0840,OLED,2118.48,-1.97,-3288955952,-8.93,-1946779696,-5.28,-1342176256,-3.64,574791424,1.56,2714164480,7.37
2023-06-20,BK0840,OLED,2161.12,0.08,-1552511472,-4.0,-777298160,-2.0,-775213312,-2.0,222627584,0.5700000000000001,1329884160,3.43
2023-06-19,BK0840,OLED,2159.36,1.19,-481182208,-1.14,115609088,0.27,-596791296,-1.41,107712000,0.25,373470208,0.88
2023-06-16,BK0840,OLED,2134.02,1.04,109489392,0.34,333041648,1.02,-223552256,-0.6900000000000001,-163962112,-0.5,54472960,0.17
