日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-08-01,BK1119,PLC概念,1246.25,-0.30000000000000004,-23346590,-1.35,-28308030,-1.64,4961440,0.29,-3825344,-0.22,27171952,1.57
2023-07-31,BK1119,PLC概念,1250.04,2.42,64295322,2.65,-6937734,-0.29,71233056,2.94,48904416,2.02,-113199712,-4.66
2023-07-28,BK1119,PLC概念,1220.54,-0.29,-132034976,-7.08,-46965616,-2.52,-85069360,-4.5600000000000005,58164704,3.12,73870272,3.96
2023-07-27,BK1119,PLC概念,1224.07,-0.6000000000000001,-87276099,-4.8100000000000005,-72190691,-3.98,-15085408,-0.8300000000000001,118636448,6.54,-31360352,-1.73
2023-07-26,BK1119,PLC概念,1231.49,-1.3,-68431063,-4.16,-38902695,-2.36,-29528368,-1.79,22843712,1.39,45587360,2.77
2023-07-24,BK1119,PLC概念,1226.69,0.04,-41585618,-3.26,-20381083,-1.6,-21204535,-1.66,150808688,11.81,-109223072,-8.55
2023-07-21,BK1119,PLC概念,1226.16,-1.19,-33199005,-2.12,-32470839,-2.07,-728166,-0.05,26662400,1.7000000000000002,6536608,0.42
2023-07-20,BK1119,PLC概念,1240.9,-2.39,-131488996,-7.08,-73739620,-3.97,-57749376,-3.11,24344240,1.31,107144752,5.77
2023-07-19,BK1119,PLC概念,1271.3,-0.31,-126069088,-7.49,-38275849,-2.27,-87793239,-5.22,-7653760,-0.45,133722848,7.94
2023-07-17,BK1119,PLC概念,1296.79,-0.47,-69757021,-3.38,-53931645,-2.62,-15825376,-0.77,16600128,0.81,53156880,2.58
2023-07-14,BK1119,PLC概念,1302.86,-2.17,-194170831,-4.99,-136986607,-3.52,-57184224,-1.47,48323152,1.24,145847696,3.75
2023-07-13,BK1119,PLC概念,1331.73,0.33,-54094128,-1.48,-16475440,-0.45,-37618688,-1.03,-115700128,-3.18,169794256,4.66
2023-07-12,BK1119,PLC概念,1327.38,-0.35000000000000003,-92335104,-2.41,53389792,1.39,-145724896,-3.8,63446160,1.66,28888928,0.75
2023-07-11,BK1119,PLC概念,1332.04,3.09,260976864,5.75,238264432,5.25,22712432,0.5,-52856176,-1.17,-208120704,-4.59
2023-07-10,BK1119,PLC概念,1292.17,-1.11,-66397776,-3.2,-55439984,-2.67,-10957792,-0.53,24166880,1.16,42230896,2.03
2023-07-07,BK1119,PLC概念,1306.66,-1.64,-91601198,-3.55,-44032574,-1.71,-47568624,-1.84,18453344,0.71,73147872,2.83
2023-07-06,BK1119,PLC概念,1328.42,-0.76,-65734908,-1.89,-32341980,-0.93,-33392928,-0.96,-47406768,-1.37,113141664,3.26
2023-07-05,BK1119,PLC概念,1338.59,-0.66,149973808,3.15,6501488,0.14,143472320,3.01,-74565584,-1.56,-75408224,-1.58
2023-07-04,BK1119,PLC概念,1347.46,0.39,-133174857,-4.73,-20889417,-0.74,-112285440,-3.99,80298672,2.85,52876192,1.88
2023-07-03,BK1119,PLC概念,1342.25,-1.05,-24731931,-0.74,-67613499,-2.03,42881568,1.29,35372272,1.06,-10640336,-0.32
2023-06-30,BK1119,PLC概念,1356.51,-0.26,-49475587,-1.76,-22627475,-0.8,-26848112,-0.95,102690160,3.65,-53214592,-1.89
2023-06-29,BK1119,PLC概念,1360.05,2.46,24868366,0.72,17192622,0.5,7675744,0.22,74916000,2.17,-99784384,-2.9
2023-06-28,BK1119,PLC概念,1327.41,0.78,-163208561,-5.94,-55960881,-2.04,-107247680,-3.9,35260880,1.28,127947680,4.66
2023-06-27,BK1119,PLC概念,1317.11,0.74,-45340371,-1.72,-28639475,-1.09,-16700896,-0.63,63031312,2.4,-17690944,-0.67
2023-06-26,BK1119,PLC概念,1307.43,-1.43,-298605432,-8.96,-146421080,-4.39,-152184352,-4.57,106026496,3.18,192578928,5.78
2023-06-21,BK1119,PLC概念,1326.34,-2.43,-222683484,-6.68,-97748492,-2.93,-124934992,-3.75,49789040,1.49,172894480,5.19
2023-06-20,BK1119,PLC概念,1359.31,1.39,64314272,1.63,13716624,0.35000000000000003,50597648,1.28,-75362112,-1.91,11047840,0.28
2023-06-19,BK1119,PLC概念,1340.7,1.67,50588768,1.27,8178048,0.21,42410720,1.07,-28285840,-0.71,-22302928,-0.56
2023-06-16,BK1119,PLC概念,1318.64,2.47,-200448288,-4.06,-15973024,-0.32,-184475264,-3.74,115784352,2.34,84663920,1.71
