日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-14,BK0535,QFII重仓,16198.22,0.11,-2307545856,-4.19,-1363928576,-2.48,-943617280,-1.72,152917760,0.28,2154628096,3.92
2023-07-13,BK0535,QFII重仓,16179.77,1.02,-524686848,-0.91,-185016320,-0.32,-339670528,-0.59,-404584960,-0.7000000000000001,929271552,1.61
2023-07-12,BK0535,QFII重仓,16015.72,-1.1,-751743744,-1.28,-133069312,-0.23,-618674432,-1.06,-22128640,-0.04,773872128,1.32
2023-07-11,BK0535,QFII重仓,16193.61,0.89,-1378352032,-3.0,-599201696,-1.3,-779150336,-1.7000000000000002,144465664,0.31,1233886464,2.69
2023-07-10,BK0535,QFII重仓,16050.07,-0.01,1436678624,2.94,1515038688,3.1,-78360064,-0.16,-874605824,-1.79,-562072832,-1.15
2023-07-07,BK0535,QFII重仓,16051.87,-0.8200000000000001,-1698952464,-3.98,-673088272,-1.58,-1025864192,-2.41,-61930752,-0.15,1760883200,4.13
2023-07-06,BK0535,QFII重仓,16184.17,-0.18,-936406528,-2.04,-441348352,-0.96,-495058176,-1.08,-280639232,-0.61,1217045760,2.65
2023-07-05,BK0535,QFII重仓,16213.79,-0.96,-2506089664,-4.99,-1203652800,-2.4,-1302436864,-2.59,228113664,0.45,2277975808,4.54
2023-07-04,BK0535,QFII重仓,16371.62,0.63,-1181119744,-2.07,-502044672,-0.88,-679075072,-1.19,62685952,0.11,1118433536,1.96
2023-07-03,BK0535,QFII重仓,16268.68,0.0,-1091482624,-1.6800000000000002,-478508544,-0.74,-612974080,-0.94,-35885056,-0.06,1127367936,1.73
2023-06-30,BK0535,QFII重仓,16267.95,1.27,-330441216,-0.56,776564736,1.31,-1107005952,-1.86,-757344000,-1.27,1087785216,1.83
2023-06-29,BK0535,QFII重仓,16064.03,1.26,-615503360,-1.05,85317888,0.15,-700821248,-1.19,99113728,0.17,516389632,0.88
2023-06-28,BK0535,QFII重仓,15863.84,-0.17,-487565312,-0.8200000000000001,122759424,0.21,-610324736,-1.03,-217772544,-0.37,705337856,1.19
2023-06-27,BK0535,QFII重仓,15890.26,1.83,281641248,0.51,647427872,1.18,-365786624,-0.67,-312454656,-0.5700000000000001,30813184,0.06
2023-06-26,BK0535,QFII重仓,15604.59,-1.95,-3117627648,-5.18,-1134728704,-1.88,-1982898944,-3.29,528344320,0.88,2589283584,4.3
2023-06-21,BK0535,QFII重仓,15914.83,-1.69,-2426646016,-3.91,-810230528,-1.3,-1616415488,-2.6,-75077888,-0.12,2501723648,4.03
2023-06-20,BK0535,QFII重仓,16188.27,-0.35000000000000003,-1530448128,-2.3,-628506368,-0.94,-901941760,-1.35,140429056,0.21,1390019072,2.09
2023-06-19,BK0535,QFII重仓,16244.35,0.44,-1702359296,-2.44,-997477120,-1.43,-704882176,-1.01,-378816512,-0.54,2081175808,2.99
2023-06-16,BK0535,QFII重仓,16173.38,0.74,-138283520,-0.2,-130568960,-0.19,-7714560,-0.01,46376704,0.07,91906816,0.13
