日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-06,BK0962,RCEP概念,1053.49,-0.16,-134019194,-6.59,-55594602,-2.73,-78424592,-3.85,41225072,2.03,92794112,4.5600000000000005
2023-07-05,BK0962,RCEP概念,1055.17,-0.43,-92448287,-3.81,49217409,2.03,-141665696,-5.83,-33639168,-1.38,126087456,5.19
2023-07-04,BK0962,RCEP概念,1059.78,-0.04,-97985486,-4.12,-64645374,-2.72,-33340112,-1.4,30553968,1.29,67431504,2.84
2023-07-03,BK0962,RCEP概念,1060.2,1.26,-68871113,-2.12,6922295,0.21,-75793408,-2.33,-4677424,-0.14,73548544,2.26
2023-06-30,BK0962,RCEP概念,1047.01,1.06,-130656400,-4.09,-11829488,-0.37,-118826912,-3.72,45356080,1.42,85300336,2.67
2023-06-29,BK0962,RCEP概念,1036.0,0.68,49643173,2.35,41462277,1.96,8180896,0.39,-54987344,-2.6,5344160,0.25
2023-06-28,BK0962,RCEP概念,1028.97,0.30000000000000004,-100570814,-4.47,-51599390,-2.29,-48971424,-2.17,45629824,2.03,54940992,2.44
2023-06-27,BK0962,RCEP概念,1025.93,2.24,19882974,0.92,5988670,0.28,13894304,0.64,-4055056,-0.19,-15827920,-0.73
2023-06-26,BK0962,RCEP概念,1003.48,-1.95,-153594748,-5.84,-89554252,-3.4,-64040496,-2.43,91271552,3.47,62323200,2.37
2023-06-21,BK0962,RCEP概念,1023.46,-0.4,-25311255,-0.89,-16093415,-0.56,-9217840,-0.32,17082688,0.6000000000000001,8228576,0.29
2023-06-20,BK0962,RCEP概念,1027.55,-1.46,-109901940,-3.44,-79063460,-2.47,-30838480,-0.96,90582704,2.83,19319232,0.6000000000000001
2023-06-19,BK0962,RCEP概念,1042.8,-0.28,-75044093,-2.58,-56597917,-1.94,-18446176,-0.63,74032,0.0,74970064,2.5700000000000003
2023-06-16,BK0962,RCEP概念,1045.72,0.67,-37183126,-1.13,-6722470,-0.2,-30460656,-0.92,22601984,0.68,14581136,0.44
