日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-19,BK1097,TOPCon电池,977.93,-0.79,-827720896,-10.49,-360718896,-4.57,-467002000,-5.92,35189968,0.45,792530944,10.04
2023-07-17,BK1097,TOPCon电池,991.85,-0.51,-306497744,-3.23,-272967312,-2.87,-33530432,-0.35000000000000003,171319488,1.8,135178256,1.42
2023-07-14,BK1097,TOPCon电池,996.93,-1.51,-1042779952,-8.31,-612102928,-4.88,-430677024,-3.43,166824944,1.33,875954992,6.98
2023-07-13,BK1097,TOPCon电池,1012.22,1.0,15357760,0.11,-137236912,-1.01,152594672,1.12,4241408,0.03,-19599088,-0.14
2023-07-12,BK1097,TOPCon电池,1002.19,-0.1,117827728,0.85,212017728,1.53,-94190000,-0.68,100872448,0.73,-218700288,-1.58
2023-07-11,BK1097,TOPCon电池,1003.24,-0.35000000000000003,-659945888,-6.18,-321346048,-3.01,-338599840,-3.17,36627456,0.34,623318416,5.83
2023-07-10,BK1097,TOPCon电池,1006.76,1.49,410571216,2.92,121775344,0.87,288795872,2.06,121073920,0.86,-531645264,-3.79
2023-07-07,BK1097,TOPCon电池,991.95,-1.36,-778664736,-7.33,-416828432,-3.92,-361836304,-3.41,152911184,1.44,625753552,5.89
2023-07-06,BK1097,TOPCon电池,1005.61,-0.67,-429998752,-4.07,-209806400,-1.99,-220192352,-2.09,116398256,1.1,313600496,2.97
2023-07-05,BK1097,TOPCon电池,1012.39,-1.51,-948603152,-8.01,-465301840,-3.93,-483301312,-4.08,-15481248,-0.13,964084416,8.14
2023-07-04,BK1097,TOPCon电池,1027.92,0.13,-1125834448,-8.07,-645017456,-4.62,-480816992,-3.45,229415936,1.64,896418336,6.42
2023-07-03,BK1097,TOPCon电池,1026.54,0.12,-794232048,-4.54,-327293168,-1.87,-466938880,-2.67,-112117760,-0.64,906349632,5.18
2023-06-30,BK1097,TOPCon电池,1025.27,0.29,-626245184,-4.36,-230086928,-1.6,-396158256,-2.76,-14468352,-0.1,640713520,4.46
2023-06-29,BK1097,TOPCon电池,1022.28,1.44,-57814480,-0.36,131799408,0.8300000000000001,-189613888,-1.19,4078848,0.03,53735680,0.34
2023-06-28,BK1097,TOPCon电池,1007.72,0.92,85771664,0.53,56682864,0.35000000000000003,29088800,0.18,53356288,0.33,-139127808,-0.86
2023-06-27,BK1097,TOPCon电池,998.53,1.23,104962784,0.6900000000000001,84879104,0.56,20083680,0.13,98568960,0.65,-203531856,-1.34
2023-06-26,BK1097,TOPCon电池,986.42,0.6900000000000001,-184146768,-1.11,-61372320,-0.37,-122774448,-0.74,30040064,0.18,154106624,0.93
2023-06-21,BK1097,TOPCon电池,979.64,-0.41,-114317936,-0.77,-109775840,-0.74,-4542096,-0.03,-11008256,-0.07,125326336,0.84
2023-06-20,BK1097,TOPCon电池,983.63,-0.15,-198042496,-1.52,292001984,2.25,-490044480,-3.77,-56543408,-0.43,254585920,1.96
2023-06-19,BK1097,TOPCon电池,985.12,1.02,-850163088,-5.86,-373951200,-2.58,-476211888,-3.28,186780672,1.29,663382496,4.57
2023-06-16,BK1097,TOPCon电池,975.18,1.91,-433310224,-2.64,-104654128,-0.64,-328656096,-2.01,118386688,0.72,314923520,1.92
