日期,代码,名称,最新价,今日涨跌幅,今日主力净流入(净额),今日主力净流入(净占比),今日超大单净流入(净额),今日超大单净流入(净占比),今日大单净流入(净额),今日大单净流入(净占比),今日中单净流入(净额),今日中单净流入(净占比),今日小单净流入(净额),今日小单净流入(净占比)
2023-07-03,BK0880,UWB概念,1101.22,-0.27,-218308000,-2.64,-181806192,-2.2,-36501808,-0.44,-40808624,-0.49,259116640,3.13
2023-06-30,BK0880,UWB概念,1104.25,1.34,288363744,4.02,363782784,5.07,-75419040,-1.05,-222143472,-3.09,-66220288,-0.92
2023-06-29,BK0880,UWB概念,1089.64,1.69,-36121136,-0.5,189022864,2.59,-225144000,-3.09,-52826272,-0.72,88947408,1.22
2023-06-28,BK0880,UWB概念,1071.54,-2.68,-394687248,-5.16,-124296848,-1.63,-270390400,-3.53,9864656,0.13,384822608,5.03
2023-06-27,BK0880,UWB概念,1101.02,1.36,-2361376,-0.04,66721200,1.05,-69082576,-1.09,68780896,1.09,-66419504,-1.05
2023-06-26,BK0880,UWB概念,1086.27,-2.95,-266148560,-3.47,-62267984,-0.81,-203880576,-2.65,-90911632,-1.18,357060192,4.65
2023-06-21,BK0880,UWB概念,1119.26,-2.71,-912188848,-11.62,-575968176,-7.34,-336220672,-4.28,99327216,1.27,812861632,10.35
2023-06-20,BK0880,UWB概念,1150.4,-0.73,-330214896,-3.9,-145607440,-1.72,-184607456,-2.18,86749792,1.02,243465104,2.87
2023-06-19,BK0880,UWB概念,1158.85,1.61,-370936576,-3.85,-120291424,-1.25,-250645152,-2.6,49939648,0.52,320996928,3.33
2023-06-16,BK0880,UWB概念,1140.52,2.13,154592912,1.55,308620368,3.09,-154027456,-1.54,-194474464,-1.95,39881552,0.4
